Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Arvydas Novikovas,4,4,1.4,1.1,0.8,0.1,1.1,1.6
Strahil Popov,-,3,1.1,0.4,0.3,0.1,0.5,0.7
Yalcin Kayan,2,-,0.3,0.6,0.3,-,0.5,0.7
Nehuén Paz,1,-,0.2,-,0.3,-,0.2,0.3
Aliou Badji,3,-,0.4,0.8,0.5,0.1,0.5,1.3
Miguel Lopes,-,-,0.8,0.8,1.1,0.3,0.6,1
Alper Potuk,2,2,1,1.5,1.6,0.1,1.1,2.4
Marko Mihojevic,2,-,0.1,0.1,0.8,-,0.2,0.1
Batuhan Unsal,-,-,-,-,1,-,-,-
Necip Uysal,1,2,0.4,0.2,0.9,0.1,0.2,0.5
Jean-Armel Kana-Biyik,2,-,0.1,0.1,0.7,-,0.1,0.3
Khouma Babacar,8,1,0.4,0.6,0.8,0.3,0.8,2.1
Danijel Aleksic,6,2,0.7,0.3,0.9,0.2,0.6,1.3
Loïc Rémy,7,1,0.3,0.7,1,0.4,0.6,1
Aksel Aktas,-,1,0.4,0.8,1,-,0.7,1.4
Kevin Mirallas,5,5,1.1,0.8,1.2,0.1,0.8,1.5
Selim Ay,-,-,0.1,0.1,0.6,-,0.1,0.1
Zoran Kvrzic,1,1,0.9,0.4,0.7,0.1,0.8,1.2
Joseph Martin Paintsil,11,-,0.6,1,1.7,0.2,0.9,1.7
Marin Anicic,-,-,-,-,-,-,-,-
Aaron Appindangoyé,-,-,0.3,0.2,0.5,-,0.2,0.3
Efe Tatli,-,1,0.5,0.5,1.3,-,0.8,1.2
Mert Hakan Yandas,4,1,0.8,0.7,0.7,0.2,0.6,1.2
Samba Camara,-,-,-,0.1,0.4,-,0.2,0.3
Mustafa Eskihellac,2,3,1,1,0.6,-,0.6,1.3
Gökhan Akkan,-,-,-,-,0.1,-,-,-
Fatih Kuruçuk,-,-,0.1,0.2,0.9,-,0.1,-
Fabiano,-,-,0.2,1,0.6,-,0.3,0.6
Berkan Kutlu,3,2,1,0.3,0.5,-,0.7,0.7
Ante Kulusic,-,-,0.1,0.2,0.3,0.1,-,0.2
Ismail Cipe,-,-,-,-,0.2,-,-,-
Artur Sobiech,9,1,0.3,0.1,0.7,0.2,0.4,0.7
Júnior Morais,-,-,0.5,0.6,1,-,0.5,0.9
Lamine Gassama,-,2,0.3,1.1,0.6,-,0.3,1
Fedor Kudryashov,-,-,0.2,0.1,0.6,-,-,0.3
Dimitrios Kolovetsios,1,-,0.2,0.1,0.3,-,0.1,0.4
Ruud Boffin,-,-,-,-,0.1,-,-,-
Kayacan Erdogan,-,-,0.3,-,0.3,-,-,-
Zanka,-,-,0.5,-,-,-,0.5,-
Jakub Szumski,-,-,0.1,-,0.1,-,-,-
Fatih Aksoy,1,1,0.3,0.6,0.5,-,0.2,0.4
Oguz Yilmaz,1,-,0.2,-,1.1,0.1,-,0.3
Ulas Zengin,-,-,0.5,-,-,-,-,-
Omer Bayram,-,2,1.1,0.7,0.7,0.1,0.4,0.8
Moryke Fofana,2,1,0.4,2.3,0.8,0.1,1,1.6
Ertugrul Taskiran,-,-,-,-,0.2,-,-,-
Omer Ali Sahiner,2,-,0.5,0.3,0.4,0.4,0.6,0.9
Balázs Megyeri,-,-,-,-,0.5,-,-,-
Oghenekaro Etebo,-,-,0.4,0.8,1.6,-,0.6,0.6
Mesut Özil,-,1,1.6,0.7,0.9,0.4,1,1.2
Torgeir Børven,10,1,0.4,0.3,0.2,0.3,0.4,1.1
Afriyie Acquah,2,-,0.3,1.2,1.1,-,0.9,1.3
Bright Samuel,1,-,0.6,2,1.7,0.1,1.3,1.5
Godfred Donsah,1,-,0.4,0.8,0.5,-,0.5,1.1
Erdi Dikmen,-,-,-,0.3,0.6,0.2,0.1,0.4
Emir Dilaver,-,1,0.3,0.1,0.9,-,-,0.1
Deni Milosevic,2,2,0.9,0.7,0.4,0.1,0.9,1
Manolis Siopis,-,-,0.5,0.7,1.6,-,0.9,1.1
Ayman Ben Mohamed,-,-,0.1,0.9,0.7,0.1,0.7,0.4
Atila Turan,-,1,0.6,0.4,0.7,-,0.3,0.6
Saba Lobzhanidze,3,8,0.9,1.2,0.4,0.2,0.7,2
Akin Alkan,-,-,-,-,0.3,-,-,-
Tayfur Bingöl,1,1,0.5,0.8,0.6,-,0.6,1.1
Ozer Ozdemir,1,1,0.6,0.9,0.6,0.1,0.4,0.9
Hasan Huseyin Acar,-,-,1.4,1.1,0.7,-,1.3,1.3
Muhammed Kerem Akturkoglu,6,2,0.4,0.4,0.6,0.1,0.8,1.4
Fabrício Baiano,1,3,0.5,1,1.1,-,0.5,1.5
Tolga Cigerci,-,-,0.5,0.8,1.5,-,-,1
Korcan Celikay,-,-,-,-,0.1,-,-,-
Dorukhan Tokoz,-,3,0.3,0.5,0.8,-,0.3,0.7
Eren Albayrak,1,2,0.6,0.4,1.1,0.1,0.5,1
Hasan Hatipoglu,1,-,0.1,-,0.6,0.1,-,0.2
Zlatko Tripic,3,2,0.7,0.4,0.7,0.4,0.6,1
Mikkel Diskerud,2,-,0.3,0.1,0.6,-,0.5,0.7
Claudemir,-,1,0.3,0.3,0.2,-,0.3,0.3
Tiago Lopes,-,2,0.9,0.5,1.9,-,0.9,1.4
Ramazan Kose,-,-,-,-,0.3,-,-,-
Ferhat Kaplan,-,-,-,-,0.6,-,-,-
