Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Marcelo Benítez,1,-,0.7,0.3,0.8,0.1,0.7,1.2
Norberto Briasco,3,1,0.5,1.5,1.4,0.2,1.2,2.1
Miguel Torrén,1,1,0.2,0.3,0.8,-,0.1,0.7
Julián Álvarez,-,-,1.6,1.7,0.1,0.1,1.3,2
Ignacio Aliseda,1,2,1.2,2.2,1.3,0.3,1.5,3.1
Lucas Villalba,-,2,1,1.1,1.1,-,0.8,1.3
Luciano Gómez,1,1,1.3,1.7,1.7,-,1.4,1.7
Juan Galeano,1,-,0.8,1.3,0.6,-,0.9,1.5
Matías de los Santos,-,-,0.7,0.2,0.2,-,-,-
Ramón Arias,-,-,0.4,0.2,1.5,0.2,0.1,0.2
Emmanuel Más,-,-,-,0.2,1.4,-,0.8,1.8
Guillermo Ortíz,-,-,0.1,0.4,0.9,-,0.2,0.5
Iván Gómez,1,2,0.6,1.4,1.3,-,2.2,2
Leonel Galeano,-,-,0.3,0.1,0.8,-,0.1,0.6
Gonzalo Castellani,-,2,0.9,1.8,0.9,-,1.9,2.3
Leandro Fernández,2,2,0.9,0.7,1.1,0.9,0.9,1.1
Lautaro Comas,2,1,0.6,1.6,2.9,0.4,1.3,2.4
Pablo Rosales,-,-,0.7,0.7,0.3,-,0.7,0.7
Néstor Breitenbruch,-,-,0.5,1.3,-,0.3,1,2.3
Fernando Márquez,4,-,0.8,0.5,0.8,0.4,0.8,2.4
Alexis Maldonado,1,-,0.1,0.2,0.1,-,0.2,0.3
Gonzalo Piovi,-,-,0.8,0.9,0.3,0.1,0.5,1.5
Héctor Fértoli,-,1,1.5,2,1.5,-,1,4.5
Matko Miljevic,1,-,0.5,1.8,1.5,-,1.5,1.5
Marcelo Ortiz,2,1,0.4,0.3,0.8,0.2,0.3,0.8
Nahuel Estévez,1,1,1.1,0.4,0.6,-,0.7,0.7
Guillermo Ortíz,-,-,-,0.5,0.8,-,-,0.5
Nicolás Navarro,-,-,-,-,0.4,-,-,-
Federico Milo,-,1,0.9,1.6,0.7,0.1,0.8,1.3
Gabriel Hauche,7,1,0.8,0.5,1.6,0.6,1.3,1.8
Ismael Quílez,-,1,0.8,0.9,1.1,-,0.4,1.1
Braian Romero,1,-,0.6,0.2,0.6,0.2,1,2.4
Cristian Tassano,1,-,0.5,-,1.5,-,-,0.5
Jeremías Ledesma,-,-,-,-,0.1,-,-,-
Nicolás Pasquini,-,-,1.9,0.1,0.3,0.1,0.1,0.3
Christian Almeida,-,-,0.6,0.4,0.2,-,0.2,1
Oscar Salomón,-,-,0.3,0.9,1.4,-,0.4,1.1
Leonardo Ponzio,-,-,-,0.3,0.5,-,0.8,-
Maximiliano Gagliardo,-,-,-,-,0.2,-,-,-
Alexis Mac Allister,1,1,1.2,0.7,2,-,0.6,2
Diego Zabala,2,2,1.5,1,0.4,0.1,0.6,1.4
