Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Amir Rrahmani,1,-,-,0.1,0.5,-,-,0.2
Lucien Agoume,-,-,0.2,0.5,0.7,-,0.7,0.8
Miguel Veloso,2,2,0.5,0.4,0.5,-,0.2,1
Pau López,-,-,-,-,-,-,-,-
Borja Mayoral,10,2,0.7,0.3,0.9,0.4,0.7,1.3
Pepe Reina,-,-,-,-,-,-,-,-
Samir,1,-,0.3,0.2,1.2,0.1,0.5,0.4
Luca Ceppitelli,-,-,0.1,0.1,0.7,0.1,0.1,0.5
Koffi Djidji,1,-,0.2,0.4,0.1,0.1,0.5,0.7
Matteo Darmian,3,3,0.4,0.1,0.6,0.1,0.2,0.3
Roberto Gagliardini,3,2,0.3,0.1,0.6,-,0.2,0.7
Gonzalo Villar,-,1,0.2,1.2,1.5,-,0.5,0.8
Gianluca Lapadula,8,2,0.9,0.4,1.8,0.9,1,1.7
Kevin Agudelo,1,2,0.4,1.5,1.1,0.1,0.9,1.2
Matteo Pessina,2,2,1,0.5,0.8,-,0.7,1.3
Bruno Alves,1,-,0.1,0.1,0.5,0.1,0.1,0.1
Nicolo Fagioli,-,-,-,2,2,-,-,-
Eldor Shomurodov,8,1,0.6,0.5,0.7,0.4,1,2.5
Salvador Ferrer,-,1,0.8,0.3,0.4,-,0.4,0.7
Stephan El Shaarawy,1,1,1.7,0.9,0.9,0.1,0.4,1.3
Stefano Okaka,4,1,0.4,0.8,1.6,0.6,1,2.3
Joakim Maehle,-,2,0.7,0.8,0.6,-,0.6,1.4
Nikola Maksimovic,-,-,0.2,0.2,0.4,-,0.2,0.3
Nicola Zalewski,-,1,1,-,1,-,-,-
Federico Fazio,1,-,0.2,0.5,0.5,-,0.2,0.3
Adrien Silva,1,1,0.5,0.7,1,-,0.7,0.9
Jasmin Kurtic,4,-,0.7,0.4,1.1,0.1,0.4,0.9
Marvin Zeegelaar,1,-,0.4,0.9,0.3,0.2,0.6,1.2
Andrea Petagna,4,3,1,0.3,0.7,0.3,0.5,0.7
Federico Bonazzoli,-,1,1,1,1,-,1.5,1.5
Rogerio,-,1,0.4,0.9,0.9,-,0.5,1.1
Martin Erlic,3,1,-,0.1,0.4,-,-,0.3
Bruno Peres,1,2,0.9,0.5,0.5,-,0.4,0.8
Felipe Caicedo,8,-,0.5,0.4,0.7,0.3,0.2,1.1
Marco Sportiello,-,-,-,-,0.1,-,-,-
Salvatore Molina,1,4,0.8,0.9,1.3,0.1,1,1.2
Ashley Young,1,4,1.1,0.2,0.6,0.1,0.1,0.4
Pierluigi Gollini,-,-,-,-,0.2,-,-,-
Matteo Ricci,-,2,0.8,0.4,1,-,0.4,0.7
Diego Farias,4,2,1.1,0.6,0.5,0.1,0.4,0.9
Ebrima Darboe,-,-,0.4,0.6,0.6,-,0.2,0.6
Leonardo Pavoletti,4,3,0.4,0.1,0.9,0.3,0.4,1.2
Nicolò Rovella,-,2,0.8,0.6,1.2,-,0.3,0.8
Soualiho Meité,-,-,0.3,0.6,0.9,0.1,0.7,0.4
Keita Baldé,7,1,0.8,0.6,1.4,0.2,0.6,1.8
Maximiliano Olivera,-,-,-,-,0.5,-,-,0.5
Kevin Bonifazi,-,-,0.1,0.4,0.5,-,0.1,0.6
Sofyan Amrabat,-,-,0.4,1.5,1.4,-,1.5,1.1
Mattia Bani,-,-,0.1,-,0.5,-,0.1,0.2
Daniele Rugani,1,1,0.2,0.1,0.3,-,0.2,0.3
Nicolas Nkoulou,1,-,0.1,0.2,1.4,-,-,0.3
Gastón Ramírez,-,4,0.9,0.7,1.3,0.1,1,1.1
Aleksey Miranchuk,4,2,0.6,0.6,0.8,0.1,0.5,0.7
Botond Balogh,-,-,-,0.3,-,-,-,0.3
Danilo,-,1,0.3,0.1,0.4,-,-,0.3
Gaetano Castrovilli,5,3,0.5,0.9,1.9,-,1.5,2
Mattias Svanberg,5,2,0.4,0.6,1.3,-,0.5,0.7
Ivan Radovanovic,-,-,0.1,0.2,0.8,-,0.1,0.2
Nicolás Domínguez,1,-,0.7,0.3,0.5,-,0.5,0.9
Andrea Masiello,-,-,0.2,-,0.4,-,0.1,0.2
Walace,-,-,0.3,0.8,0.9,-,0.5,1.3
Riccardo Saponara,2,-,0.4,1,1.6,0.2,0.2,1.2
Ivan Provedel,-,-,-,-,0.3,-,-,0.1
Miha Zajc,1,3,0.6,0.9,0.9,0.1,0.6,1.6
Riccardo Improta,1,-,0.6,0.7,1.6,0.1,0.6,1
Riccardo Gagliolo,2,2,0.6,0.4,1.2,-,0.2,0.5
Maxime Lopez,2,-,0.7,0.6,0.8,-,0.4,0.6
Ardian Ismajli,1,1,0.1,-,0.8,-,0.1,0.1
Daniele Verde,6,1,0.5,0.3,0.5,0.1,0.3,0.6
Jakub Jankto,6,3,1,0.3,0.8,0.2,1,1.1
Soualiho Meité,1,1,0.5,1.6,0.6,0.1,1.5,1.1
Marco Silvestri,-,-,-,-,0.1,-,-,-
Bartlomiej Dragowski,-,1,-,-,0.2,-,-,-
Francesco Magnanelli,-,-,0.4,0.1,0.6,-,-,0.6
Dennis Man,2,1,0.4,0.9,0.5,-,0.7,1.4
Sandro Tonali,-,-,0.6,0.2,0.7,-,0.3,0.6
Nahuel Molina,2,5,0.8,0.5,0.4,0.1,0.2,1
