Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Luke Murphy,-,2,0.5,0.2,1,-,0.7,0.7
Emyr Huws,1,-,0.1,0.1,0.4,-,0.8,1.2
Toby Savin,-,-,-,-,0.3,-,-,0.1
Jon Taylor,4,2,0.8,0.4,0.4,0.2,1,1.4
Ed Upson,1,2,0.4,0.4,1,-,0.5,0.8
Niall Ennis,6,1,0.6,1.1,1.3,0.3,2.3,3.3
Anthony Grant,3,-,0.2,0.2,2.2,-,0.5,0.8
Tristan Nydam,-,-,-,-,-,-,-,1
Rio Adebisi,-,1,0.3,0.6,0.7,-,1,1
Jimmy Keohane,10,2,0.9,0.3,0.6,-,0.9,1.3
Anthony Scully,11,4,0.7,0.3,0.4,0.1,1,1.3
John Akinde,7,5,0.5,0.3,0.7,0.3,0.8,1.4
Dave Richards,-,-,-,-,0.1,-,0.1,-
Idris Kanu,2,-,0.6,0.4,1.5,-,1.1,1.2
Callum McFadzean,1,3,0.2,0.3,1.1,0.1,0.7,0.6
Stephen Sama,-,-,-,-,0.8,-,-,0.3
Viv Solomon-Otabor,2,4,1,1.3,1.2,0.1,1.8,2
Adam Phillips,2,-,1,0.2,0.4,-,0.5,0.7
James Vennings,-,-,1,-,2,-,3,1
Morgan Boyes,-,-,0.5,-,1.5,-,-,0.5
Liam Kelly,-,2,1.2,0.1,0.6,0.1,0.5,0.7
Diallang Jaiyesimi,4,2,1.1,1.3,1.7,0.4,3.3,2.4
Kyle Vassell,4,2,0.9,0.6,1.3,0.6,1.5,3.1
Andrew Fisher,-,-,-,0.1,0.2,-,-,0.1
Ben Purrington,2,-,0.1,0.1,0.4,-,0.3,0.5
Chris Merrie,-,1,0.4,0.6,2.2,-,0.5,0.9
Lee Camp,-,-,0.1,0.1,0.3,-,-,-
Sean Clare,-,3,0.8,0.5,1.4,-,0.4,0.6
Antony Evans,-,-,0.7,0.6,1.1,0.1,0.6,1
Joe Edwards,7,2,0.7,0.4,0.8,-,0.8,1
George Williams,-,-,0.7,0.2,0.5,0.1,0.3,0.3
Ryan Jackson,-,4,0.9,0.4,0.6,-,0.6,0.5
Alex Cairns,-,-,-,-,0.1,-,-,-
Tyrese Fornah,-,3,0.4,0.3,0.3,-,0.5,0.3
Jon Nolan,3,-,0.5,0.2,1.1,-,0.4,0.7
Cohen Bramall,-,-,0.8,0.7,0.6,0.2,0.5,1.2
Paul McShane,-,-,0.1,0.1,0.8,-,-,0.4
Darren Pratley,1,2,0.2,0.1,1.2,-,0.2,0.6
Liam Gibbs,-,-,-,1,2,-,-,-
David Davis,-,-,0.3,0.3,1.1,-,0.7,0.9
Jack Diamond,1,3,0.4,1.1,1.1,-,0.9,1.4
Paul Coutts,-,2,0.7,0.2,0.8,-,0.7,0.6
Shane McLoughlin,1,4,0.8,0.3,1.1,0.1,0.4,0.6
Hakeeb Adelakun,3,1,0.5,0.4,0.7,0.4,1,1.1
Donervon Daniels,-,-,0.2,0.5,0.5,0.1,0.4,0.7
Rasmus Nicolaisen,-,-,0.1,0.2,0.5,-,0.2,0.3
John Bostock,-,1,0.6,0.3,0.9,-,0.8,0.8
Matija Sarkic,-,-,-,-,0.2,-,-,-
Albie Morgan,1,3,1,0.3,0.5,-,0.4,0.8
Chris Gunter,1,2,0.4,0.1,1.1,-,0.2,0.4
