Name,Drb,Fouled,Off,Disp,UnsTch,League
Mario Lemina,0.9,0.5,-,0.8,0.9,Premier_league
Robert Sánchez,-,0.2,-,-,0.1,Premier_league
Saïd Benrahma,1.4,0.5,0.1,1.1,1.6,Premier_league
Naby Keita,0.8,0.2,-,0.8,1.4,Premier_league
Robin Koch,0.2,0.5,-,-,0.3,Premier_league
Maximilian Kilman,0.4,0.2,-,0.1,0.2,Premier_league
John Egan,-,0.3,-,-,0.2,Premier_league
Curtis Jones,0.9,0.5,-,1.3,0.9,Premier_league
Nemanja Matic,0.9,0.3,-,0.4,0.7,Premier_league
Scott Dann,0.3,0.3,-,-,0.3,Premier_league
Nathan Aké,-,0.4,-,0.1,0.2,Premier_league
Joe Rodon,-,0.7,0.1,-,0.2,Premier_league
Neal Maupay,0.7,1.3,0.4,1.5,2.2,Premier_league
Gary Cahill,0.1,0.2,0.2,0.1,0.4,Premier_league
Cheikhou Kouyaté,0.3,0.4,-,0.2,0.5,Premier_league
Theo Walcott,0.8,1.4,0.4,1.3,2.7,Premier_league
Bernardo,-,0.3,-,1.3,0.3,Premier_league
Ben Davies,0.2,0.7,0.1,0.1,0.3,Premier_league
Édouard Mendy,-,0.1,-,-,-,Premier_league
Rayan Aït-Nouri,1.2,0.9,-,0.9,1.4,Premier_league
Bernd Leno,-,0.1,-,-,-,Premier_league
Luka Milivojevic,0.3,1.1,-,0.6,0.4,Premier_league
Aaron Ramsdale,0.1,0.1,-,-,0.1,Premier_league
Nathan Redmond,1.3,0.5,0.1,1.3,1.4,Premier_league
Joel Ward,0.5,0.5,-,0.3,0.9,Premier_league
Rúnar Alex Rúnarsson,-,-,-,-,-,Premier_league
Kasper Schmeichel,-,0.1,-,-,-,Premier_league
Kean Bryan,0.2,0.2,-,0.1,0.8,Premier_league
Ivan Cavaleiro,1.5,0.8,0.3,1.4,2.8,Premier_league
Alex Iwobi,1.5,0.4,-,0.9,1.4,Premier_league
Juan Mata,0.2,0.4,0.2,0.7,0.8,Premier_league
Jayden Bogle,0.7,0.6,0.1,1.1,1.3,Premier_league
Conor Coady,0.2,0.3,-,0.1,0.2,Premier_league
Jack Stephens,0.1,0.5,-,0.3,0.7,Premier_league
Bobby De Cordova-Reid,0.8,0.6,0.1,0.7,1.5,Premier_league
Marvelous Nakamba,0.3,0.8,-,0.2,0.6,Premier_league
Darren Randolph,-,0.3,-,-,-,Premier_league
Olivier Giroud,0.1,0.4,0.4,0.4,1,Premier_league
Jordan Ayew,1.6,1.9,0.2,1.8,2.5,Premier_league
Mateusz Klich,0.4,0.6,0.2,0.6,1.1,Premier_league
John Fleck,1,0.9,-,0.8,1,Premier_league
Robbie Brady,0.6,0.5,0.1,0.5,0.9,Premier_league
Jack Cork,0.3,0.8,-,0.8,0.9,Premier_league
Robert Snodgrass,0.5,1.6,0.1,0.5,1,Premier_league
Dara O'Shea,0.2,0.6,-,0.1,0.4,Premier_league
David Luiz,0.2,0.3,0.1,0.1,0.2,Premier_league
Ruben Loftus-Cheek,1.3,1.7,0.1,1.4,2.4,Premier_league
Aleksandar Mitrovic,0.3,0.9,0.1,0.6,2.2,Premier_league
Rui Patrício,-,-,-,-,-,Premier_league
Alex McCarthy,0.1,0.1,-,-,-,Premier_league
Steven Bergwijn,1,0.8,-,0.7,1.4,Premier_league
Neco Williams,0.8,1,-,0.5,0.2,Premier_league
Dele Alli,0.7,0.8,0.1,1.1,0.9,Premier_league
Jóhann Gudmundsson,0.5,0.7,-,0.5,0.8,Premier_league
Oliver Norwood,0.1,0.3,-,0.2,0.5,Premier_league
Cédric Soares,0.5,0.5,-,0.9,1,Premier_league
Ainsley Maitland-Niles,1.1,0.9,-,1.6,2.1,Premier_league
Joe Gomez,0.6,0.9,-,0.4,0.3,Premier_league
James Milner,0.2,0.4,-,0.5,0.5,Premier_league
Emil Krafth,0.2,0.6,0.1,0.3,0.6,Premier_league
David de Gea,-,0.1,-,-,-,Premier_league
Cengiz Ünder,1.7,0.3,0.2,1,0.9,Premier_league
Patrick van Aanholt,0.5,0.1,0.1,0.3,1.1,Premier_league
Max Lowe,0.9,0.4,-,0.5,1,Premier_league
Ashley Barnes,-,2.2,0.8,1,2,Premier_league
Jonny,0.4,1.6,-,1,1.1,Premier_league
Tom Davies,0.7,1,-,0.4,0.8,Premier_league
André Gomes,1.1,0.5,0.1,1.1,1.1,Premier_league
Vicente Guaita,-,0.2,-,-,-,Premier_league
Rúben Vinagre,1,-,-,3,0.5,Premier_league
Adam Lallana,0.6,0.7,0.1,0.5,0.8,Premier_league
Virgil van Dijk,-,0.4,0.2,-,0.2,Premier_league
Moussa Sissoko,0.7,0.4,-,0.6,0.7,Premier_league
Willian José,0.5,0.6,0.1,0.8,1.7,Premier_league
Ainsley Maitland-Niles,0.5,0.3,0.2,0.6,0.9,Premier_league
Marçal,0.5,0.2,-,0.2,0.5,Premier_league
Alexis Mac Allister,0.8,0.7,-,0.8,1.3,Premier_league
Erik Pieters,0.3,1.1,0.1,0.5,0.6,Premier_league
Ryan Fredericks,0.2,0.7,0.1,0.2,0.2,Premier_league
Daniel Jebbison,0.5,1,0.3,1.3,2,Premier_league
John Ruddy,-,-,-,-,-,Premier_league
Tyler Roberts,0.6,1.2,0.3,0.6,1.2,Premier_league
Sander Berge,1.3,0.3,0.1,0.9,1.6,Premier_league
Mohamed Elneny,0.2,0.4,-,0.2,0.3,Premier_league
Takumi Minamino,0.4,1.1,0.1,0.6,1.6,Premier_league
Theo Corbeanu,-,-,-,-,2,Premier_league
Ryan Bertrand,0.1,1.2,0.1,0.3,0.9,Premier_league
Dennis Praet,0.4,0.1,-,0.6,0.7,Premier_league
Steven Alzate,0.5,0.4,0.1,0.6,0.9,Premier_league
Bernard,0.8,0.6,-,0.9,1.3,Premier_league
Grady Diangana,1.3,1.8,0.2,1.9,2.6,Premier_league
Callum Robinson,0.5,0.7,0.3,0.9,1.4,Premier_league
Manuel Lanzini,0.4,0.6,0.2,0.5,0.8,Premier_league
Eric Bailly,0.3,0.3,-,-,0.6,Premier_league
Daniel Amartey,0.1,0.1,-,0.2,0.4,Premier_league
Takumi Minamino,0.8,0.2,0.1,0.6,0.8,Premier_league
Ben Osborn,0.8,0.6,0.2,1,1.8,Premier_league
Semi Ajayi,0.3,0.1,-,0.2,0.7,Premier_league
Sam Field,0.3,0.3,-,0.3,0.7,Premier_league
Tim Ream,0.1,-,-,0.1,0.3,Premier_league
Percy Tau,1,0.3,-,0.3,1.7,Premier_league
Xherdan Shaqiri,0.4,0.4,-,0.5,0.9,Premier_league
Joe Bryan,0.9,0.4,-,0.2,0.8,Premier_league
Phil Bardsley,0.8,1,-,0.3,0.3,Premier_league
Josh Maja,0.5,0.5,0.1,0.9,1.7,Premier_league
Fabian Schär,0.4,0.8,0.1,0.3,0.2,Premier_league
Enda Stevens,0.7,0.3,0.1,1,1.5,Premier_league
James Tomkins,-,0.1,-,-,0.4,Premier_league
Ben Johnson,0.3,0.2,-,0.4,0.3,Premier_league
Morgan Gibbs-White,0.7,0.9,0.1,0.5,1.6,Premier_league
Ryan Fraser,0.2,1.1,-,0.3,0.7,Premier_league
Javier Manquillo,0.1,0.6,-,0.5,1.2,Premier_league
Carlos Vinícius,0.3,0.3,0.2,0.8,1.9,Premier_league
Filip Krovinovic,0.7,1.1,-,0.5,1.1,Premier_league
Harry Winks,0.3,0.8,-,0.2,0.4,Premier_league
Moussa Djenepo,1,1.4,0.1,0.6,1.8,Premier_league
Nampalys Mendy,0.3,1.3,-,0.5,0.8,Premier_league
Matej Vydra,0.6,0.5,0.4,0.8,1.9,Premier_league
Sean Longstaff,0.2,1,-,0.3,0.8,Premier_league
Erik Lamela,1.1,0.4,-,0.6,0.9,Premier_league
Keinan Davis,0.6,0.3,-,0.3,0.7,Premier_league
Ki-Jana Hoever,1.1,0.3,0.1,0.5,1,Premier_league
Jack O'Connell,-,-,0.5,-,1,Premier_league
George Baldock,0.5,0.7,0.3,0.6,1,Premier_league
DeAndre Yedlin,0.2,0.7,0.2,0.2,1.2,Premier_league
Owen Otasowie,0.5,1,-,0.5,1.2,Premier_league
Donny van de Beek,0.4,0.3,-,0.4,0.6,Premier_league
Matt Phillips,0.7,0.2,0.2,0.8,1.6,Premier_league
Ross Barkley,0.5,1,0.5,0.5,1,Premier_league
Jairo Riedewald,0.4,0.2,-,0.3,0.8,Premier_league
Jamal Lewis,0.5,0.7,-,0.5,0.7,Premier_league
Nathaniel Clyne,0.3,0.2,-,0.2,0.6,Premier_league
Jeff Hendrick,0.4,0.5,0.1,0.7,0.6,Premier_league
Eddie Nketiah,0.4,0.6,-,0.3,0.8,Premier_league
Michy Batshuayi,0.6,0.3,0.6,1.2,1.4,Premier_league
Hélder Costa,0.9,0.8,0.1,0.9,2,Premier_league
Billy Gilmour,0.2,0.4,-,-,0.4,Premier_league
Kevin Long,-,0.3,-,-,0.1,Premier_league
Andy Carroll,0.1,0.6,0.2,0.2,1,Premier_league
Fábio Silva,0.2,0.7,0.2,0.7,1.4,Premier_league
Anthony Gordon,0.7,0.7,0.3,0.7,1.7,Premier_league
James McCarthy,0.1,0.3,-,0.1,0.6,Premier_league
Kieran Gibbs,0.2,0.2,-,0.1,0.9,Premier_league
Matthew Longstaff,0.4,1,-,0.2,0.2,Premier_league
Jean-Philippe Mateta,0.4,0.1,0.7,0.7,1.4,Premier_league
Fabian Delph,0.9,0.9,-,-,0.5,Premier_league
Jakub Moder,0.8,0.3,0.2,0.8,1.2,Premier_league
Dale Stephens,0.1,0.3,-,0.7,0.4,Premier_league
Aaron Connolly,0.3,0.9,0.5,0.5,1.6,Premier_league
Sead Kolasinac,-,1,-,-,-,Premier_league
Jay Rodriguez,0.4,0.6,0.5,0.7,1.6,Premier_league
Alireza Jahanbakhsh,0.5,0.2,-,0.3,0.6,Premier_league
Axel Tuanzebe,-,0.2,-,0.1,0.2,Premier_league
Sidnei Tavares,0.5,1.5,-,1.5,1,Premier_league
