Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Maximilian Kilman,-,1,0.3,0.4,0.2,-,0.1,0.2
John Egan,-,1,0.1,-,0.3,-,-,0.2
Curtis Jones,1,2,0.5,0.9,0.5,-,1.3,0.9
Nemanja Matic,-,-,0.4,0.9,0.3,-,0.4,0.7
Scott Dann,1,-,0.1,0.3,0.3,-,-,0.3
Nathan Aké,1,-,0.1,-,0.4,-,0.1,0.2
Joe Rodon,-,-,-,-,0.7,0.1,-,0.2
Neal Maupay,8,2,1,0.7,1.3,0.4,1.5,2.2
Gary Cahill,1,1,0.4,0.1,0.2,0.2,0.1,0.4
Cheikhou Kouyaté,1,-,0.2,0.3,0.4,-,0.2,0.5
Theo Walcott,3,3,0.8,0.8,1.4,0.4,1.3,2.7
Bernardo,-,-,0.7,-,0.3,-,1.3,0.3
Ben Davies,-,1,0.4,0.2,0.7,0.1,0.1,0.3
Édouard Mendy,-,-,-,-,0.1,-,-,-
Rayan Aït-Nouri,1,1,0.7,1.2,0.9,-,0.9,1.4
Bernd Leno,-,-,-,-,0.1,-,-,-
Luka Milivojevic,1,1,0.7,0.3,1.1,-,0.6,0.4
Aaron Ramsdale,-,-,0.1,0.1,0.1,-,-,0.1
Nathan Redmond,2,3,1,1.3,0.5,0.1,1.3,1.4
Joel Ward,-,1,0.3,0.5,0.5,-,0.3,0.9
Rúnar Alex Rúnarsson,-,-,-,-,-,-,-,-
Kasper Schmeichel,-,-,-,-,0.1,-,-,-
Kean Bryan,1,-,0.3,0.2,0.2,-,0.1,0.8
Ivan Cavaleiro,3,-,1.2,1.5,0.8,0.3,1.4,2.8
Alex Iwobi,1,2,0.5,1.5,0.4,-,0.9,1.4
Juan Mata,1,2,0.9,0.2,0.4,0.2,0.7,0.8
Jayden Bogle,2,-,0.3,0.7,0.6,0.1,1.1,1.3
Conor Coady,1,-,0.1,0.2,0.3,-,0.1,0.2
Jack Stephens,-,-,0.3,0.1,0.5,-,0.3,0.7
Bobby De Cordova-Reid,5,2,0.4,0.8,0.6,0.1,0.7,1.5
Marvelous Nakamba,-,-,0.2,0.3,0.8,-,0.2,0.6
Darren Randolph,-,-,-,-,0.3,-,-,-
Olivier Giroud,4,-,0.4,0.1,0.4,0.4,0.4,1
Jordan Ayew,1,3,0.4,1.6,1.9,0.2,1.8,2.5
Mateusz Klich,4,5,1.3,0.4,0.6,0.2,0.6,1.1
John Fleck,-,2,1.1,1,0.9,-,0.8,1
Robbie Brady,1,1,0.4,0.6,0.5,0.1,0.5,0.9
Jack Cork,-,-,0.5,0.3,0.8,-,0.8,0.9
Robert Snodgrass,-,-,0.4,0.5,1.6,0.1,0.5,1
Dara O'Shea,-,-,0.2,0.2,0.6,-,0.1,0.4
David Luiz,1,-,0.1,0.2,0.3,0.1,0.1,0.2
Ruben Loftus-Cheek,1,-,0.6,1.3,1.7,0.1,1.4,2.4
Aleksandar Mitrovic,3,3,0.9,0.3,0.9,0.1,0.6,2.2
Rui Patrício,-,-,-,-,-,-,-,-
Alex McCarthy,-,-,-,0.1,0.1,-,-,-
Steven Bergwijn,1,3,0.6,1,0.8,-,0.7,1.4
Neco Williams,-,-,0.5,0.8,1,-,0.5,0.2
Dele Alli,-,1,0.6,0.7,0.8,0.1,1.1,0.9
Jóhann Gudmundsson,2,-,0.4,0.5,0.7,-,0.5,0.8
Oliver Norwood,-,-,1,0.1,0.3,-,0.2,0.5
Cédric Soares,-,1,0.6,0.5,0.5,-,0.9,1
Ainsley Maitland-Niles,-,-,0.3,1.1,0.9,-,1.6,2.1
Joe Gomez,-,-,0.1,0.6,0.9,-,0.4,0.3
James Milner,-,1,0.5,0.2,0.4,-,0.5,0.5
Emil Krafth,1,-,0.4,0.2,0.6,0.1,0.3,0.6
David de Gea,-,-,-,-,0.1,-,-,-
Cengiz Ünder,-,2,0.7,1.7,0.3,0.2,1,0.9
Patrick van Aanholt,-,1,0.5,0.5,0.1,0.1,0.3,1.1
Max Lowe,-,-,0.3,0.9,0.4,-,0.5,1
Ashley Barnes,3,-,0.9,-,2.2,0.8,1,2
Jonny,-,-,0.3,0.4,1.6,-,1,1.1
Tom Davies,-,1,0.2,0.7,1,-,0.4,0.8
André Gomes,-,1,0.5,1.1,0.5,0.1,1.1,1.1
Vicente Guaita,-,-,-,-,0.2,-,-,-
Rúben Vinagre,-,-,0.5,1,-,-,3,0.5
Adam Lallana,1,1,0.8,0.6,0.7,0.1,0.5,0.8
Virgil van Dijk,1,-,-,-,0.4,0.2,-,0.2
Moussa Sissoko,-,-,0.2,0.7,0.4,-,0.6,0.7
Willian José,1,-,0.7,0.5,0.6,0.1,0.8,1.7
Ainsley Maitland-Niles,-,-,0.2,0.5,0.3,0.2,0.6,0.9
Marçal,-,-,0.3,0.5,0.2,-,0.2,0.5
Alexis Mac Allister,1,1,0.7,0.8,0.7,-,0.8,1.3
Erik Pieters,-,1,0.3,0.3,1.1,0.1,0.5,0.6
Ryan Fredericks,1,1,0.9,0.2,0.7,0.1,0.2,0.2
Daniel Jebbison,1,-,0.3,0.5,1,0.3,1.3,2
John Ruddy,-,-,-,-,-,-,-,-
Tyler Roberts,1,2,0.6,0.6,1.2,0.3,0.6,1.2
Sander Berge,1,1,0.9,1.3,0.3,0.1,0.9,1.6
Mohamed Elneny,1,-,0.2,0.2,0.4,-,0.2,0.3
Takumi Minamino,2,-,0.5,0.4,1.1,0.1,0.6,1.6
Theo Corbeanu,-,-,1,-,-,-,-,2
Ryan Bertrand,-,1,0.5,0.1,1.2,0.1,0.3,0.9
Dennis Praet,1,1,0.5,0.4,0.1,-,0.6,0.7
Steven Alzate,1,-,0.7,0.5,0.4,0.1,0.6,0.9
Bernard,1,-,0.8,0.8,0.6,-,0.9,1.3
Grady Diangana,1,-,0.3,1.3,1.8,0.2,1.9,2.6
Callum Robinson,5,-,0.6,0.5,0.7,0.3,0.9,1.4
Manuel Lanzini,1,1,0.6,0.4,0.6,0.2,0.5,0.8
Eric Bailly,-,-,-,0.3,0.3,-,-,0.6
Daniel Amartey,1,-,-,0.1,0.1,-,0.2,0.4
Takumi Minamino,1,-,-,0.8,0.2,0.1,0.6,0.8
Ben Osborn,1,-,0.7,0.8,0.6,0.2,1,1.8
Semi Ajayi,2,-,0.2,0.3,0.1,-,0.2,0.7
Sam Field,-,-,-,0.3,0.3,-,0.3,0.7
Tim Ream,-,-,-,0.1,-,-,0.1,0.3
Percy Tau,-,1,1,1,0.3,-,0.3,1.7
Xherdan Shaqiri,-,2,1.4,0.4,0.4,-,0.5,0.9
Joe Bryan,1,-,0.3,0.9,0.4,-,0.2,0.8
Phil Bardsley,-,-,-,0.8,1,-,0.3,0.3
Josh Maja,3,-,0.5,0.5,0.5,0.1,0.9,1.7
Fabian Schär,1,-,-,0.4,0.8,0.1,0.3,0.2
Enda Stevens,-,1,0.6,0.7,0.3,0.1,1,1.5
James Tomkins,-,-,0.1,-,0.1,-,-,0.4
Ben Johnson,1,-,0.3,0.3,0.2,-,0.4,0.3
Morgan Gibbs-White,1,-,0.7,0.7,0.9,0.1,0.5,1.6
Ryan Fraser,-,2,1.4,0.2,1.1,-,0.3,0.7
Javier Manquillo,-,-,0.4,0.1,0.6,-,0.5,1.2
Carlos Vinícius,1,-,0.2,0.3,0.3,0.2,0.8,1.9
Filip Krovinovic,-,-,0.5,0.7,1.1,-,0.5,1.1
Harry Winks,-,-,0.3,0.3,0.8,-,0.2,0.4
Moussa Djenepo,1,-,0.2,1,1.4,0.1,0.6,1.8
Nampalys Mendy,-,1,0.2,0.3,1.3,-,0.5,0.8
Matej Vydra,3,2,0.5,0.6,0.5,0.4,0.8,1.9
Sean Longstaff,-,1,0.5,0.2,1,-,0.3,0.8
Erik Lamela,1,-,0.4,1.1,0.4,-,0.6,0.9
Keinan Davis,1,1,0.4,0.6,0.3,-,0.3,0.7
Ki-Jana Hoever,-,-,0.3,1.1,0.3,0.1,0.5,1
Jack O'Connell,-,-,-,-,-,0.5,-,1
George Baldock,-,2,0.6,0.5,0.7,0.3,0.6,1
DeAndre Yedlin,-,-,0.5,0.2,0.7,0.2,0.2,1.2
Owen Otasowie,-,1,0.3,0.5,1,-,0.5,1.2
Donny van de Beek,1,1,0.2,0.4,0.3,-,0.4,0.6
Matt Phillips,2,1,0.8,0.7,0.2,0.2,0.8,1.6
Ross Barkley,-,-,0.5,0.5,1,0.5,0.5,1
Jairo Riedewald,2,-,0.4,0.4,0.2,-,0.3,0.8
Jamal Lewis,-,1,0.6,0.5,0.7,-,0.5,0.7
Nathaniel Clyne,-,1,0.3,0.3,0.2,-,0.2,0.6
Jeff Hendrick,2,1,0.3,0.4,0.5,0.1,0.7,0.6
