Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Mateo Cassierra,10,1,0.6,0.6,0.7,0.8,0.8,1.5
João Camacho,3,1,0.8,1.2,1.8,0.3,0.7,2
Cafu,1,1,0.3,0.4,1.9,0.1,0.6,1.3
Bruno Jordão,1,1,0.7,1,1,0.2,1.2,1.8
Matheus Clemente,-,-,1,1,1,-,1,-
Diogo Figueiras,-,1,0.7,0.4,0.8,-,0.3,0.6
Pedro Augusto,1,2,0.6,0.6,1.5,-,0.8,1.3
Adil Rami,-,-,0.1,0.3,0.7,-,-,0.3
Fali Candé,2,-,0.5,0.7,1.1,0.1,0.5,1
Cristián Borja,1,-,0.2,0.4,1.2,0.2,0.2,0.6
Fernando Fonseca,-,1,0.5,0.8,1.2,-,0.8,1.3
Hélder Ferreira,4,4,0.8,0.5,1,0.2,0.6,1.3
Joao Mendes,-,-,1,1.7,1.8,-,1,1.2
João Novais,2,2,1,0.5,1.3,-,0.4,0.4
Claudio Falcão,-,1,0.1,0.2,0.3,0.1,0.2,0.6
Bruno Miguel Rodrigues,-,-,0.2,0.1,0.7,-,-,-
Matheus Nunes,3,2,0.2,1.2,1.5,0.1,0.8,1.2
André Almeida,2,-,0.5,1.3,1.4,0.1,1,1.1
Shoya Nakajima,-,1,0.3,1.5,1,-,0.8,1.8
Antoine Leautey,1,1,0.8,1.1,0.8,0.3,0.9,1.7
Bruno Varela,-,-,-,-,0.2,-,0.1,-
Matheus,-,-,-,-,0.1,-,-,-
Henrique,-,1,0.2,-,0.8,0.1,0.1,0.2
Roberto Olabe,-,2,0.5,0.9,1.3,0.1,0.4,0.9
António Filipe,-,-,-,-,-,-,-,-
Diogo Leite,1,-,0.2,0.1,0.6,-,0.1,0.2
Steven Vitória,3,-,0.1,-,0.7,0.1,-,0.2
Abel Ruiz,3,3,0.6,0.6,0.9,0.2,0.6,1.3
Marcelo Hermes,1,1,1,0.3,0.9,0.1,0.5,1.7
Fabrício,4,1,0.5,0.6,1,0.4,0.5,1.6
Rúben Fernandes,1,-,0.2,0.1,0.3,0.2,0.2,0.2
Abdu Conté,-,3,0.8,0.6,1.1,0.1,0.6,1.3
Jean,-,-,0.2,0.3,1,-,0.5,0.9
Zié Ouattara,-,-,0.4,1.3,0.5,0.3,0.1,0.5
Filipe Ferreira,1,3,0.8,0.5,0.4,-,0.3,1
Beto,-,-,-,-,0.3,-,-,0.1
Afonso Sousa,2,-,0.7,1,1.6,0.1,0.7,1.5
Vincent Thill,-,2,0.7,1.4,1.1,-,0.8,1.9
Fábio Nunes,-,-,0.5,1.2,2.2,-,1,1.7
Pedro Mendes,2,-,0.4,0.3,1.1,-,0.8,1.7
Ruben Freitas,-,3,0.8,0.2,0.6,-,0.4,1.1
Ivo Pinto,-,-,0.5,1.5,1.3,0.1,0.7,1.7
Jhonata Robert,4,-,1,1.1,0.9,0.1,0.6,0.9
Brayan Riascos,5,3,0.4,1.3,1.9,0.7,1.5,3.6
Guga,-,-,0.7,0.8,1.2,-,0.8,0.7
Gonzalo Plata,1,1,0.2,0.7,0.7,-,0.4,0.8
Rafael Martins,7,1,0.5,0.1,0.7,0.5,0.5,1.5
Costinha,-,-,0.1,0.9,1.1,0.1,0.6,0.8
Rui Correia,1,1,0.2,-,1.4,0.1,0.2,0.5
Anderson Oliveira,1,3,0.6,1.3,1.1,0.1,1.1,2.1
João Afonso,-,-,0.2,0.5,0.7,-,0.5,0.7
Ricardo Alves,2,1,0.2,0.1,0.7,0.1,0.1,-
Felipe Pires,4,1,0.7,0.7,1.3,0.4,0.8,1.5
Abner Felipe,-,1,0.1,0.1,2.1,-,0.4,1.4
Sávio,-,1,0.8,0.1,0.6,-,0.2,0.5
Nuno Santos,1,-,0.5,0.9,0.8,-,0.5,1.2
Ewerton,1,-,0.9,0.3,1.1,0.1,0.6,0.8
Pedro Sá,-,-,0.1,0.2,0.8,-,0.2,0.4
Nikola Jambor,-,-,1,0.2,1.2,-,-,0.3
Daniel Bragança,-,1,0.3,0.8,0.7,-,0.5,0.6
Marco Pereira,-,-,0.1,0.1,0.2,-,-,0.1
Rashid,1,-,1.1,0.2,1,-,0.5,0.6
