Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Milad Mohammadi,Gent, 27, D(LR),M(L),,25(4),2222,1,5,2,-,1,77.6,0.9,-,6.84
Kerim Mrabti,KV Mechelen, 27, AM(CL),FW,,29,2344,6,4,2,-,1.6,79.8,0.7,-,6.84
Dimitri Lavalée,St.Truiden, 24, D(C),,,11,974,-,-,3,-,0.7,77,2.5,-,6.84
Gilles Dewaele,Kortrijk, 25, D(R),M(R),,29(1),2595,3,3,2,-,1,69.9,1.3,-,6.84
Ryan Sanusi,Beerschot, 29, DMC,,,32,2804,1,4,7,-,0.8,80.7,1.1,-,6.84
Ismaila Coulibaly,Beerschot, 20, M(C),,,17(5),1638,5,-,3,-,1.8,74.8,0.7,2,6.84
Jean Onana,Royal Excel Mouscron, 21, DMC,,,26(2),2285,2,1,6,1,1.1,75.9,2.1,1,6.84
Núrio Fortuna,Gent, 26, D(C),,,24(1),2098,1,-,3,-,0.8,79.8,1.7,-,6.84
Trent Sainsbury,Kortrijk, 29, D(C),,,15(2),1325,2,-,5,-,0.8,78.2,2.6,2,6.83
Ritchie de Laet,Royal Antwerp, 32, D(CLR),,,39,3374,-,-,9,-,0.3,86.5,1.3,-,6.83
Jonathan Buatu,St.Truiden, 27, D(C),,,26(3),2420,1,-,2,-,0.2,84.7,1.5,-,6.83
Vaclav Jemelka,OH Leuven, 25, D(C),,,21(2),1887,-,3,3,-,0.1,84.8,1.2,-,6.83
Dylan Ouédraogo,OH Leuven, 22, D(C),,,8(1),689,-,-,-,-,-,82.2,0.7,-,6.82
Jean-Luc Dompé,Zulte Waregem, 25, M(L),,,14(13),1501,6,6,3,1,1.2,80.6,0.1,3,6.82
Mamadou Fall,Sporting Charleroi, 29, AM(LR),,,28(1),2289,9,-,3,1,1.1,66.2,1.2,2,6.82
Ortwin De Wolf,Royal Antwerp, 24, GK,,,6(1),595,-,1,1,-,-,57.9,0.9,1,6.82
Kamal Sowah,OH Leuven, 21, AM(CLR),,,34,3041,8,5,4,-,2.2,71.7,0.2,3,6.81
Dorian Dessoleil,Sporting Charleroi, 28, D(C),,,34,3060,2,1,3,-,0.7,82.3,1.9,-,6.81
Omar Govea,Zulte Waregem, 25, AM(C),,,27(1),2272,2,7,5,-,1.3,84.7,0.5,-,6.81
Michael Ngadeu-Ngadjui,Gent, 30, D(C),,,20(1),1782,1,1,5,1,0.6,86,2.7,-,6.81
Hannes Delcroix,Anderlecht, 22, D(C),,,23,2015,-,-,1,-,0.6,87.8,1.8,-,6.81
Jelle Bataille,Oostende, 22, D(R),M(R),,29(2),2570,1,4,7,2,0.4,68.4,0.5,-,6.81
Matt Miazga,Anderlecht, 25, D(C),,,30,2623,1,1,4,1,0.7,86.8,3.3,2,6.81
Fashion Sakala,Oostende, 24, FW,,,26(2),2191,13,2,5,-,2.8,73.3,0.9,4,6.80
Nikola Storm,KV Mechelen, 26, AM(L),,,19(10),1702,7,4,2,-,2.2,74.8,0.1,4,6.80
Giulian Biancone,Cercle Bruges, 21, D(R),M(R),,17(1),1551,1,-,6,-,0.6,69.8,1.9,1,6.80
Guillaume Gillet,Sporting Charleroi, 37, D(R),M(CR),,29(3),2511,-,1,3,-,0.5,82.6,2.5,-,6.80
Jordi Vanlerberghe,KV Mechelen, 24, D(C),,,21(4),1956,1,-,5,-,0.7,78.4,2.1,-,6.79
Sascha Kotysch,OH Leuven, 32, D(C),,,19(1),1711,2,-,3,-,0.6,78.4,2.2,1,6.79
Daniel Schmidt,St.Truiden, 29, GK,,,24,2160,-,-,1,-,-,65.8,0.2,-,6.79
Faris Haroun,Royal Antwerp, 35, M(C),,,21(1),1825,1,4,7,-,0.7,82.5,1.3,1,6.79
Laurens De Bock,Zulte Waregem, 28, D(CL),,,30(1),2671,2,1,7,-,0.4,77.1,1.6,1,6.79
Odilon Kossounou,Club Bruges, 20, D(C),,,30(3),2699,1,2,5,-,0.3,85.9,1.5,-,6.78
Makhtar Gueye,Oostende, 23, FW,,,27(4),2209,11,1,6,1,2.6,54,2.9,2,6.78
Jhon Lucumí,Genk, 22, D(C),,,36(2),3309,-,-,8,-,0.2,89.9,0.9,-,6.78
Simon Mignolet,Club Bruges, 33, GK,,,38,3420,-,-,1,-,-,72.7,0.2,-,6.78
Sulayman Marreh,Gent, 25, DMC,,,9(2),782,-,-,3,-,0.9,88.3,1.7,-,6.78
Pol García,St.Truiden, 26, D(C),,,15(1),1361,1,2,4,-,0.5,78.5,1.9,1,6.77
Maxime Le Marchand,Royal Antwerp, 31, D(CL),,,13,1101,3,-,2,1,0.4,86.2,2,-,6.77
Lucas Rougeaux,Kortrijk, 27, D(C),,,14(2),1227,-,-,2,-,0.4,77.9,1.2,-,6.77
Simen Juklerød,Royal Antwerp, 27, D(L),M(LR),,12(7),1106,3,3,-,-,0.6,78.9,0.3,1,6.76
Gerardo Arteaga,Genk, 22, D(L),M(L),,21(4),1905,1,5,3,-,0.4,84.6,0.2,-,6.76
Nicolas Raskin,Standard Liege, 20, M(C),,,25(3),2252,1,4,5,-,0.6,80.9,0.8,1,6.76
Dino Arslanagic,Gent, 28, D(C),,,12(4),1112,-,-,3,-,0.3,85.6,2.7,-,6.76
Patrik Hrosovsky,Genk, 29, DMC,,,27(3),2360,2,2,6,-,0.7,86.8,0.3,1,6.76
Tahith Chong,Club Bruges, 21, AM(L),,,5(5),425,-,4,-,-,0.9,83.8,0.2,-,6.76
Shamar Nicholson,Sporting Charleroi, 24, FW,,,23(10),2205,9,3,3,-,2,62.3,4.2,2,6.76
Dylan Batubinsika,Royal Antwerp, 25, D(C),,,22(4),1982,3,-,4,1,0.6,88.1,2.1,-,6.76
Emmanuel Agbadou,Eupen, 23, D(C),DMC,,23,1986,1,-,2,2,0.5,82.7,1.7,2,6.76
Igor de Camargo,KV Mechelen, 38, FW,,,14(13),1379,8,1,3,-,1.5,67.5,2.7,2,6.76
Yannick Thoelen,KV Mechelen, 30, GK,,,18,1620,-,-,-,-,-,70,0.3,2,6.75
Pierre-Yves Ngawa,OH Leuven, 29, D(C),,,22(5),1959,1,-,4,1,0.3,82.8,1.5,2,6.75
Aleksandar Vukotic,Waasland-Beveren, 25, D(C),,,24(2),2146,2,-,8,2,0.5,70.5,2.9,1,6.75
Roman Bezus,Gent, 30, AM(C),FW,,14(8),1175,2,3,4,-,1.4,69.8,1.2,1,6.74
Ilombe Mboyo,St.Truiden, 34, FW,,,14(1),1201,4,2,1,-,0.9,74.8,1.7,1,6.74
Mats Rits,Club Bruges, 27, DMC,,,32(5),2942,2,1,3,-,1.1,78.1,0.6,-,6.74
Warleson,Cercle Bruges, 24, Goalkeeper,,,3,270,-,-,-,-,-,56.4,0.7,-,6.73
Martin Hongla,Royal Antwerp, 23, D(C),DMC,,32(2),2794,3,2,10,-,0.8,85.3,1,-,6.73
Kemar Lawrence,Anderlecht, 28, D(CL),,,14(1),1178,1,-,3,1,0.3,80.6,1.1,1,6.73
Ángelo Preciado,Genk, 23, M(R),,,7(3),582,-,1,1,-,0.5,78.8,0.1,-,6.73
Michel Balikwisha,Standard Liege, 20, AM(LR),FW,,19(7),1630,7,2,1,-,0.8,85,0.3,1,6.73
Adriano,Eupen, 36, D(CLR),M(L),,22(2),1781,-,4,3,-,0.8,79.9,0.4,-,6.73
Samuel Bastien,Standard Liege, 24, DMC,,,25,2152,4,1,2,-,1.2,85.7,0.6,1,6.72
Konan N’Dri,Eupen, 20, M(R),,,21(11),2041,1,4,4,-,1.3,73.4,0.5,2,6.71
Michael Krmencik,Club Bruges, 28, FW,,,5(4),434,3,2,1,-,2.2,75.3,0.3,-,6.71
Musashi Suzuki,Beerschot, 27, FW,,,22(4),1979,6,1,1,-,2.3,71.9,2.8,1,6.71
Sinan Bolat,Gent, 32, GK,,,27,2430,-,-,2,-,-,64.9,0.2,2,6.71
Steve De Ridder,St.Truiden, 34, AM(C),FW,,25,2130,1,1,4,1,0.7,84.4,0.6,1,6.70
Dimitar Velkovski,Cercle Bruges, 26, D(L),,,12(2),1018,-,2,1,1,0.1,77.7,0.4,-,6.70
Jelle Vossen,Zulte Waregem, 32, AM(C),FW,,22(7),1937,6,1,3,-,2,74.8,1.4,-,6.69
Kaveh Rezaei,Sporting Charleroi, 29, FW,,,18(7),1572,7,1,1,-,1.5,67.7,2.2,1,6.69
Arnaud Bodart,Standard Liege, 23, GK,,,33,2970,1,-,-,-,0.1,72.3,0.3,1,6.69
Mehdi Carcela-González,Standard Liege, 31, AM(LR),FW,,11(12),1090,1,2,4,-,1.3,83.3,0.1,-,6.69
Kristof D'Haene,Kortrijk, 30, D(L),,,7(1),640,-,2,4,-,0.4,78,0.1,-,6.69
Edo Kayembe,Eupen, 23, DMC,,,19(4),1818,-,2,4,-,0.9,87.3,0.8,-,6.69
Yari Verschaeren,Anderlecht, 19, AM(CR),,,18(4),1355,6,4,-,-,1.1,86.3,0.1,2,6.68
Joroen Dom,Beerschot, 31, D(CR),M(R),,25(2),2207,2,1,3,-,0.4,72.3,1.5,-,6.68
Federico Ricca,Club Bruges, 26, D(CL),,,9(5),888,-,1,1,-,0.6,78.1,1.4,-,6.68
Sivert Heltne Nilsen,Waasland-Beveren, 29, DMC,,,8(1),676,-,1,2,-,0.4,80.4,1.1,-,6.68
Daniel Opare,Zulte Waregem, 30, D(LR),M(R),,27(2),2255,-,2,4,-,0.4,73.7,0.8,-,6.68
Elias Cobbaut,Anderlecht, 23, D(C),,,11(2),1024,-,1,2,-,0.1,88.3,1.8,-,6.68
Jens Cools,Eupen, 30, M(C),,,19(4),1615,1,-,7,-,0.7,85.6,2.3,-,6.68
Hendrik van Crombrugge,Anderlecht, 28, GK,,,12,1036,-,-,-,-,-,76.5,0.1,1,6.67
Vitinho,Cercle Bruges, 21, D(L),M(L),,21(7),1907,1,2,2,-,0.6,71.7,0.3,-,6.67
Mike Vanhamel,Beerschot, 31, GK,,,34,3060,-,-,-,-,-,60.7,0.4,2,6.67
Pieter Gerkens,Royal Antwerp, 26, AM(CR),,,31(6),2765,3,4,3,-,0.9,80.2,1.1,-,6.67
Carlos Cuesta,Genk, 22, D(C),,,34,2737,-,1,1,3,0.3,88,1.9,-,6.66
