Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Daryl Horgan,Hibernian, 28, AM(CLR),,,4(1),279,-,2,-,-,1,73.9,0.2,-,6.73
Bevis Mugabi,Motherwell, 26, D(C),,,21,1845,2,-,-,-,0.6,78.1,3.1,1,6.72
Stuart Findlay,Kilmarnock, 25, D(C),,,21(1),1752,-,-,-,1,0.5,70.5,3.9,-,6.72
Mark Reynolds,Dundee United, 34, D(C),,,31,2740,1,-,3,-,0.2,65.4,3.5,1,6.71
Ross Callachan,Hamilton Academical, 27, AM(C),,,28(1),2494,8,3,8,-,1.7,69.9,0.9,2,6.71
Jay Emmanuel-Thomas,Livingston, 30, FW,,,14(10),1412,5,-,-,-,1.3,63.4,4.9,3,6.71
Allan Campbell,Motherwell, 22, M(C),,,30,2680,4,-,4,-,1,78.4,1,1,6.71
Lawrence Shankland,Dundee United, 25, FW,,,26(2),2386,7,3,3,-,2.3,64.5,1.7,1,6.71
Gary Dicker,Kilmarnock, 34, DMC,,,21,1780,-,-,1,-,0.2,76.8,2.1,-,6.71
Jamie Robson,Dundee United, 23, D(L),M(L),,30(1),2602,-,2,5,-,0.3,62.9,2.1,-,6.71
Dean Lyness,St. Mirren, 29, Goalkeeper,,,1(1),142,-,-,-,-,-,41.7,0.5,-,6.71
Jordan Roberts,Motherwell, 27, FW,,,4(2),400,1,1,1,-,1.2,66.4,3,1,6.70
Shaun Rooney,St. Johnstone, 24, D(C),M(R),,20(7),1853,2,1,3,-,0.9,57,2.9,2,6.70
Robbie Crawford,Motherwell, 26, M(C),,,16(2),1364,-,-,1,-,0.2,70.8,1.3,-,6.70
Aaron Martin,Hamilton Academical, 31, D(C),,,19,1620,-,-,4,-,0.3,68,3.4,-,6.70
Aaron McGowan,Kilmarnock, 24, D(R),,,14(3),1304,-,-,4,-,0.2,61.6,4.1,-,6.69
Keith Watson,Ross County, 31, D(CR),,,14(5),1463,-,-,1,-,0.4,73,3.8,-,6.69
Marcus Fraser,St. Mirren, 26, D(CR),,,33,2910,1,-,4,-,0.4,66.3,1.6,1,6.69
Ryan Fulton,Hamilton Academical, 25, GK,,,28,2493,-,-,1,-,-,37.8,0.5,-,6.69
Richard Tait,St. Mirren, 31, D(L),M(R),,28(2),2382,1,1,4,1,0.8,60.4,2.4,1,6.69
Mark O'Hara,Motherwell, 25, D(C),DMC,,21(2),1850,4,-,2,1,1,73.1,3.5,1,6.68
