Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Francisco Portillo,Getafe, 30, M(CLR),,,3(13),411,-,1,1,-,-,76.5,0.1,-,6.15
Chimy Avila,Osasuna, 27, AM(LR),FW,,2(6),199,-,-,-,-,1,59.6,0.4,-,6.15
Jason,Valencia, 26, M(R),,,4(13),434,-,-,2,1,0.3,68.4,0.3,-,6.14
Oier Zarraga,Athletic Bilbao, 22, Midfielder,,,1(4),98,-,-,-,-,0.2,78.6,-,-,6.14
Yann Bodiger,Cadiz, 26, DMC,,,2(7),246,-,-,-,-,-,71.4,0.6,-,6.14
Yan Eteki,Granada, 23, DMC,,,16(9),1324,-,-,4,1,0.3,77.8,1,-,6.14
Alberto Soro,Granada, 22, Midfielder,,,3(12),384,1,2,1,-,0.1,76.1,0.1,-,6.13
Cheick Doukouré,Levante, 28, DMC,,,0(7),96,-,-,1,-,-,83.7,-,-,6.13
Rubén Blanco,Celta Vigo, 25, GK,,,19,1645,-,-,-,1,-,67.3,0.1,-,6.13
Waldo Rubio,Real Valladolid, 25, AM(L),,,5(5),376,1,-,1,-,0.9,67,-,-,6.13
Borja Sainz,Deportivo Alaves, 20, Midfielder,,,2(19),440,1,-,1,-,0.3,83.5,0.1,-,6.12
Aritz Arambarri,Real Sociedad, 23, Defender,,,0(1),25,-,-,-,-,-,80,1,-,6.12
Víctor Rodríguez,Elche, 31, AM(CLR),,,2(14),418,-,-,1,-,-,91.4,0.3,-,6.11
Sofian Chakla,Villarreal, 27, D(C),,,0(1),12,-,-,-,-,1,44.4,2,-,6.11
Victor Mollejo,Getafe, 20, Forward,,,0(4),71,-,-,-,-,-,66.7,0.3,-,6.11
Juan Brunet,Granada, 23, Midfielder,,,0(2),24,-,-,-,-,-,87.5,1,-,6.11
Damian Kadzior,Eibar, 28, AM(R),,,2(4),195,-,-,-,-,0.8,83,-,-,6.11
Adrián Marín,Deportivo Alaves, 24, D(L),,,1(4),91,-,-,-,-,0.2,68.2,0.6,-,6.10
Álex Martín,Cadiz, 23, Defender,,,1(1),95,-,-,-,-,-,84.8,1,-,6.10
Sergio Benito,Real Valladolid, 22, Forward,,,0(1),1,-,-,-,-,-,-,-,-,6.10
Filip Malbasic,Cadiz, 28, Forward,,,8(20),850,-,1,2,-,0.3,58.8,0.5,-,6.10
Juan Carlos Real,SD Huesca, 30, Midfielder,,,3(12),282,-,1,-,-,0.3,80.6,0.2,-,6.10
John Guidetti,Deportivo Alaves, 29, FW,,,1(9),201,1,-,1,-,0.5,73.1,0.4,-,6.10
Joaquín Muñoz,SD Huesca, 22, Midfielder,,,0(3),39,-,-,-,-,0.3,54.5,0.3,-,6.08
Cristiano Piccini,Valencia, 28, D(R),,,0(3),65,-,-,-,-,0.3,87,0.3,-,6.08
Raúl Navas,Osasuna, 33, D(C),,,2,169,-,-,-,-,-,74.1,-,-,6.08
Yoel Rodríguez,Eibar, 32, GK,,,3(1),299,-,-,-,-,-,52.7,-,-,6.07
Koffi,Getafe, 19, Defender,,,0(1),45,-,-,-,-,-,70,-,-,6.07
Youssouf Kone,Elche, 25, D(L),,,1(2),72,-,-,-,-,-,76.5,-,-,6.06
Carles Aleñá,Barcelona, 23, AM(CR),,,0(2),46,-,-,1,-,0.5,92.3,0.5,-,6.06
Stephane Paul Keller,Deportivo Alaves, 19, Defender,,,0(1),16,-,-,-,-,-,84.6,-,-,6.06
Marc Cardona,Osasuna, 25, FW,,,0(3),51,-,-,-,-,0.3,66.7,0.3,-,6.06
Darío Poveda,Getafe, 24, Forward,,,0(1),4,-,-,-,-,-,40,2,-,6.05
Ramón Azeez,Granada, 28, M(C),,,1(1),100,-,-,-,-,1,82.9,2,-,6.05
Tomás Tavares,Deportivo Alaves, 20, D(R),,,0(3),62,-,-,-,-,-,88.9,0.3,-,6.05
Javi Moyano,Real Valladolid, 35, D(R),,,2,104,-,-,-,-,-,60.7,1.5,-,6.04
Patrick Cutrone,Valencia, 23, FW,,,0(7),100,-,-,-,-,0.4,66.7,-,-,6.03
Luismi,Elche, 29, Midfielder,,,2(9),163,-,-,-,-,-,84.3,0.2,-,6.03
Rubén Sobrino,Valencia, 29, AM(R),FW,,0(5),45,-,-,-,-,-,66.7,0.2,-,6.03
Sergi García,Deportivo Alaves, 22, Midfielder,,,0(2),17,-,-,-,-,-,40,-,-,6.03
Sabit Abdulai,Getafe, 22, Midfielder,,,0(3),58,-,-,1,-,-,53.8,0.3,-,6.02
Kelechi Nwakali,SD Huesca, 22, Midfielder,,,1(4),139,-,-,1,-,-,86.4,0.4,-,6.02
Koba Koindredi,Valencia, 19, Midfielder,,,0(2),13,-,-,-,-,-,80,0.5,-,6.02
Quique González,Eibar, 31, Forward,,,0(12),163,-,-,-,-,0.3,71.4,0.3,-,6.01
Nino,Elche, 40, AM(C),,,0(16),273,-,-,1,-,0.2,92.1,0.1,-,6.00
Álex Blesa,Levante, 19, Midfielder,,,0(1),10,-,-,-,-,-,100,-,-,6.00
David Juncà,Celta Vigo, 27, D(L),,,1,1,-,-,1,-,-,-,-,-,6.00
Hugo Sotelo,Celta Vigo, 17, Midfielder,,,0(1),1,-,-,-,-,-,-,-,-,6.00
Mamor Niang,Getafe, 19, Forward,,,0(1),21,-,-,-,-,1,100,1,-,6.00
Miguel Rodriguez,Celta Vigo, 18, Forward,,,0(4),26,-,-,2,-,-,71.4,-,-,6.00
Ramón Folch,Elche, 31, Midfielder,,,0(1),1,-,-,-,-,-,-,-,-,6.00
Sergio Cubero,Eibar, 21, Defender,,,0(1),1,-,-,-,-,-,-,-,-,6.00
Facundo Ferreyra,Celta Vigo, 30, FW,,,2(11),293,1,-,3,1,0.5,66.7,0.8,-,6.00
Giorgi Kochorashvili,Levante, 21, Midfielder,,,0(3),22,-,-,-,-,0.3,46.2,-,-,5.99
Bobby Adekanye,Cadiz, 22, AM(R),,,0(3),34,-,-,-,-,0.3,87.5,-,-,5.98
Álex Millán,Villarreal, 21, Forward,,,0(1),1,-,-,-,-,-,-,-,-,5.97
Sergio González,Cadiz, 24, Midfielder,,,1,90,-,-,-,-,1,66.7,2,-,5.97
David Gil,Cadiz, 27, Goalkeeper,,,4,360,-,-,-,-,-,33.6,0.3,-,5.97
Gabriel Veiga,Celta Vigo, 19, Midfielder,,,1(5),114,-,-,1,-,-,80,-,-,5.97
Borja Mayoral,Real Madrid, 24, FW,,,0(2),21,-,-,-,-,-,60,-,-,5.96
Daniel Plomer,Granada, 22, Forward,,,0(1),45,-,-,-,-,-,100,-,-,5.96
John Patrick,Getafe, 17, Midfielder,,,0(6),60,-,-,-,-,0.3,60,0.2,-,5.96
Álvaro Bastida,Cadiz, 17, Midfielder,,,0(1),34,-,-,-,-,-,50,1,-,5.95
Nano Mesa,Cadiz, 26, Forward,,,0(1),8,-,-,-,-,-,33.3,-,-,5.94
Josete Miranda,Getafe, 22, Forward,,,0(4),23,-,-,1,-,0.3,64.3,0.5,-,5.94
Ferro,Valencia, 24, D(C),,,2(1),181,-,-,-,-,-,84.8,-,-,5.93
Isma Ruiz,Granada, 20, Midfielder,,,1,67,-,-,-,-,-,70,2,-,5.93
Lautaro de León,Celta Vigo, 20, Forward,,,0(1),13,-,-,-,-,-,66.7,-,-,5.93
Unai Arietaleanizbeaskoa,Eibar, 22, Forward,,,0(4),43,-,-,1,-,0.3,57.1,-,-,5.92
Gerónimo Rulli,Villarreal, 29, GK,,,3,181,-,-,-,1,-,77.2,-,-,5.91
John Donald,Elche, 20, Midfielder,,,1(1),50,-,-,-,-,-,100,-,-,5.88
Marc Baró,Cadiz, 21, Defender,,,1,90,-,-,-,-,1,71.4,-,-,5.84
Rubén Martínez,Osasuna, 36, GK,,,3,188,-,-,-,1,-,66.7,-,-,5.70
Koke Vegas,Levante, 25, GK,,,2,91,-,-,1,-,-,61.5,-,-,5.68
Unai Dufur,Eibar, 22, Midfielder,,,1,63,-,-,-,-,-,63.6,1,-,5.61
Eñaut Mendía,Eibar, 21, Midfielder,,,1,62,-,-,1,-,1,44.4,-,-,5.53
Jokin Ezkieta,Athletic Bilbao, 24, Goalkeeper,,,1,90,-,-,-,-,-,84.2,-,-,5.49
