Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Danilo,Twente, 22, FW,,,31(2),2656,17,5,3,1,2.9,70.5,0.8,5,6.86
Julio Pleguezuelo,Twente, 24, D(CR),,,18(1),1646,1,1,3,-,0.3,78.6,2.9,-,6.85
Perr Schuurs,Ajax, 21, D(C),,,20(7),1887,1,-,2,-,0.5,91.8,1.1,-,6.85
Pablo Rosario,PSV Eindhoven, 24, DMC,,,26(3),2315,1,4,6,-,0.5,82.9,2.1,1,6.85
Lisandro Semedo,Fortuna Sittard, 25, AM(R),,,26(8),2294,9,4,2,-,1.7,71.9,0.9,3,6.85
Loïs Openda,Vitesse, 21, FW,,,30(3),2435,10,4,1,-,1.9,70.7,0.7,1,6.85
Tyrell Malacia,Feyenoord, 21, D(L),,,24(2),2136,-,1,3,1,0.7,84.1,0.7,-,6.85
Orkun Kökcü,Feyenoord, 20, M(C),,,20(2),1567,3,2,1,1,2.2,85.7,0.3,-,6.85
Bart Ramselaar,FC Utrecht, 24, AM(CL),,,23(4),1936,4,4,2,-,1.7,79.3,0.4,1,6.85
Lucas Schoofs,Heracles, 24, DMC,,,27(3),2316,2,2,2,-,0.5,79.1,1.2,2,6.83
Uros Spajic,Feyenoord, 28, D(C),,,19,1613,-,-,4,-,0.3,90.7,1.7,-,6.83
Mimoun Mahi,FC Utrecht, 27, AM(CLR),FW,,14(8),1334,7,2,1,-,2.8,70.9,1,1,6.83
Vito van Crooij,VVV-Venlo, 25, AM(CLR),FW,,30(1),2721,3,8,9,-,1.1,68.5,2.1,2,6.82
Michael de Leeuw,FC Emmen, 34, AM(CLR),FW,,29,2561,13,1,4,-,2,74.8,1.4,1,6.82
Said Bakari,RKC Waalwijk, 26, D(LR),,,29(1),2623,1,1,1,-,0.3,77.3,0.8,-,6.81
Nick Marsman,Feyenoord, 30, GK,,,20(1),1801,-,-,1,-,-,75,0.3,-,6.81
Mark Diemers,Feyenoord, 27, M(CL),FW,,23(6),1979,3,3,2,-,1.4,86.5,0.3,-,6.80
Jari Vlak,FC Emmen, 22, DMC,,,15(2),1305,1,1,3,-,1.4,76.8,1.1,1,6.79
Piet Velthuizen,Fortuna Sittard, 34, GK,,,2,113,-,-,-,-,-,56.8,-,-,6.79
Evert Linthorst,VVV-Venlo, 21, AM(C),,,15(1),1309,2,3,1,-,0.7,81.3,1.2,-,6.79
Bryan Linssen,Feyenoord, 30, AM(CLR),FW,,27(2),2051,8,2,2,-,2.3,71,1.1,1,6.79
Cyril Ngonge,RKC Waalwijk, 21, AM(R),,,15(5),1180,5,2,2,-,1.5,73.2,0.5,-,6.78
Sebastian Polter,Fortuna Sittard, 30, AM(R),FW,,31(1),2641,9,4,1,1,1.3,57.8,4.9,1,6.78
Alessio Da Cruz,FC Groningen, 24, AM(LR),FW,,18(4),1480,4,3,5,-,1,76.9,1.2,1,6.78
Armando Broja,Vitesse, 19, FW,,,21(9),1875,10,2,2,-,1.3,75.6,1,3,6.78
Luka Adzic,FC Emmen, 22, AM(L),,,12,819,3,-,-,-,2.3,81.7,0.6,-,6.78
Mitchell van Bergen,SC Heerenveen, 21, AM(LR),,,32,2728,4,1,2,-,1.7,78.8,0.3,1,6.78
Mohamed Ihattaren,PSV Eindhoven, 19, AM(CLR),,,13(9),1077,3,2,-,-,1.8,80.3,0.1,2,6.77
Sven van Beek,Willem II, 26, D(C),,,13(1),1141,-,-,-,-,0.8,78.7,3.4,-,6.77
Matús Bero,Vitesse, 25, M(CLR),,,26(1),2288,2,5,6,-,1.7,80.9,0.9,1,6.77
Dani de Wit,AZ Alkmaar, 23, AM(C),,,12(8),1210,4,3,4,-,1.4,74.7,2.7,1,6.76
Jurgen Ekkelenkamp,Ajax, 21, M(C),,,4(11),651,3,2,-,-,1.7,81.3,0.7,-,6.76
Yuta Nakayama,PEC Zwolle, 24, D(CL),DMC,,25(7),2361,2,1,3,-,0.9,81.9,2.6,1,6.76
Kik Pierie,Twente, 20, D(CL),,,24,2112,-,-,4,-,0.3,80,2.2,-,6.76
Sven Mijnans,Sparta Rotterdam, 21, AM(R),,,20(11),1674,2,3,2,-,1,74.3,0.5,1,6.76
Pol Llonch,Willem II, 28, DMC,,,26(1),2226,-,-,5,1,0.3,80.9,1.3,1,6.75
Tesfaldet Tekie,Fortuna Sittard, 23, DMC,,,31(2),2691,1,3,1,-,0.6,78.4,0.4,-,6.75
Jordan Teze,PSV Eindhoven, 21, D(CR),,,31(2),2825,-,1,3,-,0.1,88.3,1.2,-,6.75
Gijs Smal,Twente, 23, D(L),,,13(9),1369,-,3,1,-,0.4,73.7,1.1,1,6.75
Koen Bucker,Heracles, 24, Goalkeeper,,,2,180,-,-,-,-,-,47.7,-,-,6.74
Joris van Overeem,FC Utrecht, 27, M(CLR),,,29(1),2307,2,-,2,-,0.4,79.6,0.7,1,6.74
Adil Auassar,Sparta Rotterdam, 34, D(C),M(CL),,29(1),2416,-,1,5,1,0.9,66.2,2.1,-,6.74
Ben Rienstra,Fortuna Sittard, 30, D(C),M(C),,30,2593,3,-,3,-,0.5,76.3,2,1,6.73
Wouter Burger,Sparta Rotterdam, 20, AM(C),,,9(9),759,2,1,-,-,0.7,72.2,1.3,1,6.73
Melle Meulensteen,RKC Waalwijk, 21, D(C),,,33,2946,-,2,2,-,0.6,84,1.7,-,6.73
Zakaria Labyad,Ajax, 28, AM(CLR),FW,,12(10),961,5,5,-,-,1.6,82,0.4,1,6.73
Kerim Frei,FC Emmen, 27, AM(LR),,,17,1461,-,1,1,-,1.3,84.6,0.1,-,6.73
Sebastian Holmén,Willem II, 29, D(CR),,,29(1),2566,3,1,5,-,0.5,79.8,2.5,-,6.73
Lasse Schöne,SC Heerenveen, 35, M(CLR),,,12,909,1,1,-,1,0.9,84.1,0.5,-,6.73
Kwasi Okyere Wriedt,Willem II, 26, FW,,,20(4),1824,8,2,1,1,2,65.1,2.6,1,6.73
Tyronne Ebuehi,Twente, 25, D(LR),,,33,2842,1,1,1,-,0.4,84,1.4,-,6.72
Caner Cavlan,FC Emmen, 29, D(L),DMC,M(L),32,2845,-,3,4,-,0.9,81.4,0.8,1,6.72
Marco Rente,Heracles, 24, D(C),,,20(5),1762,-,1,2,-,0.1,79.2,1.2,1,6.72
Danny Post,VVV-Venlo, 32, DMC,,,30,2564,-,1,9,-,0.6,72.1,2.2,-,6.72
Yanick van Osch,Fortuna Sittard, 24, GK,,,26,2333,-,-,2,-,-,61.1,0.2,-,6.72
Siem de Jong,SC Heerenveen, 32, AM(C),FW,,17(2),1368,4,2,3,-,1.6,74.7,1.4,1,6.72
John Goossens,ADO Den Haag, 32, M(CLR),,,18(6),1610,2,3,1,-,0.5,75.7,0.3,1,6.72
Gianni Zuiverloon,ADO Den Haag, 34, D(CR),,,7(1),643,-,-,1,-,1,84.2,2.5,-,6.71
Ibrahim Dresevic,SC Heerenveen, 24, D(C),,,20(10),1905,-,3,-,-,0.4,86.3,1,-,6.71
Mauro Júnior,PSV Eindhoven, 22, M(CLR),,,12(7),1014,2,1,1,-,0.7,81.9,0.4,-,6.71
Sergio Padt,FC Groningen, 30, GK,,,34,3060,-,-,2,-,0.1,64.2,0.4,1,6.71
