Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Jack Nolan,Walsall, 20, Midfielder,,,2(7),230,-,-,-,-,0.1,80.8,-,-,6.27
Scott Wilson,Barrow, 21, Defender,,,4(5),471,-,-,1,-,0.1,62.9,1.2,-,6.27
Oliver Banks,Tranmere, 28, DMC,,,7(5),649,-,-,1,-,0.8,72,0.8,-,6.27
Alfie Bates,Walsall, 20, DMC,,,21(15),1815,-,2,2,1,0.4,69.9,0.4,-,6.26
James Tilley,Grimsby, 22, AM(LR),,,7(7),578,2,-,2,-,0.9,77.2,0.4,-,6.26
Nathan Ferguson,Crawley, 25, M(C),,,4(5),432,-,-,1,-,1,71.8,1.3,-,6.26
Keaton Ward,Mansfield, 21, Midfielder,,,1(6),161,-,-,-,-,0.3,77.2,-,-,6.25
Aidan Stone,Mansfield, 21, GK,,,22,1942,-,-,1,-,-,36.4,0.2,-,6.25
Shaun Miller,Bolton, 33, FW,,,0(20),219,3,-,-,-,0.5,73.1,0.2,-,6.25
Yoan Zouma,Barrow, 23, D(C),,,4,342,-,-,2,-,0.5,80.1,2.5,-,6.25
Miquel Scarlett,Colchester, 20, Midfielder,,,2(1),202,-,-,-,-,-,70.7,0.7,-,6.25
Jake Scrimshaw,Newport, 20, FW,,,6(10),571,3,-,-,-,0.7,62.8,0.4,-,6.24
Dominic Telford,Newport, 24, AM(C),FW,,5(10),510,1,-,-,-,0.9,61.2,0.5,-,6.24
Inih Effiong,Stevenage, 29, Forward,,,3(6),395,1,-,-,-,1,56.2,2.1,-,6.24
Jack Rose,Walsall, 26, GK,,,15,1329,-,-,-,-,-,34.1,0.1,-,6.24
Alex Fisher,Exeter, 30, FW,,,3(15),355,2,-,-,-,0.8,61.5,2,-,6.23
Tom Sang,Cheltenham, 21, M(R),,,3(7),439,-,-,1,-,0.6,77.2,0.8,-,6.23
Jordan Hallam,Scunthorpe, 22, Midfielder,,,3(10),337,2,-,-,-,0.5,90.4,0.1,-,6.23
David Nugent,Tranmere, 36, M(C),FW,,7(13),788,2,2,-,-,0.7,63.7,1.3,1,6.23
Sid Nelson,Tranmere, 25, D(CR),,,6(3),570,-,-,-,-,0.1,65.7,3.1,-,6.23
Montel Gibson,Grimsby, 23, FW,,,7(12),797,2,-,-,-,1.4,55.8,1.9,-,6.23
Morgan Ferrier,Tranmere, 26, FW,,,2(8),330,-,1,1,-,0.4,71.4,0.6,-,6.22
Tom Pugh,Scunthorpe, 20, Midfielder,,,0(1),21,-,-,-,-,-,100,-,-,6.22
Jake Scrimshaw,Walsall, 20, FW,,,4(10),495,2,-,-,-,1.1,69.9,0.3,1,6.22
Nicky Ajose,Exeter, 29, FW,,,0(4),50,-,-,-,-,0.3,70.4,-,-,6.22
Bruno Andrade,Salford City, 27, AM(CLR),,,8(11),765,-,-,1,-,0.9,64.1,0.8,-,6.21
Theo Robinson,Port Vale, 32, FW,,,15(14),1444,3,1,-,-,1.3,69.1,0.7,-,6.21
Jake Turner,Morecambe, 22, GK,,,14,1260,-,-,-,-,-,30.5,0.1,-,6.21
Bright Amoateng,Bolton, 0, Forward,,,0(1),19,-,-,-,-,-,100,-,-,6.21
Joe Ledley,Newport, 34, M(CL),,,2(2),218,-,-,1,-,0.8,71.4,1,-,6.21
Paris Cowan-Hall,Colchester, 30, Forward,,,2(11),239,-,-,1,-,0.3,54.2,0.8,-,6.21
Danny Guthrie,Walsall, 34, M(C),,,7(7),761,-,-,1,1,0.1,76.6,0.9,-,6.20
Ruel Sotiriou,Leyton Orient, 20, AM(LR),,,8(14),819,1,1,4,-,0.6,78.9,0.3,-,6.20
Danny Whitehead,Port Vale, 27, DMC,,,9(6),754,-,-,1,-,0.6,73.4,1.2,-,6.20
Nya Kirby,Tranmere, 21, Midfielder,,,2(4),219,-,-,-,-,0.5,85.5,-,-,6.20
Leon Davies,Cambridge U, 21, M(R),,,4(9),416,-,-,-,-,-,69.2,0.4,-,6.20
