Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Thomas Partey,Arsenal, 27, D(R),M(CR),,18(6),1537,-,2,5,-,1.1,87.2,1,1,6.75
Joelinton,Newcastle, 24, AM(LR),FW,,23(8),1990,4,2,3,-,1.4,73,2.7,1,6.75
Christian Pulisic,Chelsea, 22, M(CLR),,,18(9),1738,4,2,2,-,1.6,82.9,0.7,2,6.74
Marc Albrighton,Leicester, 31, M(LR),,,17(14),1744,1,5,2,-,0.7,73.3,0.3,2,6.74
Çaglar Söyüncü,Leicester, 25, D(C),,,19(4),1816,1,-,2,-,0.4,88,2.7,-,6.74
Alphonse Areola,Fulham, 28, GK,,,36,3240,-,-,2,-,-,68.7,0.4,1,6.74
Christian Fuchs,Leicester, 35, D(CL),M(L),,8(1),702,-,-,4,-,0.4,82.1,2.2,1,6.74
Sam Johnstone,West Brom, 28, GK,,,37,3330,-,1,1,-,-,43.2,0.2,2,6.74
Alisson,Liverpool, 28, GK,,,33,2970,1,-,1,-,-,84.6,0.4,-,6.73
Granit Xhaka,Arsenal, 28, D(L),M(C),,29(2),2522,1,2,7,1,0.7,90.2,1.3,-,6.73
Tosin Adarabioyo,Fulham, 23, D(CR),,,33,2954,-,-,1,-,0.5,86.2,2.5,-,6.73
Angelo Ogbonna,West Ham, 33, D(C),,,28,2493,3,-,5,-,0.5,81.3,2.3,1,6.73
Gabriel Magalhães,Arsenal, 23, D(C),,,22(1),1997,2,-,2,1,0.7,85.7,2.5,-,6.73
Callum Hudson-Odoi,Chelsea, 20, M(LR),,,10(13),1060,2,3,-,-,1,86.1,-,-,6.73
Tariq Lamptey,Brighton, 20, D(R),M(R),,11,891,1,1,2,1,0.5,78.1,0.5,-,6.73
David McGoldrick,Sheff Utd, 33, AM(CLR),FW,,28(7),2402,8,1,7,-,2,74.7,2.5,2,6.72
Mason Greenwood,Man Utd, 19, AM(R),FW,,21(10),1826,7,2,2,-,2.2,85,0.2,1,6.72
Martin Ødegaard,Arsenal, 22, AM(CR),,,9(5),866,1,2,-,-,1.1,90.9,0.2,-,6.72
Sergio Reguilón,Tottenham, 24, D(L),M(L),,26(1),2249,-,3,5,-,0.7,77.3,1.1,1,6.72
Conor Townsend,West Brom, 28, D(L),M(L),,25,2235,-,2,-,-,0.4,76.7,1.7,1,6.72
Ozan Kabak,Liverpool, 21, D(C),,,9,803,-,-,3,-,0.1,88.7,2.9,-,6.72
Matthew Lowton,Burnley, 31, D(LR),M(R),,34,3060,1,1,5,-,0.6,68.8,1,1,6.71
Pablo Marí,Arsenal, 27, D(C),,,10,900,-,-,2,-,0.2,87.7,2.6,-,6.71
Robin Olsen,Everton, 31, GK,,,7,630,-,-,1,-,-,65.9,0.3,-,6.71
David Button,West Brom, 32, GK,,,1,90,-,-,-,-,-,47.2,1,-,6.71
Fabián Balbuena,West Ham, 29, D(C),,,13(1),1198,1,-,1,1,0.6,75.1,1.5,-,6.71
Rhys Williams,Liverpool, 20, D(C),,,7(2),661,-,-,-,-,0.8,87.3,3.3,-,6.71
Hakim Ziyech,Chelsea, 28, M(CR),,,15(8),1180,2,3,3,-,1.5,79.1,0.2,2,6.71
Jan Bednarek,Southampton, 25, D(C),,,36,3104,1,1,5,1,0.3,82.4,2.7,1,6.70
Japhet Tanganga,Tottenham, 22, D(CR),,,6,489,-,-,2,-,0.3,80.9,2,-,6.70
Tyrick Mitchell,Crystal Palace, 21, D(L),,,19,1710,1,1,1,-,0.1,69.8,0.6,-,6.70
Ethan Ampadu,Sheff Utd, 20, D(C),DMC,,23(2),2091,-,-,3,-,0.3,82.3,2.1,1,6.70
Tammy Abraham,Chelsea, 23, FW,,,12(10),1036,6,1,-,-,1.5,72.7,1.8,2,6.70
Fraser Forster,Southampton, 33, GK,,,8,720,-,-,-,-,-,51.9,0.4,-,6.70
Victor Lindelöf,Man Utd, 26, D(CR),,,29,2586,1,1,-,-,0.1,89.8,2.2,-,6.69
Kenny Tete,Fulham, 25, D(CR),M(R),,18(4),1483,-,1,3,-,0.3,75.5,1.3,-,6.69
Chris Basham,Sheff Utd, 32, D(CR),M(CR),,31,2586,-,1,5,-,0.3,82.8,1.8,1,6.69
Héctor Bellerín,Arsenal, 26, D(R),M(R),,24(1),2093,1,2,8,-,0.6,83.8,1.2,1,6.69
Daniel Podence,Wolves, 25, AM(CLR),FW,,22(2),1679,3,2,3,-,1.3,77.7,0.3,1,6.68
Kieran Tierney,Arsenal, 23, D(CL),M(L),,26(1),2302,1,3,4,-,0.6,79.6,0.7,-,6.68
Mbaye Diagne,West Brom, 29, FW,,,14(2),1194,3,2,2,-,1.6,62.1,3.3,1,6.68
Oliver McBurnie,Sheff Utd, 24, AM(CL),FW,,12(11),1319,1,-,2,-,1.3,57.5,6,2,6.67
João Moutinho,Wolves, 34, M(C),,,28(5),2534,1,1,3,1,0.4,88.4,0.5,-,6.67
Douglas Luiz,Aston Villa, 23, M(C),,,32(1),2790,-,2,8,1,0.8,85.7,1.3,-,6.67
Edinson Cavani,Man Utd, 34, AM(LR),FW,,13(13),1372,10,3,4,-,1.3,77.4,0.4,1,6.67
Rodrigo,Leeds, 30, M(CLR),FW,,14(12),1291,7,2,3,-,1.8,76.9,0.9,-,6.67
Craig Dawson,West Ham, 31, D(CR),,,22,1926,3,-,3,1,0.7,79.7,2.6,-,6.67
Charlie Taylor,Burnley, 27, D(L),M(L),,28(1),2429,-,1,1,-,0.1,70.3,1.3,-,6.67
Davinson Sánchez,Tottenham, 24, D(C),,,17(1),1487,-,-,1,-,0.3,84.5,2.7,-,6.67
Isaac Hayden,Newcastle, 26, D(C),DMC,,22(2),1946,-,-,8,-,0.7,80.7,2.4,-,6.67
Gylfi Sigurdsson,Everton, 31, M(CLR),FW,,24(12),2256,6,5,2,-,1.4,85,0.1,1,6.67
Danny Welbeck,Brighton, 30, AM(CLR),FW,,17(7),1547,6,1,-,-,1.5,81,0.9,1,6.66
Paul Dummett,Newcastle, 29, D(CL),,,14(1),1256,1,-,2,-,0.2,74.1,2.6,-,6.66
Jacob Murphy,Newcastle, 26, D(R),M(LR),,17(9),1621,2,3,3,-,1.2,70.5,0.2,1,6.66
Mohammed Salisu,Southampton, 22, D(CL),,,8(4),843,-,-,1,-,0.3,80,1.8,-,6.66
Eric Dier,Tottenham, 27, D(CR),DMC,,28,2520,-,-,3,-,0.5,83.2,3.1,-,6.66
Gabriel Martinelli,Arsenal, 19, AM(L),FW,,7(7),588,2,1,-,-,1.4,79.9,0.5,1,6.66
Harrison Reed,Fulham, 26, D(R),M(CR),,26(5),2251,-,2,5,-,0.4,86.2,0.6,-,6.66
Miguel Almirón,Newcastle, 27, AM(CLR),FW,,28(6),2438,4,1,3,-,1,82,0.2,1,6.66
