Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Matthias Bader,Darmstadt, 23, D(R),M(R),,14(3),1167,-,-,2,-,0.4,78.5,0.9,-,6.62
Besar Halimi,Sandhausen, 26, AM(C),,,8(4),611,1,1,-,-,0.6,71.1,0.3,-,6.62
Moritz-Broni Kwarteng,Hamburg, 23, Midfielder,,,0(3),35,-,1,-,-,0.3,90.5,0.3,-,6.62
Lukas Mühl,Nuernberg, 24, D(C),,,28(2),2439,1,-,4,-,0.5,77.1,2.2,-,6.62
Oliver Hein,Jahn Regensburg, 31, D(R),,,15(5),1224,-,2,3,-,0.5,67.9,0.6,-,6.61
Ridge Munsy,Wuerzburger Kickers, 31, AM(LR),FW,,23(4),1861,7,-,2,-,1,58.3,2.8,1,6.61
Patrick Sontheimer,Wuerzburger Kickers, 22, M(C),,,31,2591,2,1,5,-,1.1,74.6,0.7,-,6.61
Michael Esser,Hannover, 33, GK,,,29,2610,-,-,-,-,-,73.3,0.6,2,6.60
Nils Röseler,Sandhausen, 29, D(C),,,17(6),1673,2,2,2,-,0.4,70.3,2.1,1,6.60
James Lawrence,St. Pauli, 28, D(C),,,17(2),1494,-,1,4,1,0.2,81.9,2.1,-,6.60
Josha Vagnoman,Hamburg, 20, D(R),,,20(4),1652,2,2,2,-,0.9,74.7,1.7,-,6.59
Andreas Geipl,FC Heidenheim, 29, DMC,,,17(7),1539,-,-,6,-,0.7,72.4,1.4,-,6.59
Philipp Kühn,Osnabrueck, 28, GK,,,33,2970,-,-,1,-,-,68.3,0.3,1,6.59
Simon Makienok,St. Pauli, 30, FW,,,9(9),848,2,3,-,-,1.2,58.5,4.9,-,6.59
Manuel Wintzheimer,Hamburg, 22, AM(C),FW,,16(16),1455,3,9,1,-,1.2,69.3,0.5,-,6.59
Fabian Schnellhardt,Darmstadt, 27, M(C),,,13(10),1248,-,2,4,-,0.9,90.5,0.2,-,6.59
Immanuel Höhn,Darmstadt, 29, D(CR),,,28(2),2544,2,-,2,-,0.5,89.7,1.4,1,6.59
Lukas Fröde,Karlsruher SC, 26, DMC,,,15(7),1273,-,-,7,-,0.5,72.3,3.5,-,6.59
Luka Krajnc,Fortuna Duesseldorf, 26, D(CL),,,21(3),1881,2,1,3,-,0.7,70.1,2.6,-,6.58
Seung-Ho Paik,Darmstadt, 24, M(CL),,,8(5),672,-,3,-,-,0.9,82.3,1.1,-,6.58
Marc Lorenz,Karlsruher SC, 32, AM(CL),,,21(7),1728,-,6,3,-,1.1,64.9,0.8,1,6.58
Sven Ulreich,Hamburg, 32, GK,,,32,2880,-,-,1,-,-,79.2,0.3,-,6.58
Christopher Antwi-Adjei,Paderborn, 27, AM(CLR),,,22(9),2029,4,1,3,1,1.4,73.2,0.8,-,6.58
Felix Kroos,Eintracht Braunschweig, 30, M(C),,,31(1),2564,2,1,9,-,1,75.4,1.1,1,6.57
Jann-Christopher George,Jahn Regensburg, 28, AM(CLR),,,13(12),1310,5,3,3,-,1.2,66.4,0.5,1,6.57
Dennis Diekmeier,Sandhausen, 31, D(R),M(R),,31,2790,-,2,5,-,0.6,64.7,1.1,-,6.57
Martin Kobylanski,Eintracht Braunschweig, 27, AM(C),,,14(11),1347,4,3,1,-,1.8,74,0.3,2,6.56
Daniel Hägele,Wuerzburger Kickers, 32, D(C),DMC,,26(2),2313,1,-,3,-,0.3,82.2,2.2,-,6.56
Florian Kastenmeier,Fortuna Duesseldorf, 23, GK,,,33,2952,-,-,1,1,-,72.7,0.4,1,6.56
Noel Knothe,Nuernberg, 22, Defender,,,3(2),256,-,-,-,-,0.2,72,1.2,-,6.55
Sascha Burchert,Greuther Fuerth, 31, GK,,,33,2970,-,-,2,-,-,77.7,0.3,-,6.55
David Kopacz,Wuerzburger Kickers, 22, AM(CL),,,25(7),2186,3,4,5,-,1.3,74.8,0.5,1,6.55
Eric Smith,St. Pauli, 24, D(C),DMC,,4(1),293,-,1,1,-,-,66.7,2.2,-,6.55
Jan Schöppner,FC Heidenheim, 21, DMC,,,15(7),1388,-,-,2,-,0.4,69.9,2,-,6.55
