Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Chidozie Awaziem,Boavista, 24, D(CR),,,27,2253,-,1,9,2,0.5,79.6,2.8,-,6.68
Pedro Nuno,Moreirense, 26, AM(CL),FW,,6,452,2,-,-,-,2,74.4,0.8,2,6.68
Marco Baixinho,Pacos de Ferreira, 31, D(C),DMC,,19(4),1834,-,-,2,-,0.4,79.4,1.4,1,6.67
Mikel Agu,Vitoria de Guimaraes, 28, DMC,,,8(6),778,-,-,2,-,0.8,83.4,1.6,-,6.67
Eduardo Mancha,Farense, 25, D(C),,,21(1),1831,2,-,3,-,0.7,75.9,2.8,1,6.67
Agustín Marchesín,Porto, 33, GK,,,33,2970,-,1,4,-,-,70.9,0.2,1,6.67
Jorge Fernandes,Vitoria de Guimaraes, 24, D(C),,,30,2659,1,-,10,1,0.3,83.4,2.6,-,6.67
Srdjan Babic,Famalicao, 25, D(C),,,27,2374,1,2,6,-,0.5,86.9,2.5,-,6.67
Toni Borevkovic,Rio Ave, 23, D(C),,,31(1),2833,-,1,8,-,0.3,84.6,1.2,-,6.66
Denis,Gil Vicente, 34, GK,,,32,2880,-,-,4,-,-,64.7,0.3,-,6.66
Carlos Valenzuela,Famalicao, 24, AM(L),,,8(16),918,3,1,3,-,0.7,74.2,0.2,-,6.66
Marcelo,Pacos de Ferreira, 31, D(C),,,26(2),2293,-,-,5,-,0.4,79.1,2.6,1,6.66
Gonçalo Ramos,Benfica, 19, Forward,,,0(4),93,2,-,-,-,1,66.7,1,1,6.66
Mikel Villanueva,Santa Clara, 28, D(C),,,29,2566,1,-,8,-,0.5,86,1.8,-,6.66
Tomás Ribeiro,Belenenses SAD, 22, D(C),,,32,2808,1,-,4,1,0.4,75.7,2,1,6.65
Jhon Murillo,Tondela, 25, M(LR),FW,,22(4),1949,4,4,4,-,0.8,80.9,0.5,2,6.65
Pedro Rebocho,Pacos de Ferreira, 26, D(L),,,16(4),1407,-,2,4,-,0.1,80.8,1.5,-,6.65
Tiago Sá,Braga, 26, GK,,,2,180,-,-,-,-,-,84.2,-,-,6.65
Reggie Cannon,Boavista, 22, D(R),M(R),,30(1),2515,-,1,3,-,0.2,79.5,0.7,-,6.65
Kewin,Moreirense, 26, Goalkeeper,,,2,180,-,-,-,-,-,61.2,1.5,-,6.65
Pedro Henrique,Farense, 24, FW,,,16(10),1489,5,1,4,1,1.9,58.7,5,2,6.64
Jackson Porozo,Boavista, 20, D(C),,,7(4),696,2,-,2,1,0.3,78.9,2,2,6.64
Yan,Moreirense, 22, AM(R),,,18(10),1571,4,3,1,-,0.9,72.6,0.2,3,6.64
Luiz Carlos,Pacos de Ferreira, 35, D(R),DMC,,31(3),2532,3,3,3,-,0.7,81.2,0.8,1,6.63
Gelson Dala,Rio Ave, 24, AM(CL),FW,,28(3),2514,3,5,1,1,1.6,68,1,1,6.63
Jordi,Pacos de Ferreira, 27, GK,,,32,2880,-,-,1,-,-,46.6,0.6,2,6.63
Stefano Beltrame,Maritimo, 28, Midfielder,,,1(2),111,1,-,-,-,1,82.1,0.3,-,6.63
Pedrão,Nacional, 24, D(C),,,30,2700,1,-,10,-,0.4,79.9,2.3,-,6.63
Iván Jaime,Famalicao, 20, AM(C),,,14(8),1177,4,2,2,-,1.2,84.8,0.3,2,6.63
