Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Aaron Ramsey,Juventus, 30, M(CLR),,,13(9),1093,2,4,2,-,1.1,87.1,0.4,1,6.75
Alessio Romagnoli,AC Milan, 26, D(CL),,,21(1),1907,1,1,7,-,0.7,89.6,2.5,-,6.75
Cristian Ansaldi,Torino, 34, D(CLR),M(CLR),,20(11),1941,1,6,1,-,0.6,75.4,0.2,2,6.74
Gianluigi Buffon,Juventus, 43, GK,,,8,720,-,-,-,-,-,82,-,-,6.74
David Ospina,Napoli, 32, GK,,,16,1440,-,1,2,-,-,81.4,0.5,2,6.74
Radja Nainggolan,Cagliari, 33, M(C),,,22,1848,1,-,5,-,2.2,80,0.8,-,6.74
Gianluca Caprari,Benevento, 27, AM(CLR),FW,,23(7),1880,5,6,3,1,1.6,80.6,0.1,2,6.74
Yildirim Mert Çetin,Verona, 24, D(C),,,4(2),418,-,-,1,-,0.3,79.7,2.7,-,6.74
Simy,Crotone, 29, FW,,,31(7),2945,20,2,1,-,1.7,77.1,1.7,1,6.73
José Luis Palomino,Atalanta, 31, D(C),,,25(11),2423,1,2,3,-,0.1,82.8,1.6,1,6.73
Hernani,Parma Calcio 1913, 27, M(CL),,,27(6),2200,7,3,11,-,1,83.4,0.9,-,6.73
Wojciech Szczesny,Juventus, 31, GK,,,30,2678,-,1,-,-,-,89.1,0.2,-,6.73
Bartosz Bereszynski,Sampdoria, 28, D(CR),,,29(2),2607,1,-,2,-,0.1,82.2,0.9,-,6.72
Diogo Dalot,AC Milan, 22, D(LR),M(R),,10(11),1082,1,1,4,-,0.5,79.1,1,-,6.72
Nahitan Nández,Cagliari, 25, M(CLR),,,31(1),2741,2,2,8,1,1,77.7,1.3,5,6.72
Riccardo Orsolini,Bologna, 24, M(R),,,21(13),1759,7,3,-,-,1.6,69.9,0.7,1,6.72
Filip Djuricic,Sassuolo, 29, AM(CLR),FW,,27(5),2099,5,4,5,-,1.7,78.9,0.4,-,6.72
Fabio Quagliarella,Sampdoria, 38, FW,,,25(8),2215,13,1,1,-,2.5,71.1,1.1,1,6.71
Ismaël Bennacer,AC Milan, 23, DMC,,,17(4),1336,-,2,4,-,0.6,87.9,0.6,-,6.71
Giacomo Bonaventura,Fiorentina, 31, M(CLR),,,27(7),2267,3,2,5,-,1.3,82.3,0.9,2,6.71
Merih Demiral,Juventus, 23, D(C),,,10(5),937,-,1,1,-,0.4,94,1.5,-,6.71
