Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Naoufel Khacef,0.3,-,-,0.3
Ibrahima Camará,0.4,0.4,-,-
Ukra,0.4,0.2,-,0.1
Matheus Reis,-,-,-,-
Lucas,0.5,0.4,0.1,-
Eduardo Quaresma,-,-,-,-
Cássio Scheid,0.6,0.2,-,0.5
Welinton Júnior,1.3,0.7,0.1,0.5
Francisco Teixeira,0.6,0.3,-,0.3
Jorge Benguché,0.9,0.2,0.1,0.6
Dyego Sousa,1.6,0.4,0.2,1
Henrique Gomes,0.5,0.1,-,0.4
Gonçalo Franco,0.3,0.2,-,0.2
Nicolas Janvier,0.5,0.3,-,0.2
Denis Poha,0.2,0.2,-,-
Tarantini,0.6,0.2,0.1,0.3
Witi,0.6,0.4,0.1,0.2
Licá,1,0.2,0.2,0.7
Hernani Infande,-,-,-,-
Michael,-,-,-,-
Guga,0.8,0.3,-,0.5
Jordan van der Gaag,1,-,-,1
Nené,0.5,0.2,-,0.3
Hugo Seco,0.1,-,0.1,-
Dejan Kerkez,-,-,-,-
Carraça,-,-,-,-
Bilel Aouacheria,0.4,0.3,-,0.2
Djalma,0.1,0.1,-,-
Rúben Macedo,0.7,0.3,-,0.4
Calvin Verdonk,0.2,0.1,-,0.1
Alaa Abbas,0.8,0.3,0.3,0.3
Caio Secco,-,-,-,-
Ruben Micael,0.3,0.1,-,0.2
Afonso Figueiredo,0.1,0.1,-,-
César Sousa,-,-,-,-
Jacob Maddox,0.3,-,0.3,-
Zé Luís,2,-,-,2
Jean Patric,0.3,0.1,-,0.3
Cauê,0.4,0.1,-,0.3
Souleymane Anne,0.5,0.1,-,0.4
Ronan,0.5,-,-,0.5
Ricardo Vaz Tê,0.3,0.1,-,0.2
Jefferson Galego,0.1,0.1,-,0.1
Bertrand Yves Baraye,0.6,0.2,-,0.5
Jonas Carls,-,-,-,-
Casagrande,-,-,-,-
Derik Lacerda,0.8,-,0.2,0.7
Abbas Ibrahim,0.1,0.1,-,-
Bruno Moreira,0.4,0.1,0.1,0.3
Gabrielzinho,0.3,0.2,-,0.1
Shahriar Moghanlou,0.6,0.3,0.1,0.3
Milson,0.6,0.3,-,0.2
Jeriel De Santis,0.3,-,-,0.3
Miguel Luís,0.4,0.2,-,0.2
Andreas Samaris,0.3,-,-,0.3
Boubacar Hanne,0.2,-,-,0.2
Dieguinho,1,0.7,-,0.3
Anderson Cruz,0.3,0.1,-,0.1
Andreas Karo,0.3,-,0.2,0.1
Tim Söderström,-,-,-,-
Paulinho,0.1,-,-,0.1
