Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea,League
Oliver Burke,1,0.2,-,0.8,Premier_league
Jack Butland,-,-,-,-,Premier_league
Joseph Willock,0.6,-,-,0.6,Premier_league
Pablo Hernández,0.9,0.4,-,0.6,Premier_league
Nathan Tella,0.9,0.4,-,0.6,Premier_league
Vitinha,0.4,0.3,-,0.2,Premier_league
Davy Pröpper,0.6,0.3,-,0.3,Premier_league
Niall Huggins,-,-,-,-,Premier_league
Ruben Loftus-Cheek,-,-,-,-,Premier_league
John Lundstram,0.7,0.3,-,0.4,Premier_league
Ian Poveda-Ocampo,0.4,0.1,-,0.2,Premier_league
Niels Nkounkou,0.5,0.5,-,-,Premier_league
Carney Chukwuemeka,0.5,0.5,-,-,Premier_league
Maxime Le Marchand,0.5,0.5,-,-,Premier_league
Ibrahima Diallo,0.3,0.2,-,-,Premier_league
Rekeem Harper,0.5,0.5,-,-,Premier_league
Branislav Ivanovic,0.3,-,0.1,0.2,Premier_league
Brandon Williams,0.3,-,-,0.3,Premier_league
Lee Peltier,-,-,-,-,Premier_league
William Smallbone,0.3,0.3,-,-,Premier_league
Dwight Gayle,0.9,0.1,0.2,0.7,Premier_league
Andriy Yarmolenko,0.5,0.2,-,0.3,Premier_league
Morgan Sanson,0.2,0.2,-,-,Premier_league
Reiss Nelson,0.5,-,-,0.5,Premier_league
Billy Sharp,0.6,0.1,0.1,0.4,Premier_league
Jacob Ramsey,0.5,0.1,-,0.4,Premier_league
Antwoine Hackford,1,-,-,1,Premier_league
Divock Origi,0.8,0.2,0.1,0.4,Premier_league
Hamza Choudhury,0.4,0.3,-,0.1,Premier_league
Kamil Grosicki,1,0.7,-,0.3,Premier_league
Alex Oxlade Chamberlain,0.6,0.4,-,0.2,Premier_league
Jamie Shackleton,-,-,-,-,Premier_league
Mark Noble,-,-,-,-,Premier_league
Shkodran Mustafi,-,-,-,-,Premier_league
Rhian Brewster,0.9,0.6,-,0.3,Premier_league
