Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Juan Vieyra,1,0.6,0.1,0.3
Rafael García,-,-,-,-
Matías Pellegrini,0.8,-,-,0.8
Edwar López,1.4,0.1,0.3,1
Junior Arias,-,-,-,-
Zaid Romero,-,-,-,-
Tomás Cuello,1.6,1.4,-,0.2
Emanuel Coronel,-,-,-,-
Pablo Cuadra,0.8,0.2,-,0.6
Bruno Urribarri,0.6,0.4,-,0.3
Gabriel Díaz,1,0.1,0.3,0.6
Gabriel Florentín,0.6,0.2,-,0.4
Damián Lemos,0.1,0.1,-,-
Pablo Velázquez,1.3,1,-,0.3
Nicolás Domingo,0.3,0.1,-,0.1
Agustín Manzur,0.7,0.4,-,0.2
Matías Alustiza,1.3,0.5,-,0.8
Carlos Araujo,0.1,-,0.1,-
Mariano Peralta Bauer,-,-,-,-
Nahuel Yeri,0.3,0.3,-,-
Tomás Belmonte,0.3,-,-,0.3
Mauro Pittón,0.5,0.4,-,0.1
Miguel Brizuela,0.5,-,-,0.5
Agustín Allione,0.2,-,-,0.2
Ignacio Chicco,-,-,-,-
Matías Romero,0.5,0.4,-,0.1
Nicolás Romat,-,-,-,-
Franco Mussis,1.1,1.1,-,-
Julián Chicco,1.1,0.9,-,0.2
Rafael Pérez,0.2,-,-,0.2
Damián Schmidt,0.5,-,-,0.5
Federico Navarro,0.1,0.1,-,-
Sebastián Dubarbier,0.3,0.1,-,0.1
Adonis Frias,0.8,-,-,0.8
Ramiro Carrera,1.1,0.4,-,0.7
Matías Vera,-,-,-,-
Ricardo Álvarez,-,-,-,-
Santiago Pierotti,-,-,-,-
Nicolás Correa,0.7,-,-,0.7
Nicolás Delgadillo,0.5,0.4,-,0.1
Sergio Barreto,0.3,-,-,0.3
Tomás Chancalay,1.9,1.5,-,0.4
Horacio Tijanovich,1.3,0.1,0.2,1
Miguel Merentiel,1.2,0.5,-,0.7
Lucas Villarruel,0.1,-,-,0.1
Rodrigo Salinas,1.1,0.2,-,0.9
Santiago Briñone,0.6,0.6,-,-
Nicolás Silva,0.6,0.4,-,0.1
Fabricio Coloccini,0.3,0.1,-,0.2
Joao Rodríguez,0.9,0.5,-,0.4
Enzo Coacci,1,0.7,-,0.3
Santiago Vergini,0.4,0.2,-,0.2
Damián Martínez,0.8,0.7,-,0.2
Claudio Spinelli,1.4,0.3,0.1,1
Nicolás Colazo,0.1,0.1,-,-
Agustín Bolivar,0.3,0.3,-,-
Dardo Miloc,0.1,0.1,-,-
Franco Quiroz,1.3,1,-,0.3
Thomas Ortega,-,-,-,-
Nicolás Bazzana,0.2,-,-,0.2
Roberto Ramírez,-,-,-,-
Federico Marín,-,-,-,-
Gastón Ávila,-,-,-,-
Jorge Cáceres,-,-,-,-
Augusto Lotti,0.8,0.1,0.1,0.6
Gabriel Carrasco,-,-,-,-
Jorge Aruga,-,-,-,-
Francisco Gerometta,-,-,-,-
Maximiliano Centurión,-,-,-,-
Leandro Maciel,0.7,0.4,0.1,0.3
Lucas Necul,0.6,0.4,-,0.2
Lucas Villarruel,-,-,-,-
Brian Farioli,0.6,0.4,-,0.2
Sebastián Lomónaco,0.9,0.1,-,0.8
José Adolfo Valencia,0.8,0.3,0.1,0.4
Gabriel Esparza,0.3,0.1,-,0.2
Jonás Gutiérrez,-,-,-,-
Dany Cure,0.6,-,-,0.6
Enzo Cabrera,-,-,-,-
Joaquín Indacoechea,0.3,-,-,0.3
Luis Sequeira,-,-,-,-
Enzo Ybañez,-,-,-,-
Alan Ruiz,1.2,0.8,-,0.3
José Luis Rodríguez,1,-,-,1
Juan Nardoni,-,-,-,-
Lucas Orellano,0.8,0.8,-,-
Gastón Comas,0.8,0.4,-,0.4
Alexis Rodríguez,0.7,0.1,0.1,0.5
Franco Pérez,0.6,0.1,-,0.4
Alexander Díaz,0.9,0.4,-,0.5
Juan Zurbriggen,-,-,-,-
Ramiro Ruiz Rodriguez,-,-,-,-
Renzo Paparelli,-,-,-,-
Mauro Da Luz,0.8,0.2,-,0.6
Hugo Silveira,1.4,-,0.1,1.3
Matías Moya,1,0.6,-,0.4
Marcelo Freites,0.6,0.3,-,0.2
Andrés Mehring,-,-,-,-
José Barreto,0.9,0.1,-,0.8
Facundo Pons,0.7,0.3,0.3,-
