Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Oston Urunov,0.8,0.5,-,0.3
Egor Shamov,-,-,-,-
Mikhail Kostyukov,1.3,0.4,0.1,0.8
Maksim Martusevich,0.3,0.3,-,-
Dmitriy Chistyakov,-,-,-,-
Marco Aratore,2,1,-,1
Aleksandre Karapetian,1.5,0.3,0.1,1.1
George Melkadze,1.8,0.9,0.1,0.7
Vitali Shakhov,0.1,-,0.1,-
Armin Gigovic,1.2,0.5,0.1,0.7
Taras Burlak,0.5,0.1,-,0.5
Rodion Syamuk,-,-,-,-
Kirill Klimov,0.6,0.1,0.1,0.5
Ladislav Almasi,1.3,-,0.3,1
Danil Lipovoy,-,-,-,-
Aleksandr Sukhov,0.2,0.1,-,0.1
Vladimir Obukhov,1.4,0.1,-,1.3
Nayair Tiknizyan,0.6,0.3,-,0.3
Pavel Alikin,0.2,-,-,0.2
Azer Aliev,0.7,0.4,-,0.3
Nikita Chicherin,0.2,0.2,-,-
Ilia Shkurin,1,0.2,0.2,0.6
Kristijan Bistrovic,0.6,0.4,-,0.1
Mikhail Tikhonov,0.4,0.4,-,-
Elmir Nabiullin,0.4,0.3,-,0.2
Gabriel Iancu,1.7,0.8,-,0.8
Maksim Glushenkov,1.4,-,0.2,1.2
Kirill Folmer,0.4,0.1,-,0.3
Leon Musaev,0.4,0.3,-,0.1
Oleg Ivanov,0.4,0.2,-,0.2
Aleksandr Denisov,0.2,-,-,0.2
Maksim Barsov,0.3,-,-,0.3
Nicholas Lawrence Anwan,0.5,0.5,-,-
Evgeni Pesegov,0.1,0.1,-,-
Yuri Bavin,0.9,0.6,-,0.3
Yuri Bavin,0.1,0.1,-,-
Senin Sebai,0.9,0.1,0.3,0.5
Igor Konovalov,-,-,-,-
Varazdat Haroyan,0.4,0.3,-,0.1
Kirill Panchenko,2.7,1.4,0.1,1.1
Lechii Sadulaev,0.3,-,-,0.3
Dmitriy Stotskiy,0.3,0.2,-,0.2
Eduard Spertsyan,-,-,-,-
Aleksey Evseev,0.8,0.7,-,0.1
Kamil Mullin,1.1,0.3,-,0.8
Islambek Kuat,0.2,0.2,-,-
Catalin Carp,0.6,0.5,-,0.1
Azat Bayryev,-,-,-,-
Zaurbek Pliev,0.3,-,-,0.3
Bruno Fuchs,-,-,-,-
Evgeni Markov,0.6,-,-,0.6
Danil Prucev,0.1,-,-,0.1
Andrés Ponce,1.4,0.3,0.3,0.9
Artur Sokhiev,0.3,-,-,0.3
Lovro Bizjak,0.9,0.3,-,0.6
Nikolay Giorgobiani,0.3,-,-,0.3
Catalin Carp,1.3,0.6,-,0.8
Anatoliy Nemchenko,0.5,0.5,-,-
Vladimir Kabakhidze,0.3,0.2,-,0.1
Vladislav Karapuzov,0.4,0.2,-,0.2
Artem Shabolin,0.1,-,-,0.1
Andrey Eshchenko,-,-,-,-
Anton Terekhov,1,0.4,0.1,0.4
Andrei Panyukov,0.9,0.1,0.1,0.8
Armen Manucharyan,0.3,0.1,-,0.1
Sergey Slepov,0.5,0.5,-,-
Patricio Matricardi,0.5,-,-,0.5
Nikita Medvedev,-,-,-,-
Azer Aliev,0.6,0.5,-,0.1
Jorrit Hendrix,0.4,0.3,-,0.1
Valeri Gromyko,0.6,0.3,0.1,0.2
Artem Golubev,0.4,0.1,-,0.3
Denis Kaykov,0.4,-,0.1,0.3
