Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Romal Palmer,0.7,0.4,-,0.2
Philip Zinckernagel,1.1,0.7,0.1,0.4
Tom Barkhuizen,0.9,0.2,-,0.6
Adam Davies,-,-,-,-
Ádám Nagy,0.2,0.1,-,0.1
Tom Dele-Bashiru,1.5,1,-,0.5
Tyreeq Bakinson,0.6,0.4,-,0.3
Andre Wisdom,0.2,0.1,-,0.2
Josh Dacres-Cogley,0.2,0.2,-,-
Andrew Omobamidele,-,-,-,-
Emiliano Marcondes,1,0.3,0.1,0.6
Richard Stearman,-,-,-,-
Dominic Gape,0.1,0.1,-,-
Declan Rudd,-,-,-,-
Ryan Giles,0.3,0.1,-,0.2
Craig Forsyth,0.5,0.2,0.1,0.2
Joel Latibeaudiere,0.4,0.1,-,0.3
Garath McCleary,1,0.5,-,0.5
Alex Smithies,-,-,-,-
Daniel Johnson,0.6,0.2,-,0.4
Rhys Norrington-Davies,0.3,0.2,-,0.1
Chiedozie Ogbene,1.4,0.6,-,0.7
Shaun Williams,0.5,0.4,-,0.1
Daniel Barden,-,-,-,-
Lewis Grabban,1.8,0.3,0.3,1.3
Fred Onyedinma,1,0.3,0.1,0.6
Ben Sheaf,0.7,0.6,-,0.1
Nahki Wells,1.4,0.5,0.2,0.8
Keiren Westwood,-,-,-,-
Álex Vallejo,0.7,0.6,-,0.1
Joseph Rafferty,0.1,0.1,-,-
Chris Brunt,0.3,0.3,-,-
Jon Toral,0.7,0.4,-,0.3
Jacob Brown,1,0.2,0.1,0.6
Elliot Lee,0.8,0.3,-,0.4
Josef Bursik,-,-,-,-
Michael McGovern,-,-,-,-
Max Bird,0.5,0.3,-,0.2
Conor Masterson,0.3,-,0.3,-
Matt Penney,0.5,0.3,-,0.2
Jordan Rhodes,1,0.1,0.2,0.7
Ryan Schofield,-,-,-,-
Josh Murphy,0.7,0.3,-,0.3
Ben Wilmot,0.4,-,-,0.3
Mikel San José,0.6,0.1,0.1,0.4
Ben Wiles,0.7,0.4,-,0.3
Connor Mahoney,0.7,0.4,-,0.3
Cafú,0.5,0.4,-,0.2
Julien Da Costa,0.2,-,0.1,0.1
Leandro Bacuna,0.9,0.5,-,0.4
Billy Mitchell,0.6,0.3,0.1,0.2
Connor Malley,0.7,0.7,-,-
Luke Daniels,-,-,-,-
Korey Smith,0.3,0.1,-,0.2
Mads Rasmussen,0.1,0.1,-,0.1
David Marshall,-,-,-,-
George Moncur,1.2,0.6,-,0.7
Jordan Cousins,0.3,0.1,-,0.2
Tomás Esteves,0.5,0.2,-,0.2
Tom Carroll,0.5,0.3,-,0.2
Tyrhys Dolan,0.6,0.2,0.1,0.4
Jordan Shipley,0.6,0.3,-,0.3
Christoph Zimmermann,0.2,-,-,0.1
Ben Hamer,-,-,-,-
Chuba Akpom,1.1,0.1,0.2,0.8
Ryan Shawcross,-,-,-,-
Martyn Waghorn,1.6,0.8,0.2,0.7
Dominic Ball,0.6,0.3,-,0.3
Viktor Gyökeres,0.9,0.4,-,0.6
Teden Mengi,0.3,0.1,-,0.2
Lee Gregory,1.1,0.1,0.4,0.6
Maikel Kieftenbeld,0.3,0.2,-,0.1
Jayden Stockley,0.9,0.1,0.1,0.8
Alex Mighten,0.9,0.3,0.1,0.5
Aapo Halme,0.2,0.1,-,0.1
George Puscas,1,0.2,0.1,0.7
Albert Adomah,0.4,0.1,0.1,0.2
Ivan Sunjic,0.9,0.6,-,0.3
Nuno da Costa,0.5,-,-,0.5
Jack Walton,-,-,-,-
Djed Spence,0.3,-,-,0.3
Bradley Collins,-,-,-,-
Shaun MacDonald,0.2,0.2,-,0.1
Joey Pelupessy,0.5,0.3,-,0.1
Carlos Sánchez,0.2,0.2,-,-
Riley McGree,0.7,0.3,-,0.5
Sone Aluko,0.6,0.3,-,0.3
Przemyslaw Placheta,1.3,0.5,-,0.8
Alen Halilovic,0.9,0.8,0.1,0.1
Tyler Blackett,0.3,0.1,-,0.2
John Buckley,0.4,0.3,-,0.1
Brad Potts,1.5,0.8,-,0.7
Luke Freeman,0.8,0.4,-,0.4
Freddie Ladapo,1.5,0.4,0.1,1
Henri Lansbury,0.3,0.3,-,-
Ben Thompson,0.7,0.3,0.1,0.3
Nathaniel Mendez-Laing,0.6,0.2,-,0.3
Ryley Towler,-,-,-,-
Yaya Sanogo,1.1,0.1,0.2,0.8
Paul Gallagher,0.5,0.4,-,0.2
Anis Mehmeti,1.1,0.5,-,0.7
Sam Surridge,0.8,0.1,0.2,0.6
Taylor Moore,0.3,-,-,0.3
Kelle Roos,-,-,-,-
Ryan Tunnicliffe,0.6,0.2,-,0.4
Ben Jackson,-,-,-,-
Greg Cunningham,-,-,-,-
Jack Clarke,0.6,0.3,-,0.3
Kenneth Zohore,1.3,0.2,0.1,1
Saman Ghoddos,0.8,0.4,-,0.4
Mark Harris,0.5,0.2,0.1,0.2
Trevor Clarke,0.3,0.1,0.1,0.1
Tom Bradshaw,1,-,0.2,0.8
Sean Maguire,0.9,0.2,0.1,0.6
Josh Harrop,0.2,0.2,-,-
Glenn Murray,1.1,0.1,0.3,0.8
Niko Hämäläinen,0.5,0.3,-,0.1
Josh Coburn,0.5,-,-,0.5
Kilian Ludewig,0.5,0.3,-,0.3
Aaron Rowe,0.7,0.3,-,0.4
Steve Seddon,0.6,0.4,-,0.1
Angus Gunn,-,-,-,-
Anthony Gordon,1,0.5,-,0.5
Joe Morrell,0.3,0.3,-,-
Stewart Downing,0.3,0.2,-,0.1
Marcel Ritzmaier,-,-,-,-
Zach Jeacock,-,-,-,-
Michael Rose,0.3,-,-,0.3
Jack Wilshere,0.1,0.1,-,0.1
George Evans,0.2,-,0.2,-
Steven Sessegnon,0.2,0.1,-,0.1
Jordan Williams,0.3,0.2,-,0.1
Cameron Dawson,-,-,-,-
Elias Kachunga,0.5,0.1,0.1,0.2
Isaac Success,0.5,0.2,-,0.3
Yan Dhanda,1,0.8,-,0.2
Ben Wilson,-,-,-,-
Isaiah Brown,0.3,0.1,-,0.2
Patrick Roberts,0.7,0.3,-,0.4
Han-Noah Massengo,0.3,0.2,-,0.1
Corry Evans,0.5,0.3,-,0.2
James Shea,-,-,-,-
Liam Shaw,0.5,0.1,-,0.4
Yan Valery,-,-,-,-
Elliot Simoes,0.6,0.3,-,0.4
Herbie Kane,0.5,0.5,-,-
Josh Eccles,0.3,0.3,-,-
Kazenga LuaLua,0.3,0.2,-,-
Alex Pattison,0.2,0.2,-,-
Daryl Horgan,1,0.6,0.1,0.4
Liam Walsh,0.3,0.3,-,-
Rolando Aarons,0.4,-,-,0.4
Kasey Palmer,0.8,0.4,0.1,0.3
Lee Gregory,0.5,-,0.5,-
Marko Marosi,-,-,-,-
Shane Long,0.6,-,0.3,0.3
Alex Scott,0.7,0.7,-,-
Jaidon Anthony,0.4,-,-,0.4
Josh Tymon,0.4,0.1,-,0.3
Josh Pask,0.1,0.1,-,0.1
Mike te Wierik,0.3,-,0.3,-
Harry Chapman,1,0.4,-,0.6
Bradley Dack,1.1,0.3,0.1,0.7
Ashley Fletcher,1.1,0.1,-,1
Emil Riis Jakobsen,0.8,0.1,-,0.6
Scott Hogan,1.2,0.1,0.2,0.9
Harry Arter,1.2,0.8,-,0.3
Lewis Wing,0.9,0.7,-,0.3
Marc Navarro,1,1,-,-
Jón Dadi Bödvarsson,0.6,0.1,0.1,0.5
Jasper Moon,0.7,0.3,-,0.3
Rabbi Matondo,1.1,0.4,-,0.7
Jayson Molumby,0.3,0.2,0.1,0.1
Nathan Baker,0.7,0.3,-,0.3
Troy Parrott,1.4,0.8,-,0.5
Joshua King,1.2,0.1,0.2,0.9
Marcus Forss,0.9,0.2,0.1,0.6
Nnamdi Ofoborh,0.4,0.4,-,-
Jan Zamburek,-,-,-,-
Adama Diakhaby,0.8,0.4,-,0.4
Fisayo Dele-Bashiru,0.3,-,-,0.3
Britt Assombalonga,1.6,0.5,0.3,0.9
Andre Gray,1.2,0.1,0.5,0.7
Tom Bayliss,0.4,-,0.1,0.3
Luke Thomas,0.5,0.4,-,0.2
Jordan Hugill,0.8,0.1,0.2,0.5
Adam Idah,0.8,0.2,0.1,0.5
Lewis Gibson,0.7,0.4,0.1,0.2
Sam Vokes,0.8,-,0.2,0.6
