Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Diego Lainez,0.6,0.3,-,0.3
Marvin Park,0.3,-,-,0.3
Ivan Saponjic,1.2,-,0.1,1.1
Joseph Aidoo,0.4,-,-,0.3
Néstor Araújo,0.2,-,-,0.2
Pedro Mosquera,0.3,0.2,-,0.1
Fernando Pacheco,-,-,-,-
Sidnei,0.1,-,0.1,-
Jon Moncayola,1.1,0.8,-,0.2
Jon Morcillo,0.8,0.5,-,0.3
Andrés Guardado,0.5,0.4,-,0.1
Rubén Yáñez,-,-,-,-
Luuk de Jong,0.9,0.1,0.1,0.7
Isco,0.8,0.4,-,0.4
Jeremías Ledesma,-,-,-,-
Jon Guridi,0.5,0.2,-,0.2
Allan-Roméo Nyom,0.3,0.1,-,0.2
Sergio Postigo,-,-,-,-
Rui Silva,-,-,-,-
Roberto Torres,1.4,0.7,-,0.7
Óscar De Marcos,0.2,-,-,0.2
Mikel Vesga,0.7,0.3,-,0.4
Carlos Bacca,0.9,0.2,-,0.6
Rodrigo Battaglia,0.5,0.2,-,0.3
Diego González,0.3,-,-,0.3
Dani Calvo,0.3,-,-,0.3
Pedro López,0.1,-,-,0.1
Borja García,0.7,0.2,-,0.4
Rober Pier,0.4,0.1,-,0.3
Marcos Mauro,0.3,-,0.1,0.2
Pepe Sanchez,0.3,0.3,-,-
Mikel Rico,0.6,0.2,-,0.4
Anthony Lozano,1.2,0.2,0.1,0.9
Marko Dmitrovic,0.1,-,-,0.1
Mikel Balenziaga,0.1,0.1,-,-
Denis Cheryshev,1,0.4,-,0.6
Aitor Fernández,-,-,-,-
Eugeni Valderrama,-,-,-,-
Kevin Vázquez,0.1,0.1,-,-
Denis Vavro,0.7,0.5,-,0.3
Ander Barrenetxea,0.7,0.5,-,0.3
Joseba Zaldua,0.2,0.1,-,0.1
Helibelton Palacios,-,-,-,-
Pedro Bigas,0.5,0.1,-,0.4
Nacho,0.3,0.2,-,0.1
Shon Weissman,1.2,0.1,0.1,1
Víctor Laguardia,0.3,-,-,0.2
Unai García,0.3,0.1,0.1,0.2
Oihan Sancet,0.8,0.1,0.1,0.5
Oier Sanjurjo,0.5,0.2,-,0.3
Cote,0.1,0.1,-,-
Nemanja Radoja,0.3,0.2,-,-
Fernando Niño,0.8,-,0.2,0.6
Jordi Masip,-,-,-,-
Jorge Pombo,1.2,0.6,0.1,0.5
Miralem Pjanic,0.8,0.6,-,0.3
Juan Cruz,-,-,-,-
Domingos Duarte,0.2,-,0.1,0.1
Johan Mojica,0.4,0.4,-,0.1
Carlos Neva,0.4,0.2,-,0.1
Kike Pérez,0.6,0.4,-,0.3
Coke,0.5,0.3,-,0.2
Trincão,0.8,0.3,-,0.6
Roberto López,0.8,0.6,-,0.2
Joel Robles,-,-,-,-
Dimitri Foulquier,0.3,-,-,0.2
Nikola Vukcevic,0.2,-,0.2,-
Paulo Gazzaniga,-,-,-,-
Abdoulaye Diaby,1,-,-,1
Emre Mor,0.7,0.3,-,0.5
Jon Pacheco Dozagarat,1,-,-,1
Juan Pérez,-,-,-,-
Víctor Díaz,0.3,0.2,0.1,-
Pedro León,0.8,0.5,-,0.3
Martín Aguirregabiria,0.1,-,-,0.1
Xabier Etxeita,0.4,-,0.2,0.2
Óscar Rodríguez,0.5,0.3,-,0.2
Iván Marcone,0.1,-,-,-
Martín Montoya,0.4,-,-,0.4
Darko Brasanac,0.5,0.1,0.1,0.3
Sergi Guardiola,1.2,0.3,0.1,0.9
Miguel Ángel Atienza,0.4,0.1,-,0.3
William Carvalho,0.6,0.3,-,0.3
Eliaquim Mangala,0.3,-,-,0.3
Fran Beltrán,0.6,0.4,-,0.2
Asier Villalibre,1.1,0.2,0.1,0.8
Tachi,0.2,-,0.1,0.2
Takefusa Kubo,0.8,0.4,-,0.4
Jony,0.5,0.2,-,0.2
Takashi Inui,1.3,0.7,-,0.6
Roberto Navarro,-,-,-,-
Martín Merquelanz,0.8,0.4,-,0.5
Unai Vencedor,0.3,0.3,-,-
Francis Coquelin,0.2,0.1,-,0.1
Sofian Chakla,0.3,-,-,0.3
Bryan Gil,-,-,-,-
Andrés Fernández,-,-,-,-
Erick Cabaco,0.3,-,-,0.3
Sergio Álvarez,0.2,0.1,-,0.1
Iñigo Vicente,0.3,0.3,-,-
Pere Pons,0.4,0.2,-,0.2
Jonás Ramalho,-,-,-,-
Javi Martínez,0.2,0.1,-,0.2
Recio,0.8,0.3,-,0.5
Deyverson,0.5,0.2,0.1,0.3
Manu Vallejo,0.6,-,0.1,0.5
Martin Braithwaite,0.8,0.1,0.1,0.6
Fede San Emeterio,0.1,0.1,-,-
Yunus Musah,0.2,0.1,-,0.1
Salvi Sánchez,0.6,0.3,-,0.3
Geoffrey Kondogbia,0.2,0.1,-,0.1
Tomás Vaclik,-,-,-,-
Oriol Rey,-,-,-,-
Iván Alejo,0.6,0.2,-,0.3
Carlos Fernández,0.6,0.1,0.2,0.4
Riqui Puig,0.3,0.2,0.1,-
Unai Simón,-,-,-,-
David Timor,0.6,0.6,-,-
Yoshinori Muto,0.8,0.2,0.2,0.5
Íñigo Lekue,0.1,0.1,-,-
Carlos Fernández,0.4,-,0.2,0.2
Jaime Mata,1.2,-,0.1,1.1
Luis Pérez,0.1,-,-,-
Alberto Cifuentes,-,-,-,-
Alejandro Pozo,0.4,0.3,-,0.1
Aleix García,0.3,0.3,-,-
Alejandro Cantero,0.8,0.3,-,0.5
Pedro Alcalá,0.2,-,-,0.2
Roberto Soldado,1,0.2,0.1,0.8
Kenan Kodro,0.5,0.3,-,0.3
Sergio Arribas,0.1,0.1,-,-
Son,0.3,0.1,-,0.2
Lucas Torreira,0.2,0.1,-,0.1
Jeison Lucumí,-,-,-,-
Míchel,0.5,0.4,-,0.1
Paul Akouokou,-,-,-,-
Juanmi,0.9,0.1,0.3,0.6
Nemanja Gudelj,0.3,0.3,-,-
Toño,0.2,0.2,-,-
Okay Yokuslu,0.3,0.1,0.1,0.1
Sergio Gómez,0.3,0.3,-,-
Enric Gallego,0.6,0.1,0.1,0.5
Ibai Gómez,0.4,0.2,-,0.2
Gastón Silva,-,-,-,-
Jota,0.7,0.3,-,0.4
Kévin Rodrigues,0.5,0.3,-,0.1
Jota,0.7,0.4,-,0.3
Mariano,0.9,0.3,0.1,0.5
Dani Gómez,0.9,0.3,-,0.6
Alfon,0.5,-,-,0.5
Nico Williams,0.5,-,-,0.5
Jaume Costa,0.1,-,-,0.1
Sergio Carreira,0.7,-,0.3,0.3
Álvaro Giménez,0.5,0.1,0.1,0.3
Adrián Marín,0.1,0.1,-,-
Burgui,-,-,-,-
Álex Blanco,0.5,-,-,0.5
Facundo Pellistri,0.4,0.2,-,0.3
Roberto Jiménez,-,-,-,-
Javi Sánchez,0.2,-,0.1,0.1
Modibo Sagnan,0.3,0.1,0.1,0.1
Shinji Okazaki,0.8,0.1,-,0.6
Christian Oliva,0.2,0.2,-,-
Kuki Zalazar,-,-,-,-
Manu García,0.4,0.2,-,0.2
Emiliano Rigoni,0.7,0.4,0.1,0.2
Adrián López,0.6,0.1,0.1,0.4
Kevin Gameiro,0.6,0.1,0.1,0.4
Idrissa Doumbia,0.2,0.1,-,-
Toni Lato,0.1,-,0.1,0.1
Fede Vico,0.5,0.3,0.1,0.2
Edgar Sevikyan,-,-,-,-
Álex Baena,0.3,0.3,-,-
Omenuke Mfulu,0.2,0.1,-,0.1
Kiko Olivas,-,-,-,-
Chema Rodríguez,0.3,0.2,-,0.1
Dani Raba,1.2,0.2,-,1
Oussama Idrissi,0.3,-,-,0.3
Dani Escriche,0.4,0.1,0.1,0.2
Álvaro Bravo,-,-,-,-
Rodrigo Sánchez,0.3,0.1,-,0.2
Guillem Molina,-,-,-,-
Luka Jovic,1.5,-,-,1.5
Jesús Vallejo,-,-,-,-
Martin Ødegaard,0.4,0.1,-,0.3
Jon Ander Garrido,0.2,-,-,0.2
Iñigo Pérez,0.4,0.3,-,0.1
Nehuen Pérez,0.4,-,0.1,0.3
Pablo Piatti,0.4,0.3,-,0.1
Ante Palaversa,-,-,-,-
Cifu,0.3,0.2,-,0.1
Jairo Izquierdo,0.3,0.1,-,0.2
Iñigo Córdoba,0.1,-,-,0.1
Jordan Holsgrove,0.2,-,-,0.2
Loren Morón,0.9,0.3,0.1,0.5
Luisinho,0.2,0.2,-,-
Takefusa Kubo,0.6,-,-,0.6
Franco Vázquez,0.2,0.1,-,0.1
Ángel Rodríguez,1.2,0.3,0.1,0.8
Jon Bautista,0.6,0.1,-,0.4
Abdallahi Mahmoud,-,-,-,-
José Manuel Fontán,0.4,0.1,0.1,0.2
Hugo Duro,0.5,-,0.5,-
Iñigo Córdoba,0.7,-,-,0.7
Kenan Kodro,0.4,0.1,0.1,0.2
Kingsley Fobi,-,-,-,-
Vitolo,0.2,-,-,0.2
Javier López,0.1,-,-,0.1
Urko Gonzalez,-,-,-,-
Miguel Baeza,0.5,-,-,0.4
Manuel Nieto,0.5,-,0.5,-
Moussa Dembele,1.2,-,-,1.2
Juan Sánchez Miño,-,-,-,-
Sergio León,0.7,0.2,0.1,0.4
Augusto Fernández,-,-,-,-
Ricard Sánchez,1,-,-,1
Francisco Portillo,-,-,-,-
Chimy Avila,1,0.6,-,0.4
Jason,0.3,0.2,0.1,0.1
Oier Zarraga,0.2,-,-,0.2
Yann Bodiger,-,-,-,-
Yan Eteki,0.3,0.2,-,0.1
Alberto Soro,0.1,-,0.1,0.1
Cheick Doukouré,-,-,-,-
Rubén Blanco,-,-,-,-
Waldo Rubio,0.9,0.4,-,0.5
Borja Sainz,0.3,0.1,-,0.1
Aritz Arambarri,-,-,-,-
Víctor Rodríguez,-,-,-,-
Sofian Chakla,1,-,-,1
Victor Mollejo,-,-,-,-
Juan Brunet,-,-,-,-
Damian Kadzior,0.8,0.5,-,0.3
Adrián Marín,0.2,-,-,0.2
Álex Martín,-,-,-,-
Sergio Benito,-,-,-,-
Filip Malbasic,0.3,0.1,-,0.2
Juan Carlos Real,0.3,0.1,-,0.3
John Guidetti,0.5,0.1,0.1,0.3
Joaquín Muñoz,0.3,-,-,0.3
Cristiano Piccini,0.3,0.3,-,-
Raúl Navas,-,-,-,-
Yoel Rodríguez,-,-,-,-
Koffi,-,-,-,-
Youssouf Kone,-,-,-,-
Carles Aleñá,0.5,-,-,0.5
Stephane Paul Keller,-,-,-,-
Marc Cardona,0.3,-,-,0.3
Darío Poveda,-,-,-,-
Ramón Azeez,1,0.5,-,0.5
Tomás Tavares,-,-,-,-
Javi Moyano,-,-,-,-
Patrick Cutrone,0.4,0.1,-,0.3
Luismi,-,-,-,-
Rubén Sobrino,-,-,-,-
Sergi García,-,-,-,-
Sabit Abdulai,-,-,-,-
Kelechi Nwakali,-,-,-,-
Koba Koindredi,-,-,-,-
Quique González,0.3,0.1,-,0.3
Nino,0.2,-,-,0.2
Álex Blesa,-,-,-,-
David Juncà,-,-,-,-
Hugo Sotelo,-,-,-,-
Mamor Niang,1,-,-,1
Miguel Rodriguez,-,-,-,-
Ramón Folch,-,-,-,-
Sergio Cubero,-,-,-,-
Facundo Ferreyra,0.5,0.1,0.2,0.3
Giorgi Kochorashvili,0.3,0.3,-,-
Bobby Adekanye,0.3,-,-,0.3
