Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Kaiyne Woolery,1.5,0.6,0.1,0.9
Udoka Godwin-Malife,0.1,-,-,-
Josh Gordon,2,0.6,0.1,1.2
Harry Davis,0.4,-,0.1,0.3
Kieron Morris,0.8,0.6,-,0.2
Clayton Donaldson,1,0.2,0.2,0.6
Harry Lennon,-,-,-,-
Jacob Bedeau,0.3,-,0.1,0.2
Harry Darling,0.6,0.1,-,0.5
Elliott List,1.5,0.3,0.2,1
Connor Brown,0.4,0.2,0.1,0.2
Ashley Nathaniel-George,1.1,0.5,0.1,0.5
Lewis Hardcastle,1.1,0.8,-,0.3
George Blackwood,0.9,0.2,0.1,0.7
Lewis Alessandra,1.5,0.8,-,0.7
Tunji Akinola,-,-,-,-
Laurence Bilboe,-,-,-,-
Kgosi Ntlhe,0.3,0.1,-,0.1
Bradley Barry,0.4,0.1,0.1,0.2
Andy Cook,1.4,0.4,0.1,0.9
Kyle Bennett,1,0.7,-,0.3
Joe Murphy,-,-,-,-
James Belshaw,0.1,-,-,0.1
Mark Halstead,-,-,-,-
Miles Welch-Hayes,0.3,-,0.1,0.2
Jack Young,0.4,0.4,-,-
David Amoo,1,0.2,-,0.9
Danny Preston,-,-,-,-
Courtney Senior,0.7,0.4,0.1,0.3
Jamie Reid,2.1,0.6,0.2,1.4
Jevani Brown,1.1,0.4,0.1,0.6
Liam O'Neil,0.6,0.2,-,0.3
Liam Roberts,-,-,-,-
Tom Leak,0.5,-,0.2,0.3
Harry Clifton,0.9,0.3,0.1,0.4
Evan Khouri,0.8,-,-,0.8
Emmanuel Monthe,0.3,0.1,0.1,0.2
Scott Davies,-,-,-,-
Nick Tsaroulla,0.4,0.2,-,0.2
Raphael Diarra,0.3,0.1,-,0.2
Mitchell Clark,0.5,0.3,-,0.2
Rory Watson,-,-,-,-
Jason Demetriou,0.5,0.4,-,0.1
Jamie Devitt,0.7,0.6,-,0.1
Sam Ling,0.2,-,0.1,0.1
Andrew Tutte,0.6,0.6,-,-
