Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Ibrahim Akdag,0.6,0.6,-,-
Gilbert Koomson,0.3,-,-,0.3
Gokhan Kardes,-,-,-,-
Cristian Sapunaru,0.3,0.1,-,0.2
Dimitrios Chatziisaias,-,-,-,-
Danny Drinkwater,0.4,0.2,-,0.2
Guray Vural,0.9,0.6,-,0.3
Kevin Varga,0.9,0.3,-,0.6
Wilfried Kanga,1.6,0.3,-,1.3
Ilhan Parlak,1.2,0.3,0.1,0.8
Adam Bareiro,1.5,0.2,0.2,1
Jefferson,0.7,0.3,0.1,0.3
Ibrahim Sehic,-,-,-,-
Berkay Özcan,0.5,0.3,-,0.2
Omer Ali Sahiner,0.5,0.2,-,0.3
Aaron Lennon,0.3,0.1,-,0.3
Yasir Subasi,0.2,0.1,-,0.1
Vegar Eggen Hedenstad,0.3,0.2,-,0.1
Adis Jahovic,0.7,0.1,-,0.5
David Pavelka,-,-,-,-
Tarkan Serbest,0.2,0.1,0.1,0.1
Abdullah Durak,0.3,0.1,-,0.1
Léo Duarte,0.4,-,-,0.4
Erik Sabo,1,0.4,-,0.6
Alexandru Epureanu,0.5,0.1,-,0.4
Kubilay Aktas,0.2,-,0.1,0.1
Floyd Ayité,1.4,0.7,0.1,0.6
Tarik Cetin,-,-,-,-
Dario Melnjak,0.4,0.3,-,0.1
Murat Ucar,0.1,0.1,-,-
Joseph Attamah,0.4,0.4,-,0.1
Elbasan Rashani,0.8,0.2,-,0.7
Volkan Babacan,-,-,-,-
Giuliano,1.3,0.3,0.1,0.8
Manuel Fernandes,0.5,0.4,-,0.1
Costel Pantilimon,-,-,-,-
Enver Cenk Sahin,0.4,0.1,-,0.3
Arturo Mina,1.1,0.3,0.1,0.7
Kenan Özer,1.1,0.4,-,0.7
Derrick Luckassen,0.3,0.1,-,0.3
Petrus Boumal,0.3,0.2,-,0.1
Daniel Lukasik,0.7,0.4,-,0.2
Fredrik Gulbrandsen,1.4,0.3,0.1,1
Murat Akça,0.5,0.3,-,0.3
Alparslan Erdem,0.2,0.2,-,-
Mohammed Kesselly Kamara,0.8,0.1,-,0.6
Anthony Uzodimma,0.5,-,-,0.5
Anton Maglica,1.3,0.1,0.3,0.9
Isaac Sackey,0.4,0.1,-,0.3
Dominik Furman,0.5,0.3,-,0.1
Evren Eren Elmali,0.3,0.3,-,-
Rafael,0.8,0.4,-,0.4
Jesse Sekidika,1,0.3,-,0.7
Youssouf Ndayishimiye,0.1,0.1,-,0.1
Ziya Erdal,0.1,0.1,-,0.1
Flávio,0.5,0.2,0.1,0.3
Anderson Esiti,0.3,0.2,-,0.1
Júnior Caiçara,-,-,-,-
Paolo Hurtado,1.2,0.5,0.2,0.5
Papiss Demba Cissé,1.1,0.1,0.3,0.6
Konrad Michalak,0.6,0.3,-,0.3
Seyed Majid Hosseini,-,-,-,-
Michal Pazdan,0.3,-,-,0.3
Amar Rahmanovic,0.9,0.2,0.1,0.6
Gökdeniz Bayrakdar,1.4,0.5,0.1,0.9
Tunay Torun,0.7,0.4,-,0.4
Marvin Bakalorz,0.5,0.3,-,0.3
Johanna Omolo,0.6,0.2,0.3,0.2
Junior Fernandes,1.2,0.4,0.2,0.6
Gökhan Töre,1,0.4,-,0.6
Radoslaw Murawski,0.3,0.3,-,0.1
Ahmet Gulay,-,-,-,-
Ersin Destanoglu,-,-,-,-
Damian Kadzior,0.9,0.6,0.1,0.3
Koray Altinay,0.2,-,-,0.1
Emre Güral,1.3,0.7,0.1,0.5
Filip Novák,0.2,-,0.1,0.1
Isaac Cofie,0.3,0.2,-,0.1
Cenk Gönen,-,-,-,-
Mehmet Erdem Ugurlu,-,-,-,-
Dogukan Sinik,0.9,0.5,-,0.3
Kaan Kanak,0.8,0.5,-,0.2
Rahman Bugra Cagiran,0.7,0.6,0.1,-
Demba Ba,2.5,0.7,0.3,1.4
Kerim Alici,0.2,-,-,0.2
Oguzhan Capar,-,-,-,-
Soner Dikmen,1,0.6,0.1,0.3
Ertugrul Ersoy,-,-,-,-
Osman Celik,0.3,0.1,-,0.2
Erkan Kas,0.3,-,-,0.3
Selim Ilgaz,0.5,0.3,-,0.2
Efkan Bekiroglu,1.2,0.8,-,0.4
Ilhan Parlak,1,-,-,1
Musa Cagiran,0.7,0.3,0.1,0.3
Benik Afobe,0.8,-,0.1,0.6
Mahmut Tekdemir,0.6,0.2,0.1,0.4
Hasan Ali Kaldirim,0.4,0.3,-,0.1
Fabien Farnolle,-,-,-,-
Onur Bulut,0.6,0.4,-,0.2
Mitchell Donald,0.4,0.1,-,0.3
Mirza Cihan,0.5,0.5,-,-
Rashid,0.6,0.6,-,0.1
Ersan Gülüm,0.2,0.1,-,0.1
Mete Demir,1.8,0.8,-,1
Stephen Mallan,1.1,0.7,-,0.4
Kamil Ahmet Çörekçi,0.3,0.3,-,0.1
Ugur Uçar,0.1,-,-,0.1
Pierre-Yves Polomat,0.2,0.2,-,0.1
Cemali Sertel,0.3,0.1,-,0.2
Enzo Crivelli,1,0.1,0.1,0.9
Hasan Ayaroglu,0.2,0.1,-,0.2
Denis Alibec,1.1,0.7,-,0.3
Yunus Malli,0.5,0.4,-,0.1
Alexander Søderlund,1.1,-,0.2,0.9
Besard Sabovic,0.5,0.4,-,0.2
Sinan Gümüs,1.1,0.3,-,0.7
Zargo Toure,0.3,0.1,-,0.1
Sakib Aytac,0.1,-,0.1,0.1
Amedej Vetrih,-,-,-,-
