Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Rekeem Harper,0.5,0.5,-,-
Branislav Ivanovic,0.3,-,0.1,0.2
Brandon Williams,0.3,-,-,0.3
Lee Peltier,-,-,-,-
William Smallbone,0.3,0.3,-,-
Dwight Gayle,0.9,0.1,0.2,0.7
Andriy Yarmolenko,0.5,0.2,-,0.3
Morgan Sanson,0.2,0.2,-,-
Reiss Nelson,0.5,-,-,0.5
Billy Sharp,0.6,0.1,0.1,0.4
Jacob Ramsey,0.5,0.1,-,0.4
Antwoine Hackford,1,-,-,1
Divock Origi,0.8,0.2,0.1,0.4
Hamza Choudhury,0.4,0.3,-,0.1
Kamil Grosicki,1,0.7,-,0.3
Alex Oxlade Chamberlain,0.6,0.4,-,0.2
Jamie Shackleton,-,-,-,-
Mark Noble,-,-,-,-
Shkodran Mustafi,-,-,-,-
Rhian Brewster,0.9,0.6,-,0.3
Kepa Arrizabalaga,-,-,-,-
Demarai Gray,1,1,-,-
Hannibal Mejbri,-,-,-,-
Nathan Broadhead,-,-,-,-
Jake Livermore,0.3,0.2,-,0.1
Charlie Austin,0.6,0.4,-,0.2
Karlan Grant,0.8,0.1,-,0.6
Eric García,0.3,0.2,-,0.2
Yan Valery,0.7,0.3,-,0.3
Islam Slimani,1,-,-,1
Kyle Edwards,0.4,-,-,0.4
Denis Odoi,0.7,0.7,-,-
Hal Robson-Kanu,0.7,0.4,-,0.3
José Izquierdo,1,1,-,-
Andi Zeqiri,0.8,0.1,0.1,0.6
Neeskens Kebano,1.2,0.6,-,0.6
Mat Ryan,-,-,-,-
Romaine Sawyers,0.2,0.2,-,-
Shane Long,0.2,0.1,-,0.1
Joshua King,0.3,0.1,0.1,0.1
Josh Onomah,0.5,0.2,-,0.4
Marek Rodák,-,-,-,-
Martin Kelly,-,-,-,-
Wes Morgan,-,-,-,-
Zack Steffen,-,-,-,-
Michael Hector,0.3,-,-,0.3
Felipe Anderson,-,-,-,-
Mamadou Sakho,0.3,-,-,0.3
Caleb Watts,-,-,-,-
Jonjoe Kenny,-,-,-,-
Phil Jagielka,-,-,-,-
Daniel N'Lundulu,0.1,-,-,0.1
Leif Davis,-,-,-,-
Oskar Buur,-,-,-,-
Iliman Ndiaye,-,-,-,-
Thakgalo Leshabela,-,-,-,-
Shola Shoretire,-,-,-,-
Robert Snodgrass,-,-,-,-
Dane Scarlett,-,-,-,-
Elliot Anderson,-,-,-,-
Femi Seriki,-,-,-,-
Jaden Philogene-Bidace,-,-,-,-
Jayson Molumby,-,-,-,-
Jean-Philippe Gbamin,-,-,-,-
William Fish,-,-,-,-
Moise Kean,0.5,0.5,-,-
Lewis Richardson,-,-,-,-
Reda Khadra,-,-,-,-
Michael Obafemi,-,-,-,-
Wesley,0.3,-,-,0.3
Patrick Cutrone,0.5,-,-,0.5
Konstantinos Tsimikas,-,-,-,-
Aboubakar Kamara,0.4,0.3,-,0.1
Josh Benson,0.3,0.3,-,-
Liam Delap,1,-,-,1
Joel Mumbongo,-,-,-,-
Lys Mousset,0.4,0.1,0.1,0.2
Cenk Tosun,-,-,-,-
Adrián,-,-,-,-
Tyrese Francois,-,-,-,-
Theo Walcott,-,-,-,-
Neil Taylor,-,-,-,-
Jake Vokins,-,-,-,-
Will Norris,-,-,-,-
Bailey Peacock-Farrell,-,-,-,-
Allan Tchaptchet,-,-,-,-
Odion Ighalo,-,-,-,-
Alexandre Jankewitz,-,-,-,-
Willy Caballero,-,-,-,-
Kayne Ramsay,-,-,-,-
