,Unnamed: 0,Name,Team,Age,Apps,start_bench,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,League,Tackles,Inter,Fouls,Offsides,Clear,Drb_past,Blocks,OwnG,Drb_per_game,Fouled,Off,Disp,UnsTch,Total_shots,OutOfBox,SixYardBox,PenaltyArea,KeyP,AvgP,Crosses,LongB,ThrB,Main_role,is_pos_c,is_pos_l,is_pos_r,secondary_role,is_pos_sec_c,is_pos_sec_l,is_pos_sec_r,third_role,is_pos_third_c,is_pos_third_l,is_pos_third_r,name,date_of_birth,height,foot,joined,contract_until,market_value,nationality_1,nationality_2,nationality_3
5062,5062,Martin Calderon,Pacos de Ferreira,22,1,7,172,0,0,0,0,0.6,91.8,0.4,0,6.04,Liga_nos,0.4,0.0,0.5,0.0,0.3,0.3,0.0,0,0.1,0.6,0.0,0.1,0.3,0.6,0.4,0.0,0.3,0.1,15.3,0.0,1.3,0.0, M,1,0,0,None,0,0,0,None,0,0,0,Martin Calderon,1999-03-01,1.83,left,2020-08-17,2021-06-30,300000.0,'Spain',None,None
5063,5063,Martin Canete,Union,21,1,2,131,0,0,1,0,0.3,82.3,1.3,0,6.14,Superliga,0.0,0.0,1.0,0.0,0.0,0.3,0.3,0,0.0,1.0,0.0,0.7,2.3,0.3,0.0,0.0,0.3,1.0,20.7,0.7,0.3,0.0, FW,1,0,0,None,0,0,0,None,0,0,0,Martin Canete,1999-06-17,1.8,left,2020-01-20,2021-06-30,900000.0,'Argentina',None,None
5064,5064,Martin Cauteruccio,Estudiantes,34,4,0,275,2,0,0,0,0.8,66.7,2.3,1,6.67,Superliga,0.3,0.0,0.5,0.0,1.0,0.0,0.0,0,0.5,0.3,1.5,1.5,3.8,0.8,0.3,0.0,0.5,0.5,13.5,0.0,0.0,0.3, AM,0,0,1,FW,1,0,0,None,0,0,0,Martin Cauteruccio,1987-04-14,1.79,right,2020-01-01,2022-06-30,800000.0,'Uruguay', 'Italy',None
5065,5065,Martin Cranie,Luton,34,20,3,1740,0,1,5,0,0.1,73.7,2.0,0,6.51,Championship,1.6,1.4,1.2,0.2,1.9,0.7,0.4,1,0.4,0.7,0.0,0.3,0.3,0.1,0.0,0.0,0.1,0.2,37.2,0.2,1.7,0.0, D,1,1,1,DMC,1,0,0,None,0,0,0,Martin Cranie,1986-09-26,1.83,right,2019-07-01,2022-06-30,250000.0,'England', 'Scotland',None
5066,5066,Martin Dubravka,Newcastle,32,13,0,1170,0,0,0,0,0.0,70.1,0.4,1,6.84,Premier_league,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0,0.0,0.4,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,28.5,0.0,5.6,0.0, GK,1,0,0,None,0,0,0,None,0,0,0,Martin Dubravka,1989-01-15,1.91,right,2018-07-01,2025-06-30,5000000.0,'Slovakia',None,None
5067,5067,Martin Erlic,Spezia,23,19,8,1793,3,1,6,0,0.4,84.9,1.6,1,6.55,Serie_A,0.9,1.5,1.4,0.8,2.5,0.3,0.6,0,0.1,0.4,0.0,0.0,0.3,0.4,0.0,0.0,0.3,0.0,39.5,0.0,3.8,0.0, D,1,0,0,None,0,0,0,None,0,0,0,Martin Erlic,1998-01-24,1.93,right,2019-07-15,2024-06-30,3000000.0,'Croatia',None,None
5068,5068,Martin Fraisl,ADO Den Haag,28,15,0,1350,0,0,0,0,0.0,65.7,0.2,0,6.56,Eredivisie,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.9,0.0,8.7,0.0, GK,1,0,0,None,0,0,0,None,0,0,0,Martin Fraisl,1993-05-10,1.88,both,2021-01-20,2021-06-30,700000.0,'Austria',None,None
5069,5069,Martin Hansen,Hannover,30,2,0,180,0,0,1,0,0.0,64.6,0.0,0,6.18,Bundesliga_2,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.5,0.0,12.0,0.0, GK,1,0,0,None,0,0,0,None,0,0,0,Martin Hansen,1990-06-15,1.88,right,2020-01-21,2023-06-30,300000.0,'Denmark',None,None
5070,5070,Martin Hasek,Wuerzburger Kickers,25,9,4,791,1,1,0,0,0.7,66.7,0.7,0,6.4,Bundesliga_2,1.2,0.6,0.7,0.0,0.6,1.2,0.1,0,0.2,0.8,0.2,0.4,1.0,0.7,0.4,0.0,0.3,0.5,20.5,0.3,0.5,0.1, M,1,0,0,None,0,0,0,None,0,0,0,Martin Hasek,1995-10-03,1.81,left,2021-01-05,2021-06-30,500000.0,'Czech Republic',None,None
5071,5071,Martin Hinteregger,Eintracht Frankfurt,28,29,0,2528,2,1,4,0,0.8,81.7,3.7,0,7.0,Bundesliga,2.7,1.5,1.1,0.7,3.1,0.9,0.4,1,0.2,1.2,0.0,0.3,0.8,0.8,0.1,0.3,0.4,0.3,63.9,0.0,3.4,0.0, D,1,0,0,None,0,0,0,None,0,0,0,Martin Hinteregger,1992-09-07,1.84,left,2019-08-01,2024-06-30,18000000.0,'Austria',None,None
5072,5072,Martin Hongla,Royal Antwerp,23,32,2,2794,3,2,10,0,0.8,85.3,1.0,0,6.73,Jupiler_league,1.1,0.9,1.0,0.0,0.9,0.5,0.3,0,0.9,0.4,0.1,1.1,1.2,0.8,0.4,0.0,0.3,0.9,54.5,0.1,7.0,0.0, D,1,0,0,DMC,1,0,0,None,0,0,0,Martin Hongla,1998-03-16,1.81,right,2019-07-03,2023-06-30,5000000.0,'Cameroon',None,None
5073,5073,Martin Kelly,Crystal Palace,31,0,1,1,0,0,0,0,0.0,66.7,0.0,0,6.08,Premier_league,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0, D,1,1,1,None,0,0,0,None,0,0,0,Martin Kelly,1990-04-27,1.91,right,2014-08-14,2022-06-30,1500000.0,'England',None,None
5074,5074,Martin Kobylanski,Eintracht Braunschweig,27,14,11,1347,4,3,1,0,1.8,74.0,0.3,2,6.56,Bundesliga_2,0.4,0.1,0.5,0.0,0.0,0.3,0.0,0,0.4,1.0,0.1,0.6,1.1,1.8,1.0,0.0,0.8,1.3,16.6,1.2,1.0,0.0, AM,1,0,0,None,0,0,0,None,0,0,0,Martin Kobylanski,1994-03-08,1.78,both,2019-07-01,2022-06-30,500000.0,'Poland', 'Germany',None
5075,5075,Martin Linnes,Galatasaray,29,15,7,1546,0,1,1,0,0.2,82.7,0.6,0,6.7,Super_lig,1.5,0.7,0.6,0.2,1.5,0.7,0.0,0,0.8,1.0,0.0,0.5,1.5,0.2,0.2,0.0,0.0,0.7,34.1,0.5,1.0,0.0, D,0,1,1,None,0,0,0,None,0,0,0,Martin Linnes,1991-09-20,1.77,right,2016-01-13,2021-06-30,2000000.0,'Norway',None,None
5076,5076,Martin Mannel,Erzgebirge Aue,33,33,0,2970,0,0,0,0,0.0,80.1,0.3,3,6.93,Bundesliga_2,0.0,0.0,0.0,0.0,0.9,0.1,0.0,1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.1,0.0,10.7,0.0, GK,1,0,0,None,0,0,0,None,0,0,0,Martin Mannel,1988-03-16,1.84,right,2008-07-01,2022-06-30,500000.0,'Germany',None,None
5077,5077,Martin Merquelanz,Real Sociedad,25,4,9,541,0,1,0,0,0.8,77.7,0.4,0,6.36,La_Liga,0.7,0.2,0.3,0.1,0.3,0.4,0.1,0,0.5,1.0,0.2,0.6,1.1,0.8,0.4,0.0,0.5,0.7,15.5,1.0,0.5,0.0, FW,1,0,0,None,0,0,0,None,0,0,0,Martin Merquelanz,1995-06-12,1.76,left,2018-08-14,2025-06-30,2000000.0,'Spain',None,None
5078,5078,Martin Montoya,Real Betis,30,2,3,238,0,0,0,1,0.4,81.7,1.6,0,6.38,La_Liga,1.2,0.4,0.6,0.4,1.2,0.4,0.2,0,1.0,0.2,0.0,0.2,1.0,0.4,0.0,0.0,0.4,0.8,26.2,0.2,1.2,0.0, D,0,1,1,M,0,0,1,None,0,0,0,Martin Montoya,1991-04-14,1.75,right,2020-08-25,2024-06-30,2000000.0,'Spain',None,None
