Name,Team,Age,Apps,start_bench,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,League,Tackles,Inter,Fouls,Offsides,Clear,Drb_past,Blocks,OwnG,Drb_per_game,Fouled,Off,Disp,UnsTch,Total_shots,OutOfBox,SixYardBox,PenaltyArea,KeyP,AvgP,Crosses,LongB,ThrB,Main_role,is_pos_c,is_pos_l,is_pos_r,secondary_role,is_pos_sec_c,is_pos_sec_l,is_pos_sec_r,third_role,is_pos_third_c,is_pos_third_l,is_pos_third_r
Francisco Gerometta,Union,21,1,0,66,0,0,0,0,0.0,80.0,1.0,0,6.28,Superliga,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0, D,1,0,0,None,0,0,0,None,0,0,0
Lucas Ribeiro Costa,Sporting Charleroi,22,1,7,99,0,2,0,0,0.6,83.1,0.8,0,6.43,Jupiler_league,0.9,0.0,0.3,0.0,0.3,0.9,0.0,0,0.4,0.0,0.0,0.6,0.3,0.6,0.3,0.1,0.3,0.4,7.4,0.1,0.3,0.1, M,1,0,0,None,0,0,0,None,0,0,0
Renzo Paparelli,Talleres,24,1,1,101,0,0,0,0,0.0,84.5,0.5,0,6.22,Superliga,0.5,2.0,1.0,0.0,1.5,0.5,0.5,0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,29.0,0.0,2.0,0.0, D,1,0,0,None,0,0,0,None,0,0,0
Cristian Ferreira,River Plate,21,1,6,213,0,1,1,0,1.0,74.0,0.3,0,6.41,Superliga,0.0,0.0,0.3,0.0,0.4,0.3,0.0,0,0.6,1.4,0.1,1.6,1.9,1.0,0.9,0.0,0.1,1.1,11.0,1.4,0.9,0.0, AM,1,0,0,None,0,0,0,None,0,0,0
Marcos Rojo,Estudiantes,31,1,0,90,0,1,1,0,3.0,72.5,1.0,0,6.85,Superliga,2.0,3.0,3.0,0.0,0.0,1.0,0.0,0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,69.0,0.0,3.0,0.0, D,1,1,0,None,0,0,0,None,0,0,0
Braian Martínez,Independiente,21,1,6,172,0,0,2,0,0.6,74.1,0.4,0,6.41,Superliga,0.6,0.1,0.9,0.0,0.0,0.1,0.0,0,1.3,1.0,0.1,0.9,0.4,0.6,0.1,0.0,0.4,0.4,8.3,0.4,0.3,0.0, FW,1,0,0,None,0,0,0,None,0,0,0
José Barreto,Patronato de Parana,21,1,7,141,0,0,0,0,0.9,51.4,1.3,0,6.21,Superliga,0.5,0.3,0.4,0.0,0.1,0.4,0.0,0,0.1,0.3,0.3,0.0,0.8,0.9,0.1,0.0,0.8,0.4,4.4,0.1,0.1,0.0, FW,1,0,0,None,0,0,0,None,0,0,0
Christian Viet,St. Pauli,22,1,2,116,0,0,0,0,0.3,88.3,0.0,0,6.17,Bundesliga_2,1.0,0.3,0.3,0.0,0.0,0.0,0.3,0,0.0,0.3,0.0,1.3,0.3,0.3,0.3,0.0,0.0,0.7,20.0,0.0,0.3,0.0, M,1,0,0,None,0,0,0,None,0,0,0
Facundo Pons,Arsenal Sarandi,25,1,2,88,0,0,0,0,0.7,61.9,0.7,0,6.2,Superliga,0.7,0.3,1.0,0.0,0.0,0.0,0.0,0,0.7,0.0,0.0,0.3,1.0,0.7,0.3,0.3,0.0,0.3,7.0,0.0,0.0,0.0, FW,1,0,0,None,0,0,0,None,0,0,0
Sven Köhler,Osnabrueck,24,1,4,72,0,0,0,0,0.2,82.8,0.8,0,6.18,Bundesliga_2,0.4,0.0,0.8,0.0,0.0,0.0,0.0,0,0.2,0.4,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,11.6,0.0,1.2,0.0, DMC,1,0,0,None,0,0,0,None,0,0,0
