Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,League
Kieran Tierney,1,0.6,0.5,0.2,2.1,0.7,0.4,-,Premier_league
Mbaye Diagne,0.3,0.1,1.1,-,1,0.2,0.1,-,Premier_league
Oliver McBurnie,0.7,0.3,1,-,1.3,0.5,0.1,-,Premier_league
João Moutinho,2.3,1.4,1.3,0.1,0.7,1.7,0.1,-,Premier_league
Douglas Luiz,1.5,1.3,1.8,-,1.2,1.2,0.5,-,Premier_league
Edinson Cavani,0.5,0.2,0.8,-,0.4,0.4,-,-,Premier_league
Rodrigo,0.5,0.2,0.7,-,0.6,0.7,-,-,Premier_league
Craig Dawson,0.5,1.5,0.6,0.2,4,0.3,1,2,Premier_league
Charlie Taylor,1.7,1,0.3,0.2,2.5,0.7,0.7,-,Premier_league
Davinson Sánchez,2.2,0.8,1.2,0.9,4.7,0.6,0.7,1,Premier_league
Isaac Hayden,2.2,1.8,1.6,0.1,1.9,0.9,0.4,-,Premier_league
Gylfi Sigurdsson,0.8,0.9,0.6,-,0.5,0.9,0.1,-,Premier_league
Danny Welbeck,0.5,0.3,0.8,-,0.5,0.5,-,-,Premier_league
Paul Dummett,1.1,1.1,0.6,0.3,4.7,0.5,0.5,-,Premier_league
Jacob Murphy,1.5,0.5,0.9,0.1,0.9,1,0.1,-,Premier_league
Mohammed Salisu,3.2,1.4,0.8,0.5,2.4,0.8,0.4,-,Premier_league
Eric Dier,0.8,0.8,0.6,0.4,4.4,0.3,1.1,-,Premier_league
Gabriel Martinelli,0.5,0.6,0.6,-,0.2,0.4,-,-,Premier_league
Harrison Reed,2,1.6,1.3,-,0.8,1.4,0.4,-,Premier_league
Miguel Almirón,1.4,0.7,0.5,-,0.5,1.2,0.1,-,Premier_league
Luke Thomas,1.6,1.1,0.7,0.1,1.4,0.5,0.1,-,Premier_league
Willian,0.5,0.3,0.2,-,0.2,0.4,-,-,Premier_league
Séamus Coleman,1.6,0.5,0.5,0.1,1.3,0.4,0.2,-,Premier_league
Leander Dendoncker,1.6,0.8,0.9,0.2,1.5,0.9,0.5,1,Premier_league
Jeffrey Schlupp,1.1,0.8,0.9,-,0.4,0.6,0.3,-,Premier_league
Dean Henderson,0.1,-,-,-,0.5,0.1,-,-,Premier_league
Jordan Pickford,-,0.1,-,-,1.3,0.1,-,-,Premier_league
Ahmed El Mohamady,1.2,1.2,0.4,0.1,1.6,0.4,0.2,-,Premier_league
Issa Diop,1.1,1.2,0.4,0.6,3.2,0.6,1.2,1,Premier_league
Sergio Agüero,0.3,0.2,0.2,-,-,0.8,-,-,Premier_league
Ciaran Clark,1.1,1.3,0.7,0.5,4.5,0.3,0.9,1,Premier_league
Federico Fernández,1.2,0.7,0.6,0.7,6,0.2,1.3,1,Premier_league
Matt Ritchie,0.6,0.7,0.7,0.1,2.3,0.8,0.1,1,Premier_league
Mason Holgate,2,1.3,1,0.3,2.9,1.1,0.5,-,Premier_league
Conor Gallagher,2.7,0.9,1.4,-,0.9,2.3,0.3,-,Premier_league
Ashley Westwood,0.6,1.2,0.9,-,0.8,0.8,0.2,-,Premier_league
Lucas Moura,1.1,0.6,0.8,-,0.3,0.7,-,-,Premier_league
Emerson,1.5,0.5,1.5,-,3,1,-,-,Premier_league
Benjamin Mendy,1,0.4,1.1,0.2,0.7,1.2,0.4,-,Premier_league
Ola Aina,1.2,1.5,1,0.4,2.6,0.7,0.2,-,Premier_league
Lukasz Fabianski,-,-,-,-,0.6,-,-,-,Premier_league
Darnell Furlong,1.3,1.4,1,0.2,2.2,0.7,0.5,1,Premier_league
Georginio Wijnaldum,0.6,0.7,0.4,-,0.4,0.6,0.1,-,Premier_league
Giovani Lo Celso,1.6,0.4,1.1,0.1,0.3,1.1,0.1,-,Premier_league
Ezgjan Alioski,2.1,0.6,1.1,0.1,1.1,1.2,0.1,-,Premier_league
Daniel James,1,-,0.9,-,0.3,1,0.1,-,Premier_league
Ederson,0.1,-,-,-,0.5,-,-,-,Premier_league
Ricardo Pereira,2.1,1,1.2,0.1,1.3,1.5,0.1,-,Premier_league
