Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Dillon Barnes,-,-,-,-,0.5,-,-,-
Markus Fjørtoft,-,-,0.5,-,3,-,-,-
Louis Appéré,0.7,0.2,0.8,0.1,0.2,0.1,0.1,-
Nathan Sheron,1.1,0.7,1.6,-,2.3,0.6,0.6,1
Justin Johnson,1,0.2,0.4,-,-,0.6,-,-
Daniel Whitehall,0.2,0.1,1.1,-,0.2,0.5,-,-
Kieran Freeman,1.7,0.7,1,-,1.3,-,-,-
Eamonn Brophy,0.1,0.2,0.9,-,0.1,0.3,-,-
Chris Long,0.3,0.1,0.6,-,0.1,0.3,-,-
Dylan Connolly,0.4,0.3,0.5,-,0.2,0.4,-,-
Gavin Reilly,0.4,-,0.4,-,0.6,0.2,-,-
Michael Devlin,-,-,-,-,1,-,1,-
Steven Bradley,-,-,0.5,-,-,-,-,-
James Gullan,0.4,-,0.1,-,0.1,0.1,-,-
Michael O'Halloran,0.6,0.2,0.9,-,0.2,0.2,-,-
Funso Ojo,0.5,0.5,1.4,-,0.4,0.6,0.3,-
Ísak Thorvaldsson,0.5,-,-,-,0.5,0.5,-,-
Eamonn Brophy,0.2,-,0.8,-,0.2,0.2,-,-
Matej Poplatnik,0.4,0.2,0.6,0.1,0.2,0.3,-,-
Jordan Archer,-,-,-,-,-,0.3,-,-
Robbie Crawford,-,2,-,-,1,2,-,-
Lars Lokotsch,0.8,0.3,2.8,-,0.5,-,-,-
Ronan Hughes,0.8,0.2,0.8,-,0.2,0.5,0.2,-
Lee Erwin,0.2,-,0.9,-,0.3,0.3,-,-
Boli Bolingoli-Mbombo,1,-,-,-,-,-,-,-
Ross Millen,0.9,0.9,0.6,0.4,1.3,0.3,0.1,-
Collin Quaner,-,-,0.7,-,-,0.7,-,-
Diaguely Dabo,0.7,1.3,0.7,-,0.2,0.7,-,-
Callum Hendry,0.8,0.3,1,-,0.5,0.6,0.1,-
Cammy Smith,0.3,-,0.5,-,0.5,0.3,-,-
Josh Mullin,0.6,-,0.2,-,-,0.2,-,-
