Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Maximiliano Romero,0.5,0.2,0.6,-,0.5,0.2,0.1,-
Fernando Belluschi,1.6,0.6,1.1,-,0.6,2.1,0.1,-
Alejandro Sánchez,-,-,-,-,0.9,-,-,-
Lucas Licht,2,1.5,0.2,0.4,2.4,1,0.5,-
Marcelo Benítez,1.3,1.2,1.7,0.2,2,1.1,0.1,-
Norberto Briasco,1.2,0.4,1.8,-,0.4,1.1,-,-
Miguel Torrén,1.4,1.2,0.9,0.9,3.6,0.9,0.3,-
Julián Álvarez,0.6,-,0.7,-,0.4,1.1,0.1,-
Ignacio Aliseda,0.5,0.1,1.2,-,0.4,0.2,-,-
Lucas Villalba,1.5,1.5,1.5,0.3,2.9,0.5,0.5,-
Luciano Gómez,2.3,0.5,1.8,0.1,1,2,0.2,-
Juan Galeano,1.9,0.8,0.9,0.1,0.4,1.2,0.1,-
Matías de los Santos,0.5,1,1.2,0.2,2.8,0.5,0.7,-
Ramón Arias,1.2,2,1.5,0.4,3.6,0.5,0.5,-
Emmanuel Más,2,1.4,1.2,-,1.4,0.8,0.4,-
Guillermo Ortíz,1.6,1.5,0.9,0.3,4.8,0.3,0.5,1
Iván Gómez,2.3,0.9,1.3,-,0.7,1.6,0.2,-
Leonel Galeano,2.3,1.7,1,0.8,4.7,1.1,0.5,-
Gonzalo Castellani,1.3,0.3,0.8,-,0.4,1.2,0.1,-
Leandro Fernández,0.3,-,1.7,-,0.9,0.7,-,-
Lautaro Comas,1.6,0.3,1.6,0.1,0.3,1,0.1,-
Pablo Rosales,0.7,3,1.3,0.7,1,-,-,-
Néstor Breitenbruch,1.5,-,1.3,0.3,2,1,0.5,-
Fernando Márquez,0.8,0.3,1.3,-,1.3,1.2,0.1,-
Alexis Maldonado,1.4,1.3,1.2,0.5,4,0.2,0.5,-
Gonzalo Piovi,2.6,1.4,1.5,0.4,2.4,1.9,0.3,-
Héctor Fértoli,-,0.5,1,-,-,0.5,-,-
Matko Miljevic,0.2,0.3,1,-,-,-,-,-
Marcelo Ortiz,1.5,1.6,1.4,0.5,3,0.7,0.2,1
Nahuel Estévez,1.5,0.5,0.9,-,0.7,0.9,0.1,-
Guillermo Ortíz,2.5,1.3,1.3,-,8.5,0.8,0.8,-
Nicolás Navarro,0.1,-,-,-,1,0.2,-,-
Federico Milo,0.7,1.1,0.7,0.1,1.3,0.9,0.2,-
Gabriel Hauche,1.2,0.5,1.7,-,0.5,0.9,-,-
Ismael Quílez,1.8,1.1,1.1,0.2,2.5,0.5,0.2,-
Braian Romero,2,1,1.4,-,1.2,1,-,-
Cristian Tassano,1.5,0.5,1,0.5,1,0.5,-,-
Jeremías Ledesma,-,0.1,-,-,0.5,-,-,-
Nicolás Pasquini,1.4,0.9,0.5,0.1,1.4,1,0.1,-
Christian Almeida,0.8,0.8,1,0.2,4,1.4,-,-
Oscar Salomón,1.2,1.4,0.9,0.2,2.8,1,0.3,-
Leonardo Ponzio,2.8,2,1,-,1,1.5,-,-
Maximiliano Gagliardo,-,0.1,-,-,0.3,0.2,-,-
Alexis Mac Allister,0.8,0.1,0.6,-,0.2,0.8,0.1,-
Diego Zabala,0.9,0.1,0.2,-,0.2,0.8,0.2,-
Leonardo Sigali,1.6,1.3,1,0.6,2.9,0.4,0.6,-
Cristián Insaurralde,1.5,-,1.3,-,0.5,0.5,-,-
Juan Andrada,1.8,2,1.1,-,1.5,1.9,0.7,-
Gervasio Núñez,1,0.2,1.2,0.1,0.4,0.8,0.1,-
Neri Cardozo,1,0.6,0.8,-,0.3,1.7,0.1,-
Franco Armani,-,-,-,-,0.7,-,-,-
Emanuel Cecchini,2.5,0.8,0.8,-,1.5,2.3,-,-
Lautaro Torres,1.8,1,1,-,0.2,0.8,0.2,-
Rodrigo Rey,-,0.1,-,-,0.3,-,-,-
Nahuel Arena,2.9,1.7,1,-,1.9,0.4,0.3,-
Facundo Melivilo,1.6,0.6,1.6,-,1,1.6,0.1,-
Matías Pérez García,1.9,0.9,1.4,-,0.4,1.4,-,-
