Name,KeyP,AvgP,Crosses,LongB,ThrB
Colin Daniel,0.7,38.2,0.9,2.6,-
Danny Rose,0.4,12.1,-,0.2,-
Marlon Fossey,0.4,32.6,0.4,2.9,-
David Kasumu,0.4,37.9,0.1,1,-
Kane Vincent-Young,0.6,31.3,0.3,0.9,-
James Jones,0.8,32.6,0.4,1.9,-
Ryan Watson,0.4,21.3,0.1,1.6,-
Kyle Joseph,0.3,9.1,0.1,0.1,-
Conor Washington,0.6,12.5,0.2,0.4,-
Jay Lynch,0.1,32.7,-,7.7,-
Jordan Garrick,0.9,16.5,0.4,0.4,-
Aiden O'Brien,0.5,15.1,0.1,0.5,-
Tom Broadbent,0.3,20.8,-,1.5,-
Max Ehmer,0.5,34.5,0.2,2.3,-
Grant Ward,0.4,37,0.5,1.7,-
Harry Anderson,0.4,12,0.3,0.2,-
Matt Ingram,0.1,20.3,-,4.2,-
Harrison Burrows,1,14.5,0.9,0.9,-
Niall Canavan,0.1,38.3,-,3,-
Matthew Palmer,1.3,46.8,0.6,3.5,-
Archie Matthews,-,31,-,7,-
Michael Cooper,-,31.2,-,4.9,-
Oliver Finney,0.7,20.4,0.1,0.6,0.2
Curtis Main,0.7,13.4,0.1,0.1,-
Jordan Lawrence-Gabriel,0.7,25.6,0.2,1,-
Brad Walker,0.3,26.5,-,2.6,-
Gerard Garner,0.8,12.6,0.1,0.2,-
Pablo Martinez,0.3,32.8,-,2.5,-
Richard Keogh,0.1,68.2,-,4.6,-
Joshua Daniels,0.7,16.7,0.4,0.6,-
Josh Grant,0.5,31.3,0.2,1.1,-
Bryn Morris,0.7,43.4,0.3,4.5,-
Luke Robinson,0.5,24,0.3,2.2,-
Warren O'Hora,0.4,57.9,-,4.5,-
Marc Pugh,1.1,15.1,0.4,0.6,-
Fejiri Okenabirhie,0.5,14.9,0.1,0.2,-
Adam Matthews,0.4,28.6,0.6,1.7,-
Gavin Whyte,0.6,12.2,0.2,0.4,-
Ben Heneghan,0.2,26.9,-,2.6,-
David Cornell,-,29.4,-,7,-
Jake Vokins,0.5,28.8,0.8,1.5,-
Joe Walsh,-,15,-,3,-
Gabriel Osho,0.1,37.8,-,3.6,-
Luke Jephcott,0.7,12.1,-,0.2,-
Demetri Mitchell,0.8,17.3,0.2,0.7,-
Cian Harries,0.4,42.5,0.1,4.7,-
Olly Lee,0.5,13.1,0.3,0.3,-
Steve Seddon,0.9,29.3,0.9,1.4,-
Josef Bursik,-,43.3,-,7,-
Conor Shaughnessy,0.5,21.4,0.1,0.8,0.1
Luke Murphy,0.5,32.3,0.2,2,0.1
Emyr Huws,0.1,29.7,0.1,1.4,-
Toby Savin,-,26.7,-,6.9,-
Jon Taylor,0.8,18.9,0.6,0.3,-
Ed Upson,0.4,34.2,0.1,2,-
Niall Ennis,0.6,12.3,0.1,0.5,-
Anthony Grant,0.2,40.7,-,3.8,-
Tristan Nydam,-,7,-,-,-
Rio Adebisi,0.3,27.9,0.1,1.2,-
Jimmy Keohane,0.9,30.4,0.4,1.1,-
Anthony Scully,0.7,17.8,0.1,0.7,-
John Akinde,0.5,11,-,0.1,-
Dave Richards,-,26.7,-,5.1,-
Idris Kanu,0.6,12.6,0.1,0.2,-
Callum McFadzean,0.2,37,0.1,2.3,-
Stephen Sama,-,10.8,-,0.3,-
Viv Solomon-Otabor,1,13.7,0.6,0.5,-
Adam Phillips,1,25.8,0.5,1.9,-
James Vennings,1,32,-,2,-
Morgan Boyes,0.5,84,-,6.5,-
Liam Kelly,1.2,28.8,1.1,1.3,0.1
Diallang Jaiyesimi,1.1,24.4,0.2,0.7,-
Kyle Vassell,0.9,14,0.1,0.3,-
Andrew Fisher,-,44.6,-,7,-
Ben Purrington,0.1,24.6,0.2,1.5,-
