Name,KeyP,AvgP,Crosses,LongB,ThrB
Lewis Page,0.5,29.2,0.2,2.1,-
Lloyd Kerry,0.4,26.8,0.1,1.6,-
Ben Stevenson,0.4,31.1,0.1,2.6,-
Simon Power,1.4,20.5,0.4,0.6,0.1
Frank Nouble,0.8,24.6,0.3,0.7,-
Ben Richards-Everton,-,37.6,0.2,3.2,-
Mason O'Malley,1.1,37.1,1.1,2.5,-
Paul Coutts,0.5,42.7,0.6,3.1,-
Simeon Akinola,0.7,14.2,0.1,0.2,-
Ben Coker,0.9,31.8,1,2,-
Abo Eisa,0.6,14.4,0.5,0.4,-
Luke Prosser,0.1,34.5,-,3,-
Arthur Read,0.9,26.9,0.8,1.3,-
Jordan Maguire-Drew,0.9,16.6,0.8,1.2,-
Kelvin Mellor,0.5,22.1,0.2,1.7,-
Lewis Ward,0.1,29.5,-,7.1,-
Lloyd Isgrove,1.5,20.1,1.1,0.4,-
Hiram Boateng,0.6,33.8,0.3,2.4,-
Warren Burrell,0.1,30.6,0.1,1.8,-
Tyler Cordner,0.3,36.6,0.1,2.8,0.1
Chris Clements,1.1,43,0.6,2.6,-
Adam Crookes,0.3,33.1,0.3,2.4,-
Aaron Lewis,0.9,24.7,0.6,0.8,-
Dimitar Mitov,0.1,26.9,-,8.1,-
Randell Williams,1.3,18.5,1.1,0.2,-
John White,0.1,29.4,-,4.2,-
Patrick Brough,0.7,32,0.4,2,-
Reeco Hackett-Fairchild,0.9,17.3,1,0.5,-
Tony Craig,0.2,34.1,-,2.7,-
Corey O'Keeffe,0.8,23.3,0.9,1.8,0.1
Dean Gerken,-,24.2,-,6.1,-
Matthew Gilks,0.1,25.3,-,4.7,-
Harry Charsley,0.7,18.4,0.4,0.5,-
Jubril Okedina,0.1,29.7,-,2.8,-
Joe Riley,0.8,23.2,0.2,1.1,-
Jake Hessenthaler,0.6,37.5,-,1.7,-
Jökull Andrésson,-,24.8,-,6,-
George Taft,-,43,-,3,-
Richard O'Donnell,0.1,28.6,-,7.2,-
Ryan Delaney,0.3,49.2,-,3,-
Shamal George,0.1,24.9,-,7.4,-
James Gibbons,0.4,25.5,0.1,1.5,-
MJ Williams,0.4,51,-,3.2,-
Callum Burton,0.1,24.9,-,7,-
Kellan Gordon,0.8,30.9,1.2,3,-
Calvin Andrew,0.4,10.1,-,0.4,-
Marek Stech,-,26.6,-,7,-
Jake Lawlor,0.2,25,-,1.6,-
Mat Sadler,0.1,33.4,-,2.6,-
Kyle Letheren,-,27.8,-,6.4,-
Rod McDonald,0.1,26.8,-,2.4,-
Ross Marshall,0.1,23.5,-,1.4,-
Lee Novak,0.6,20.8,0.2,1.1,-
Cameron Norman,0.7,30.6,0.7,2.4,-
Magnus Norman,-,27.5,-,6.3,-
Joe Martin,0.1,24.3,0.2,1.1,-
Alister Crawford,1.5,31,1.4,3.7,0.1
Junior Brown,0.4,29.6,0.3,2.1,-
Jem Karacan,0.2,31.5,-,2.3,-
Lewis Spence,0.6,33.1,-,1.9,-
Priestley Farquharson,0.4,31.6,0.2,2.3,-
Elliot Osborne,1,23.5,0.7,1.1,-
James Jones,-,33.7,-,3.4,-
Tom James,0.3,28.3,1,2.3,-
