Name,KeyP,AvgP,Crosses,LongB,ThrB
Craig Forsyth,0.6,39.7,0.7,3.2,-
Joel Latibeaudiere,-,23.5,-,0.9,-
Garath McCleary,0.8,13.7,0.6,0.3,-
Alex Smithies,-,27.1,-,10.5,-
Daniel Johnson,0.7,26.3,0.4,0.8,0.1
Rhys Norrington-Davies,0.8,29.6,0.5,0.8,-
Chiedozie Ogbene,0.5,11.9,0.6,0.4,-
Shaun Williams,0.4,24.1,0.4,1.6,-
Daniel Barden,-,22,-,3.5,-
Lewis Grabban,0.8,13.1,0.1,0.3,-
Fred Onyedinma,0.3,9.7,0.1,0.2,-
Ben Sheaf,0.5,35.1,0.1,2.1,-
Nahki Wells,0.7,16.5,0.1,0.6,-
Keiren Westwood,0.1,27.2,-,6,-
Álex Vallejo,0.3,47.6,0.1,4.2,-
Joseph Rafferty,0.6,27.3,0.7,2.3,-
Chris Brunt,0.7,23.1,0.7,2.2,-
Jon Toral,0.5,15.9,0.1,0.5,-
Jacob Brown,0.4,12.7,0.1,0.4,-
Elliot Lee,0.5,16.8,0.3,0.5,0.1
Josef Bursik,-,31.3,-,8.9,-
Michael McGovern,-,33.7,-,3.9,-
Max Bird,0.5,36.8,0.4,1.5,0.1
Conor Masterson,0.3,32.3,-,3.8,-
Matt Penney,0.6,22.8,0.3,1,0.1
Jordan Rhodes,0.3,8.8,-,0.2,-
Ryan Schofield,-,25.9,-,4.2,-
Josh Murphy,0.7,7,0.3,0.4,0.1
Ben Wilmot,0.2,32.2,-,3.2,-
Mikel San José,0.5,31.9,0.1,3.3,-
Ben Wiles,0.6,22.1,0.4,1.8,-
Connor Mahoney,1.3,11.9,1.1,0.4,-
Cafú,0.8,30.7,0.5,1.4,-
Julien Da Costa,0.6,14.4,0.4,0.4,-
Leandro Bacuna,0.7,22.5,0.2,1.7,-
Billy Mitchell,0.2,27.8,0.1,1.6,-
Connor Malley,0.3,22.7,-,2,-
Luke Daniels,-,30.8,-,4.8,-
Korey Smith,0.5,26.6,0.1,0.9,0.1
Mads Rasmussen,0.4,18.4,0.3,0.6,-
David Marshall,-,36.4,-,8.9,-
George Moncur,0.6,13.4,0.3,0.3,-
Jordan Cousins,0.2,16.9,-,0.9,-
Tomás Esteves,0.4,19.3,0.2,0.8,-
Tom Carroll,1.1,46.5,0.5,2.9,-
Tyrhys Dolan,0.5,11.4,0.2,0.1,-
Jordan Shipley,0.7,15.8,-,0.6,-
Christoph Zimmermann,-,36.1,-,2.9,-
Ben Hamer,-,40.6,-,7.9,-
Chuba Akpom,0.2,6.8,-,0.2,-
Ryan Shawcross,-,7.5,-,0.5,-
Martyn Waghorn,0.6,13.3,0.3,0.4,-
Dominic Ball,0.4,28.3,0.1,1.7,-
Viktor Gyökeres,0.5,10.2,0.1,0.2,-
Teden Mengi,0.1,44.2,0.1,0.7,-
Lee Gregory,0.7,7.7,0.1,0.1,-
Maikel Kieftenbeld,0.3,23.1,0.1,0.8,-
Jayden Stockley,0.2,9.9,0.1,0.1,-
Alex Mighten,0.5,9.2,0.1,0.2,-
Aapo Halme,0.3,13.3,-,0.6,-
George Puscas,0.3,8.4,-,0.1,-
Albert Adomah,0.6,10,0.3,0.1,-
Ivan Sunjic,0.4,24.7,0.1,1,-
Nuno da Costa,0.5,10.5,0.5,2,-
Jack Walton,-,24,-,4.1,-
Djed Spence,0.4,15.1,0.2,0.4,-
Bradley Collins,-,32.5,-,8.8,-
Shaun MacDonald,0.2,24.8,0.1,2.4,-
Joey Pelupessy,0.2,22.8,-,0.9,-
Carlos Sánchez,0.1,16.4,-,1.2,-
Riley McGree,0.7,18.5,0.3,0.6,-
Sone Aluko,0.4,12,0.5,0.5,-
Przemyslaw Placheta,0.7,14,0.7,0.4,-
Alen Halilovic,0.6,14.5,0.5,1.1,-
Tyler Blackett,0.6,28.4,0.5,1.2,-
John Buckley,0.7,20.9,0.3,1.4,-
Brad Potts,0.3,19.4,0.1,0.6,-
Luke Freeman,0.9,15.4,1,0.3,-
Freddie Ladapo,0.4,8.1,-,-,-
Henri Lansbury,0.4,28.3,0.4,3,0.1
Ben Thompson,0.1,11.3,0.1,0.4,-
Nathaniel Mendez-Laing,0.4,13.6,0.4,0.2,-
Ryley Towler,-,14.7,-,1,-
Yaya Sanogo,0.2,11.3,-,0.1,-
Paul Gallagher,0.9,33.6,1.2,3.5,-
Anis Mehmeti,0.6,12.3,0.1,0.5,-
Sam Surridge,0.5,6.4,-,0.1,-
Taylor Moore,-,39.2,-,2.9,-
Kelle Roos,0.1,34.9,-,7.7,-
Ryan Tunnicliffe,0.5,22.5,-,0.8,-
Ben Jackson,-,7,-,1,-
Greg Cunningham,0.8,21.4,0.2,1.2,-
Jack Clarke,0.9,15.4,0.4,1.2,-
Kenneth Zohore,0.5,11.3,-,0.2,-
Saman Ghoddos,0.7,12.4,0.2,0.6,-
Mark Harris,0.4,6.9,0.1,0.1,-
Trevor Clarke,0.2,4.3,0.3,0.7,-
Tom Bradshaw,0.2,8.1,0.1,0.1,-
Sean Maguire,0.6,13.9,0.1,0.1,-
Josh Harrop,1.2,15.4,1.2,0.6,-
Glenn Murray,0.3,8.7,-,-,-
Niko Hämäläinen,0.5,30.6,0.5,1.4,-
Josh Coburn,-,2,-,-,-
Kilian Ludewig,0.8,30.5,-,1.3,-
Aaron Rowe,0.4,13.3,0.2,0.4,0.1
Steve Seddon,0.7,26.7,0.7,1.3,-
Angus Gunn,0.1,26.9,-,6.1,-
Anthony Gordon,0.7,10.5,0.5,0.5,0.1
Joe Morrell,0.4,25.9,0.1,1.8,-
Stewart Downing,0.7,25.4,0.4,2.7,0.1
Marcel Ritzmaier,1.3,27.7,1.7,1,-
Zach Jeacock,-,37.5,-,11.5,-
Michael Rose,0.3,40.6,0.1,3.9,-
Jack Wilshere,0.5,20.9,-,1.1,-
George Evans,-,35.3,-,3.3,-
Steven Sessegnon,0.4,24.2,0.2,2,0.1
Jordan Williams,0.3,16.8,0.2,0.6,-
Cameron Dawson,-,29.8,-,8.3,-
Elias Kachunga,0.7,8.8,0.1,-,-
Isaac Success,0.4,11.8,-,0.7,-
Yan Dhanda,0.5,18.3,0.3,1.3,-
Ben Wilson,-,26.8,-,6.1,-
Isaiah Brown,0.5,11.6,0.3,0.5,0.1
Patrick Roberts,0.7,13.1,0.4,0.5,0.1
Han-Noah Massengo,0.1,20.2,-,0.8,-
Corry Evans,0.2,27,0.1,0.9,-
James Shea,-,25.3,-,7.1,-
Liam Shaw,0.3,19.3,0.1,0.9,-
Yan Valery,-,9.3,-,0.3,-
Elliot Simoes,0.4,9.5,0.1,0.3,-
Herbie Kane,0.6,21,0.5,1.1,-
Josh Eccles,0.1,17.1,-,1,-
Kazenga LuaLua,0.4,8.5,0.3,0.1,-
Alex Pattison,0.2,17.2,-,0.7,-
Daryl Horgan,0.8,14.7,0.6,0.8,-
Liam Walsh,0.3,27,0.3,2.7,-
Rolando Aarons,0.5,15,0.1,0.2,-
