Name,KeyP,AvgP,Crosses,LongB,ThrB
Sergi Guardiola,0.4,17.2,0.2,0.7,-
Miguel Ángel Atienza,0.3,28.1,0.1,1.4,-
William Carvalho,0.3,35.5,-,2.3,0.1
Eliaquim Mangala,-,15.4,-,0.7,-
Fran Beltrán,0.1,23.9,0.1,1.3,-
Asier Villalibre,0.4,8,0.1,0.1,-
Tachi,0.2,27.2,-,3.6,-
Takefusa Kubo,0.5,10.3,0.1,0.1,-
Jony,0.9,12.9,0.9,0.8,-
Takashi Inui,0.5,15.1,0.4,0.7,-
Roberto Navarro,1,20,1,1,-
Martín Merquelanz,0.7,15.5,1,0.5,-
Unai Vencedor,0.3,32.6,-,3.2,-
Francis Coquelin,0.2,22.8,-,0.9,-
Sofian Chakla,0.1,22.3,-,0.7,-
Bryan Gil,-,6,-,-,-
Andrés Fernández,-,30.9,-,5.8,-
Erick Cabaco,-,23.4,0.1,3.9,-
Sergio Álvarez,0.2,25.4,-,1.9,-
Iñigo Vicente,1.3,15.7,0.7,0.7,-
Pere Pons,0.3,14.7,0.1,0.3,-
Jonás Ramalho,0.2,19,0.4,1.4,-
Javi Martínez,0.5,11.5,0.1,0.5,-
Recio,0.8,22.7,0.8,1.1,-
Deyverson,0.4,10.7,0.1,0.7,-
Manu Vallejo,0.2,8.2,0.1,0.2,-
Martin Braithwaite,0.4,9.5,-,0.1,-
Fede San Emeterio,0.2,22.5,-,1.3,-
Yunus Musah,0.3,12.8,0.1,0.3,-
Salvi Sánchez,0.6,14.3,0.9,0.3,-
Geoffrey Kondogbia,0.2,15.4,-,0.8,-
Tomás Vaclik,-,24.6,-,4.6,-
Oriol Rey,-,12,-,1,-
Iván Alejo,0.5,7.2,0.6,0.2,-
Carlos Fernández,0.5,10.1,-,0.3,0.1
Riqui Puig,0.4,24.6,-,0.6,-
Unai Simón,-,23.2,-,6.5,-
David Timor,0.4,19.8,0.3,2.7,-
Yoshinori Muto,0.4,8.3,-,0.1,-
Íñigo Lekue,0.3,16.9,0.3,0.8,-
Carlos Fernández,0.4,7.6,-,-,-
Jaime Mata,0.5,16.7,0.1,0.2,-
Luis Pérez,0.4,20.4,0.4,1.1,-
Alberto Cifuentes,0.5,32.5,-,11.5,-
Alejandro Pozo,0.4,29.5,0.5,2.5,-
Aleix García,1.1,22.7,0.6,2,-
Alejandro Cantero,0.8,9.3,-,-,-
Pedro Alcalá,-,21.5,-,2.3,-
Roberto Soldado,0.3,11.3,-,0.4,-
Kenan Kodro,-,2.3,-,0.3,-
Sergio Arribas,0.1,10.6,-,0.1,-
Son,0.7,16.5,0.6,0.9,-
Lucas Torreira,0.2,16.4,-,0.5,-
Jeison Lucumí,-,5.5,-,-,-
Míchel,0.5,29.2,0.4,2,-
Paul Akouokou,0.2,18.5,0.1,0.9,-
Juanmi,0.1,9.1,-,0.1,-
Nemanja Gudelj,0.1,26.1,-,0.9,-
Toño,0.5,27,0.2,1,-
Okay Yokuslu,0.4,22.8,-,1,-
Sergio Gómez,0.6,11.6,0.3,0.4,-
Enric Gallego,0.3,11.3,-,0.1,-
Ibai Gómez,0.5,10.1,0.5,0.5,-
Gastón Silva,0.1,28.6,-,1.8,-
Jota,0.1,11.4,0.2,0.2,-
Kévin Rodrigues,0.5,19.2,0.4,1,-
Jota,0.7,19.8,0.3,1,0.1
Mariano,0.1,6.6,-,0.1,-
Dani Gómez,0.3,9.4,-,0.1,-
Alfon,0.5,8,-,-,-
Nico Williams,-,8,-,0.5,-
Jaume Costa,0.4,13.7,0.1,0.4,-
Sergio Carreira,0.3,30.3,-,1.3,-
Álvaro Giménez,0.2,8.8,-,0.2,-
Adrián Marín,0.1,10.9,0.2,0.6,-
Burgui,-,9,-,-,-
Álex Blanco,0.6,9.7,0.1,-,-
Facundo Pellistri,0.2,8.8,0.2,0.1,-
Roberto Jiménez,-,26.7,-,6.8,-
Javi Sánchez,0.3,22.9,0.1,1.8,-
Modibo Sagnan,0.2,24,-,1.7,-
Shinji Okazaki,0.2,6.8,-,0.1,-
Christian Oliva,0.2,11.3,0.1,0.3,-
Kuki Zalazar,0.5,4,-,-,-
Manu García,0.2,15.4,-,0.7,-
Emiliano Rigoni,0.5,14.7,0.5,0.4,-
Adrián López,0.2,10.8,0.1,0.2,-
Kevin Gameiro,0.2,9.7,-,0.1,-
Idrissa Doumbia,0.1,18,-,0.5,-
Toni Lato,0.2,19.5,0.2,0.9,-
Fede Vico,0.4,14,0.2,0.6,-
Edgar Sevikyan,-,4,-,-,-
Álex Baena,0.3,8.5,-,0.2,-
Omenuke Mfulu,0.1,17.2,-,1.1,-
Kiko Olivas,-,20.8,-,1,-
Chema Rodríguez,0.2,16.7,-,2.3,-
Dani Raba,0.4,15,0.4,0.8,-
Oussama Idrissi,-,2.7,1,0.3,-
Dani Escriche,0.3,11.3,-,0.1,-
Álvaro Bravo,-,9,-,-,-
Rodrigo Sánchez,0.5,15.8,0.3,0.9,-
Guillem Molina,-,28,-,0.5,-
Luka Jovic,0.5,9.8,-,-,-
Jesús Vallejo,-,23.9,-,2.7,-
Martin Ødegaard,0.7,23.1,0.1,1.1,0.1
Jon Ander Garrido,0.1,9.9,-,0.6,-
Iñigo Pérez,0.6,25.5,0.3,1.7,-
Nehuen Pérez,-,14,-,1.1,-
Pablo Piatti,0.3,12,0.3,0.3,-
Ante Palaversa,1,3.5,1.5,-,-
Cifu,-,14.8,0.1,0.4,-
Jairo Izquierdo,0.2,12.4,0.3,0.4,-
Iñigo Córdoba,0.4,9.6,0.3,0.7,-
Jordan Holsgrove,0.2,20.2,-,0.8,-
Loren Morón,0.3,6.7,-,0.3,-
Luisinho,0.2,20.4,0.2,0.6,-
Takefusa Kubo,0.8,9.7,0.1,0.2,-
Franco Vázquez,0.1,6.8,0.1,0.3,-
Ángel Rodríguez,0.2,8.4,-,0.3,-
Jon Bautista,0.3,4.2,0.1,-,-
Abdallahi Mahmoud,0.5,7.5,-,-,-
José Manuel Fontán,-,22.8,-,1.1,-
Hugo Duro,0.5,3.5,-,-,-
Iñigo Córdoba,-,10.3,-,-,-
Kenan Kodro,0.3,8.1,-,0.4,-
Kingsley Fobi,-,6,-,-,-
Vitolo,0.3,13.5,-,0.2,-
Javier López,0.3,9.9,0.5,0.5,-
Urko Gonzalez,0.5,15.5,-,0.5,-
Miguel Baeza,0.4,8.9,0.2,0.5,-
Manuel Nieto,0.5,1.5,-,-,-
Moussa Dembele,0.2,6.2,-,-,-
Juan Sánchez Miño,0.1,28.4,0.2,0.7,-
Sergio León,0.2,4.8,-,-,-
Augusto Fernández,-,9.8,-,0.6,-
Ricard Sánchez,-,13,2,-,-
Francisco Portillo,0.3,15.2,0.3,0.4,-
Chimy Avila,-,6.5,-,0.6,-
Jason,0.4,6.7,0.2,0.1,0.1
Oier Zarraga,0.4,8.4,-,0.2,-
Yann Bodiger,0.2,10.1,-,0.3,-
Yan Eteki,0.2,14,-,0.4,-
Alberto Soro,0.4,7.8,0.2,0.1,-
Cheick Doukouré,0.1,6.1,-,0.3,-
Rubén Blanco,-,30.7,-,5.8,-
Waldo Rubio,0.1,10.9,0.1,1,0.1
Borja Sainz,0.1,4.3,0.1,0.3,-
Aritz Arambarri,-,15,-,-,-
Víctor Rodríguez,0.3,20.3,0.1,0.8,0.1
Sofian Chakla,-,9,-,1,-
Victor Mollejo,0.5,8.3,-,-,-
Juan Brunet,-,4,-,-,-
Damian Kadzior,0.2,7.8,0.7,0.2,-
Adrián Marín,0.2,8.8,0.2,0.4,-
Álex Martín,-,16.5,-,3,-
Sergio Benito,-,-,-,-,-
Filip Malbasic,0.1,5.3,0.1,0.2,-
Juan Carlos Real,0.3,6.2,0.1,0.1,-
John Guidetti,0.1,6.7,-,0.4,-
Joaquín Muñoz,0.3,3.7,-,-,-
Cristiano Piccini,-,7.7,-,0.7,-
Raúl Navas,0.5,27,-,5,-
Yoel Rodríguez,-,23.3,-,8.3,-
Koffi,-,10,-,-,-
Youssouf Kone,-,5.7,-,0.3,-
Carles Aleñá,-,19.5,-,2,-
Stephane Paul Keller,-,13,-,-,-
Marc Cardona,-,8,0.3,-,-
Darío Poveda,-,5,-,-,-
Ramón Azeez,-,17.5,-,-,-
Tomás Tavares,-,6,-,0.3,-
Javi Moyano,-,14,-,1,-
Patrick Cutrone,0.1,3,0.1,0.1,-
Luismi,-,10.5,-,1.5,-
Rubén Sobrino,-,4.2,-,-,-
Sergi García,-,2.5,-,-,-
Sabit Abdulai,-,4.3,-,-,-
