Name,KeyP,AvgP,Crosses,LongB,ThrB
Amine Benchaib,0.5,21.1,0.1,0.7,-
Lucas Ribeiro Costa,0.4,7.4,0.1,0.3,0.1
Hamdi Harbaoui,0.2,11.3,-,0.1,-
Frank Boya,0.3,18.3,-,1.2,-
Deni Hocko,0.5,28.1,0.1,1.8,-
Imad Faraj,0.4,12,0.2,0.4,-
Duckens Nazon,0.6,9.4,0.2,0.3,-
Joseph Efford,0.6,10.9,-,0.2,-
Mamadou Koné,0.8,15.4,0.4,0.7,-
Kenny Steppe,-,35.4,-,9,-
Samy Mmaee,0.1,45.1,-,4.1,-
Youssouph Badji,0.6,11.1,0.1,0.4,-
Benson Manuel,0.6,12.2,0.8,-,-
Majeed Ashimeru,0.3,25.9,0.1,0.6,-
Kenneth Schuermans,-,28,-,5,-
Matthias Verreth,0.5,16.5,-,1.8,-
Killian Sardella,0.5,51.3,0.2,4.3,-
Leonardo Lopes,0.4,19.1,0.1,1.5,0.1
Barnabás Bese,0.3,15.7,0.3,0.8,-
Brendan Schoonbaert,0.1,36.8,-,3.6,-
Matej Mitrovic,-,27.8,-,1.3,-
Gaetan Hendrickx,0.3,29.5,-,1.3,-
David Okereke,0.4,12.2,-,0.5,-
Noah Mbamba,-,23,-,1,-
Massimo Bruno,0.6,15.5,0.2,0.6,-
Michiel Jonckheere,0.4,19.5,0.1,0.9,-
Joachim Carcela-Gonzalez,1,13,1,-,-
Nikos Kainourgios,0.3,13.6,0.1,0.3,0.1
Ewoud Pletinckx,0.1,21.3,0.1,2.3,-
Marco Kana,0.3,33.3,0.1,2,-
Dylan Mbayo,0.3,6,-,0.3,-
Mathéo Parmentier,-,8,-,-,-
Milan Tucic,-,6,-,-,-
Sambou Sissoko,0.3,32.3,-,1,-
Jannes Van Hecke,0.3,28.8,0.1,0.9,0.2
Landry Dimata,0.2,6,-,0.1,-
Dario Van den Buijs,0.1,24.9,0.1,2.6,-
Daniel Iversen,-,21.6,-,7.2,-
Laurent Jans,0.8,30,0.4,3.7,-
Josh Felix-Eppiah,0.2,5,0.1,0.1,-
William Togui,0.2,9.4,-,0.1,-
Arthur Allemeersch,1,8.5,-,-,-
Ethan Horvath,-,19,-,3,-
Cameron McGeehan,0.4,16.2,-,0.5,-
Lee Seung-Woo,0.4,14.6,-,0.5,-
Abdul Manaf Nurudeen,-,22,-,2,-
Serge Raux Yao,0.5,48,-,2.5,-
Zeno Debast,-,13,-,0.5,-
Alexander Corryn,0.4,18.7,0.2,0.6,-
Hannes Van Der Bruggen,0.4,23.6,-,2,0.2
Theo Ndicka Matam,0.7,15.8,0.4,0.5,-
Aster Vranckx,0.5,21.1,0.1,0.8,0.1
Siemen Voet,-,51.4,-,3.3,-
Cyriel Dessers,0.3,7,-,0.1,-
Ibrahima Sory Sankhon,0.4,28.8,0.4,2.6,-
Cristian Benavente,0.2,8,-,0.2,-
Eric Bocat,-,26.3,-,0.9,-
Zakaria Bakkali,0.5,16.5,-,0.5,-
Yuki Kobayashi,-,37,-,2,-
Jur Schryvers,0.6,27.1,0.2,2.2,-
Samuel Asamoah,0.3,38.3,-,4.2,0.1
Lucas Pirard,-,35.5,-,6.8,-
Jordan Faucher,0.3,7.8,-,0.3,-
Modou Diagne,0.2,37.7,-,3.8,0.1
